,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7846,2022-03-21 03:47:43,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1923.0769,2177.41943,13.0769253,17.6923027,6.153846,6.153846,4.615384,7.69230747,9.230775,25,24,24,24,26,25,30,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,3705.10718,25.02042,13.2110224,10.3820581,3.18773437,100.138031,46.7567749,7.407074,8.434639,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7847,2022-03-21 03:47:44,60.0,100,100,100,100,100,100,0.8880001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1923.0769,2173.913,7.69230747,3.8461566,3.8461566,9.230768,10.0841341,4.651439,6.55849552,25,25,23,23,26,25,31,4005.52075,3705.10669,3404.69263,4005.52075,4005.52075,4005.52075,22.568594,10.8056841,10.3459845,3.14570451,100.138016,46.7567253,7.40706635,8.434647,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7848,2022-03-21 03:47:45,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1914.89368,2173.913,19.53125,14.84375,16.40625,4.6875,4.66346169,5.44471169,10.9294891,32,36,25,28,25,26,36,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,26.4478779,16.8266,8.191436,3.188879,100.138008,46.74411,7.40506744,8.43664551,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7849,2022-03-21 03:47:46,63.92157,100,100,100,100,100,100,1.016,1.008,3.3920002,3.40800023,1.0,0.992000043,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,26,25.5,15,23,25,1925.82031,2173.913,68.75,61.71875,58.59375,59.375,65.625,59.375,62.2395859,31,26,26,27,26,26,31,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,50.45522,45.9421158,3.4188385,2.48689771,100.138,46.8054657,7.41478729,8.426926,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7850,2022-03-21 03:47:47,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1923.0769,2177.41943,72.65625,67.96875,64.84375,71.875,67.1875,68.75,68.88021,41,38,38,42,42,38,41,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,56.6950874,52.8141632,2.833858,2.533694,100.137955,47.86359,7.58241272,8.2593,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7851,2022-03-21 03:47:48,63.92157,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,1.0,0.992000043,1.016,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,26,25.5,15,23,25,1936.87231,2170.418,89.0625,81.25,82.03125,80.46875,85.9375,79.6875,83.07292,30,28,28,29,35,28,35,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,52.63352,49.2138023,2.22610521,2.79371953,100.138069,49.952755,7.913372,7.928341,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7852,2022-03-21 03:47:49,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1920.34143,2173.913,40.625,25.0,14.0625,17.96875,36.71875,7.8125,23.6979179,32,34,26,27,32,26,34,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,26.3703671,23.4433231,1.7812345,2.69187069,100.138008,54.30376,8.602646,7.239067,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7853,2022-03-21 03:47:50,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.992000043,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1912.18127,2173.913,57.6923065,47.6923065,46.9230766,37.6923065,56.92308,44.6153831,48.58975,41,38,38,41,41,41,42,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,44.0580254,41.4972878,1.373649,2.77660251,100.137947,57.0529327,9.038162,6.80355072,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7854,2022-03-21 03:47:51,62.7451,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.42400026,1.0,0.992000043,1.008,3.37600017,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.0,26,25.5,15,23,25,1925.82031,2173.913,63.4920578,54.7619057,47.6190453,46.8253975,62.69841,51.5873032,54.49735,31,28,33,27,27,26,33,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,36.2393341,34.10264,1.03766513,2.48450065,100.138069,59.4281464,9.414436,6.42727661,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7855,2022-03-21 03:47:52,60.0,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1934.09741,2177.41943,23.4375,28.90625,22.65625,10.15625,10.15625,11.71875,17.8385429,26,27,25,27,31,26,31,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,25.34217,20.3665657,3.60064054,3.09477139,100.137939,60.1085548,9.522224,6.31948853,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7856,2022-03-21 03:47:53,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1936.87231,2173.913,20.3125,13.28125,11.71875,6.25,10.15625,7.8125,11.5885439,28,29,26,27,27,27,30,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,4005.52222,28.0228977,16.9453354,9.20663,4.252484,100.138054,60.5505447,9.592243,6.24946976,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7857,2022-03-21 03:47:54,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1923.0769,2173.913,10.9995,17.96875,13.28125,17.96875,10.9375,4.6875,12.640542,26,26,25,26,31,27,31,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,27.17234,16.1194515,9.137716,4.410509,100.138016,60.7484322,9.623592,6.21812057,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7858,2022-03-21 03:47:55,60.0,100,100,100,100,100,100,0.952,1.008,3.37600017,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1912.18127,2173.913,13.2572117,21.09375,15.625,11.71875,25.0,10.15625,16.1418266,26,26,26,27,30,26,30,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,27.5308838,16.6025925,8.995061,4.442417,100.138039,60.7896843,9.630127,6.211586,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7859,2022-03-21 03:47:56,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1925.82031,2180.937,16.40625,25.0,11.71875,10.15625,21.09375,12.5,16.1458321,34,25,25,26,26,25,34,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,25.7280979,16.1035137,7.897871,3.85303068,100.138,60.15016,9.528816,6.31289673,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
7860,2022-03-21 03:47:57,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.992000043,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1925.82031,2173.913,39.84375,32.8125,37.5,35.15625,28.125,25.0,33.0729179,29,30,28,30,35,29,35,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,35.9603157,29.4438953,5.25147867,2.864824,100.137993,61.02078,9.666737,6.17497635,100,1112.93445,69.10974,25,1.51951325,99,2100.0022,82.02928,26,1.524038
