,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
1977,1977,2022-03-21 02:08:38-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,5.46875,11.71875,6.25,0.0,3.90625,1.57489777,4.81977463,22,22,22,22,23,22,25,1702.34607,4105.658,4005.52,4105.658,3504.83,2603.58813,9.591222,8.25603,0.56015265,1.29905272,100.138,33.0867,5.241501,10.6002121,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1978,1978,2022-03-21 02:08:39-04:00,60.0,100,100,100,100,100,100,0.624,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2180.937,1.5625,1.5625,1.5625,0.0,0.0,0.78125,0.911456347,22,21,21,22,22,22,25,801.1037,801.1037,4005.51855,4005.51855,4005.51855,3504.82886,3.39840817,2.17324424,0.4793093,1.149458,100.137962,33.07981,5.24041,10.6013031,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1979,1979,2022-03-21 02:08:40-04:00,60.0,100,100,100,100,100,100,1.016,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,10.9375,5.46875,3.90625,4.639423,1.5625,0.78125,4.549283,24,25,23,23,23,23,25,4005.52222,4105.66,4005.52222,4005.52222,4005.52222,4005.52222,8.796219,7.52176237,0.5338477,1.21658528,100.138054,33.2307053,5.26431274,10.5774,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1980,1980,2022-03-21 02:08:41-04:00,60.7843132,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1928.57141,2173.913,38.28125,4.6875,4.6875,0.0,2.34375,0.78125,8.463544,34,25,23,24,24,24,34,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,14.5064621,13.09596,0.648611069,1.25188589,100.138016,33.58757,5.32084656,10.5208664,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1981,1981,2022-03-21 02:08:42-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1928.57141,2173.913,28.125,10.15625,4.6875,1.5625,1.5625,2.34375,8.072919,26,25,29,24,24,24,29,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,16.95739,15.5516262,0.6440138,1.40910709,100.138008,33.7435379,5.34555435,10.4961586,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1982,1982,2022-03-21 02:08:43-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2170.418,7.92410374,1.5625,3.125,0.0,3.90625,1.5625,3.0133903,24,25,23,24,24,23,25,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,13.939868,12.5422192,0.6407654,1.23141539,100.138016,33.6104736,5.32447433,10.5172386,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1983,1983,2022-03-21 02:08:44-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,1.5504837,0.0,0.0,1.5625,0.0,0.78125,0.649040937,23,25,23,24,24,24,25,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,12.765398,11.37691,0.6398299,1.21142685,100.137993,33.4266434,5.295353,10.54636,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1984,1984,2022-03-21 02:08:45-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,42.96875,30.46875,26.5625,27.34375,36.71875,27.34375,31.9010429,40,39,38,39,38,38,40,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,34.2898064,32.67521,0.7198284,2.06831431,100.137993,35.3465042,5.599491,10.2422218,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1985,1985,2022-03-21 02:08:46-04:00,64.70589,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,60.76923,60.45673,57.6923065,55.5433464,54.18269,62.3076935,58.4920044,39,35,37,36,28,36,39,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,49.98864,48.34893,0.6364998,2.31734848,100.138023,35.8608322,5.680969,10.1607437,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
1986,1986,2022-03-21 02:08:47-04:00,63.92157,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1925.82031,2166.934,47.6190453,42.55952,48.4126968,37.2405357,44.39484,38.0952377,43.0536461,37,32,37,38,38,36,38,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,47.3996048,45.8644524,0.635823548,2.16011024,100.138,36.107914,5.720112,10.1216011,100,1112.731,69.10974,26,1.51960027,99,2096.469,81.9658,26,1.52395844
