,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5491,5491,2022-03-21 03:07:53-04:00,60.0,100,100,100,100,100,100,0.72,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,1.5625,10.9375,0.78125,1.5504837,0.78125,0.0,2.602166,22,22,21,21,21,22,25,801.1037,801.1037,801.1037,801.1037,3604.9668,2703.725,4.83323574,3.570951,0.4841319,1.18058825,100.137962,33.182373,5.25665665,10.5850563,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5492,5492,2022-03-21 03:07:54-04:00,60.0,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2166.934,7.8125,3.14980149,3.90625,4.724705,2.34375,3.125,4.176998,21,21,21,22,21,22,25,1001.38031,801.104248,801.104248,801.104248,4005.52124,3705.10718,7.524338,6.23016071,0.538395345,1.16471076,100.138031,33.31958,5.278393,10.56332,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5493,5493,2022-03-21 03:07:55-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,10.90144,22.4519253,3.125,2.3317337,0.0,1.5625,6.72876835,25,33,23,29,24,24,33,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,10.4493351,9.10089,0.5740264,1.224553,100.138039,33.52027,5.31018448,10.5315285,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5494,5494,2022-03-21 03:07:56-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1928.57141,2173.913,0.78125,14.0625,9.375,0.78125,0.0,36.71875,10.2864561,22,23,22,23,23,30,30,4105.658,4105.658,4005.52026,4105.658,4205.79639,4105.658,13.811409,12.4004946,0.625635147,1.203957,100.138008,33.6266251,5.327034,10.514679,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5495,5495,2022-03-21 03:07:57-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2166.934,3.90625,7.8125,0.0,8.59375,0.0,50.0,11.71875,23,23,22,24,23,30,30,4005.52051,4005.52051,4105.658,4105.658,4105.658,4005.52051,15.2424459,13.7928343,0.648403,1.301751,100.138008,33.6995468,5.338585,10.5031281,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5496,5496,2022-03-21 03:07:58-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1934.09741,2177.41943,3.125,0.78125,8.59375,0.0,0.0,48.4375,10.15625,23,23,22,23,23,29,29,4005.52026,4005.52026,4205.79639,4005.52026,4205.79639,4005.52026,13.3670378,11.9424477,0.643278837,1.17050254,100.138,33.73268,5.343834,10.497879,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5497,5497,2022-03-21 03:07:59-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2166.934,18.75,16.40625,3.90625,0.0,5.46875,37.5,13.671875,24,31,32,26,23,25,32,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,18.419405,16.9527683,0.6485749,1.38171232,100.138,33.8084564,5.355839,10.4858742,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5498,5498,2022-03-21 03:08:00-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2166.934,20.3125,14.84375,0.78125,2.34375,2.34375,23.4375,10.6770811,23,23,22,23,22,29,29,4005.52051,4005.52051,4105.65869,4105.65869,4105.65869,4005.52051,13.5679045,12.1347876,0.628034055,1.39795125,100.138016,35.09971,5.56039429,10.2813187,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5499,5499,2022-03-21 03:08:01-04:00,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,25.78125,9.375,3.125,2.34375,3.90625,7.8125,8.723956,23,23,32,24,22,23,32,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,14.8472195,13.4213114,0.621118248,1.43694174,100.138016,34.32789,5.43812561,10.4035873,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
5500,5500,2022-03-21 03:08:02-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,19.53125,10.15625,3.125,2.34375,0.0,10.15625,7.552081,32,23,23,23,22,23,32,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,12.4705267,11.0100317,0.6104373,1.53082454,100.138008,35.25071,5.58431625,10.2573967,100,1112.93323,69.10974,25,1.51951218,99,2098.19116,81.97496,26,1.52396345
