,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5605,2022-03-21 03:09:49,60.0,100,100,100,100,100,100,0.928000033,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2173.913,8.569712,13.28125,12.5,9.474206,7.8125,7.03125,9.778148,23,24,22,23,24,23,27,4005.52051,4005.52051,4005.52051,3705.10645,3104.27832,4005.52051,20.3126087,13.8180285,5.56008434,1.91922462,100.138008,49.48406,7.839123,8.00259,100,1112.93323,69.10974,25,1.5195123,99,2098.21826,81.97621,26,1.52395916
5606,2022-03-21 03:09:50,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,7.8125,3.90625,2.38095522,3.858173,3.125,4.724705,4.301262,22,23,22,23,23,24,27,4005.52075,3404.69263,2904.00244,4005.52075,3104.27856,4005.52075,13.9105234,7.514617,5.547594,1.60060263,100.138016,49.48365,7.839058,8.002655,100,1112.93323,69.10974,25,1.5195123,99,2098.21826,81.97621,26,1.52395916
5607,2022-03-21 03:09:51,60.0,100,100,100,100,100,100,0.84800005,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,6.92307949,7.69230747,2.28438377,6.153846,4.615384,6.107223,5.6293726,23,23,22,23,25,23,27,3404.692,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,16.0793114,9.631327,5.552571,1.75388432,100.137993,49.7353859,7.878937,7.962776,100,1112.93323,69.10974,25,1.5195123,99,2098.21826,81.97621,26,1.52395916
5608,2022-03-21 03:09:52,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,5.555558,12.6984119,4.76190472,3.96825075,3.96825075,3.20020914,5.692095,23,23,23,23,24,24,27,4005.52075,3404.69263,2904.00244,4005.52075,3404.69263,4005.52075,17.117157,10.6301231,5.591148,1.82840455,100.138016,49.6397362,7.863785,7.977928,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5609,2022-03-21 03:09:53,60.0,100,100,100,100,100,100,0.792000055,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,9.290862,14.0625,7.8125,10.15625,4.639423,5.396634,8.559698,23,24,22,22,23,23,27,4005.52,4005.52,4005.52,4005.52,4005.52,3404.69214,16.5083885,10.4698629,5.12140369,1.78137612,100.138,49.7868423,7.887089,7.954624,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5610,2022-03-21 03:09:54,60.0,100,100,100,100,100,100,0.776,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2177.41943,8.65575,16.40625,7.03125,0.78125,5.518353,7.8125,7.70089054,23,24,23,23,24,24,27,4005.52026,4005.52026,3705.1062,3104.27832,4005.52026,4005.52026,15.8212595,10.3596268,4.51912165,1.8935678,100.138008,49.814415,7.8914566,7.95025635,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5611,2022-03-21 03:09:55,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,7.03125,9.375,8.59375,5.46875,2.35614777,4.6875,6.25206852,23,23,21,22,23,23,27,4105.659,3805.245,4005.521,4005.521,3404.69287,3404.69287,14.21347,8.962023,4.31584549,1.81260085,100.138023,49.8255424,7.893219,7.948494,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5612,2022-03-21 03:09:56,60.0,100,100,100,100,100,100,0.776,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,3.90625,15.625,4.6875,6.25,3.1129837,3.125,6.117791,26,25,26,27,24,28,28,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,15.8667269,10.6060152,4.309523,1.89831591,100.138008,49.92148,7.90841675,7.933296,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5613,2022-03-21 03:09:57,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,8.4615345,13.0769253,3.8461566,3.8461566,3.076923,5.384612,6.28206158,23,23,22,22,23,22,27,4005.52026,4005.52026,3705.1062,4005.52026,3104.27832,4005.52026,14.2517681,8.993816,4.32647657,1.81283224,100.138008,49.9607239,7.9146347,7.92707825,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
5614,2022-03-21 03:09:58,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1914.89368,2173.913,5.46875,13.28125,7.8125,5.46875,6.25,6.25,7.421875,24,24,25,24,30,25,30,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,14.968051,9.735848,4.2857275,1.90629148,100.138,50.03352,7.92616653,7.91554642,100,1112.93323,69.10974,25,1.51951241,99,2098.22632,81.9764557,26,1.52395737
