,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
357,357,2022-03-21 01:41:28-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,25,25.5,15,23,25,1912.18127,2173.913,3.8942337,17.96875,9.499389,1.53846145,3.076923,3.90625,6.64733028,23,32,22,23,23,23,32,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,11.9148722,10.482729,0.6342948,1.38636565,100.138062,27.9267273,4.42407227,11.4176407,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
358,358,2022-03-21 01:41:29-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.016,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1923.0769,2173.913,0.793647766,47.77462,1.5504837,0.0,0.78125,0.78125,8.613539,23,33,22,23,22,23,33,4105.658,4105.658,4105.658,4005.52,4105.658,4105.658,12.0791864,10.6846943,0.6444382,1.09937882,100.138,27.9367752,4.425663,11.41605,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
359,359,2022-03-21 01:41:30-04:00,61.9607849,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.016,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,25,25.5,15,23,25,1934.09741,2177.41943,7.7524066,43.75,17.1875,7.716346,3.125,5.46875,14.1666708,33,35,26,29,26,26,35,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,19.1354618,17.6389179,0.667260766,1.48896217,100.138008,28.5682,4.525692,11.316021,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
360,360,2022-03-21 01:41:31-04:00,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.40800023,1.0,1.016,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1920.34143,2173.913,16.40625,25.0,16.40625,7.03125,10.9375,19.53125,15.8854189,24,26,23,25,24,24,26,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,20.5454121,18.9927654,0.6792639,1.803249,100.138008,29.93946,4.74292374,11.0987892,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
361,361,2022-03-21 01:41:32-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.016,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1912.18127,2173.913,8.59375,29.6875,18.03075,18.75,7.03125,2.34375,14.0728292,25,34,34,26,24,24,34,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,20.7409954,19.1763039,0.694312155,1.74619293,100.138016,30.84085,4.8857193,10.9559937,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
362,362,2022-03-21 01:41:33-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.016,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1925.82031,2170.418,12.5,42.96875,17.96875,13.28125,7.8125,11.71875,17.7083321,24,26,24,34,24,24,34,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,22.2129879,20.2093487,0.7631399,2.68092442,100.138,30.3674088,4.81071854,11.0309944,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
363,363,2022-03-21 01:41:34-04:00,60.0,100,100,100,100,100,100,0.672000051,1.008,3.3920002,3.42400026,1.0,1.016,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1934.09741,2180.937,5.46875,15.625,3.90625,3.125,3.90625,3.125,5.859375,22,22,21,22,22,22,25,801.1035,801.1035,801.1035,801.1035,4105.65527,4005.51758,7.89200163,6.49030828,0.5982181,1.42426181,100.137939,30.5889511,4.84581375,10.9958992,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
364,364,2022-03-21 01:41:35-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.016,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1920.34143,2177.41943,13.28125,31.3244038,13.28125,17.9811478,11.71875,13.28125,16.81134,26,32,24,27,24,27,32,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,21.5338974,20.0272064,0.6569397,1.71664381,100.138069,30.4921951,4.8304863,11.0112267,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
365,365,2022-03-21 01:41:35-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1909.47668,2180.937,4.6875,38.28125,2.34375,18.75,7.8125,6.25,13.0208311,23,24,31,24,24,23,31,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,16.8154526,15.3429613,0.657086,1.609209,100.138023,30.5988922,4.847389,10.9943237,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
366,366,2022-03-21 01:41:36-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.016,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,25,25.5,15,23,25,1923.0769,2173.913,8.65575,41.40625,7.05605125,12.4879837,3.90625,17.1875,15.1166258,23,34,24,25,24,29,34,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,18.9560261,17.4473686,0.662444532,1.76138353,100.138016,30.6487885,4.85529327,10.98642,100,1112.62781,69.10974,25,1.51965737,99,2094.732,81.96465,26,1.52376938
