,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
836,2022-03-21 01:49:32,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2177.41943,2.3317337,42.140152,1.5625,1.5625,2.3317337,2.30768919,8.706051,23,33,22,23,22,23,34,4005.52271,4005.52271,4005.52271,4005.52271,4105.66064,4105.66064,13.0099649,11.5589266,0.680799246,1.27234256,100.138069,28.9598389,4.587734,11.2539787,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
837,2022-03-21 01:49:33,61.9607849,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2177.41943,0.0,49.21875,10.1686478,0.78125,0.78125,0.0,10.1583185,22,31,24,23,22,24,31,4105.658,4005.52026,4005.52026,4005.52026,4105.658,4105.658,14.0491009,12.63276,0.6436961,1.16287339,100.138008,29.09555,4.609234,11.2324791,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
838,2022-03-21 01:49:34,61.9607849,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2180.937,9.302884,24.9759617,13.24519,10.15625,6.213939,10.9375,12.4719563,24,28,25,25,25,24,28,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,19.1589146,17.61868,0.6834793,1.69577217,100.138008,30.6095886,4.849083,10.99263,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
839,2022-03-21 01:49:35,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1920.34143,2173.913,16.40625,27.34375,24.21875,8.59375,11.7683525,7.03125,15.89368,24,26,31,25,23,25,31,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,20.0758915,18.5033455,0.677261353,1.78922319,100.138,31.2510071,4.950695,10.8910179,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
840,2022-03-21 01:49:36,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,15.625,39.0625,16.40625,9.375,16.3822117,9.375,17.7043266,23,24,23,23,22,24,26,4005.521,3104.27881,4005.521,3705.107,4005.521,4005.521,21.7599831,19.814085,0.765685856,2.56629372,100.138023,31.3015289,4.95869827,10.8830147,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
841,2022-03-21 01:49:37,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,4.6875,17.96875,8.59375,5.46875,0.0,3.90625,6.770831,23,33,23,32,22,24,33,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,12.0015564,10.5117388,0.622697532,1.59051192,100.138,31.2430878,4.94944,10.8922729,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
842,2022-03-21 01:49:38,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,11.8055582,30.46875,18.75,5.46875,3.125,5.46875,12.5144663,24,24,23,24,24,32,32,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,17.1832752,15.7263384,0.652986765,1.51582491,100.138016,31.1134415,4.92890167,10.9128113,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
843,2022-03-21 01:49:39,60.0,100,100,100,100,100,100,0.632,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,4.6754837,4.6875,15.625,3.94345522,3.125,15.625,7.94690228,23,24,32,22,23,24,32,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,10.1798878,8.791585,0.5775356,1.50954556,100.138008,31.856163,5.046562,10.7951508,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
844,2022-03-21 01:49:40,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2173.913,6.25,13.28125,4.6875,3.125,2.34375,4.6875,5.729169,22,22,22,22,22,23,25,4005.518,4005.518,4005.518,4005.518,3705.10425,2803.86255,9.248468,7.849898,0.598242462,1.41398287,100.137955,31.1672745,4.93743134,10.9042816,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
845,2022-03-21 01:49:41,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2173.913,2.34375,19.53125,7.8125,2.34375,3.125,29.6875,10.8072939,22,24,22,24,23,31,31,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,16.4872169,15.0282583,0.6470126,1.47945428,100.138062,31.9032211,5.054016,10.7876968,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
846,2022-03-21 01:49:42,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,3.88221145,43.07692,13.8461533,7.78846169,10.0000019,2.30768919,13.4835777,23,24,23,23,33,24,33,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,15.1006947,13.6520777,0.657042861,1.39912891,100.138,31.7499466,5.02973557,10.8119774,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
847,2022-03-21 01:49:43,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,3.1129837,8.59375,6.25,3.10096145,46.875,3.90625,11.9731607,27,25,26,25,25,24,28,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,15.1942787,13.729888,0.6643435,1.44241834,100.138016,31.967392,5.06418228,10.7775307,100,1112.62781,69.10974,25,1.5196588,99,2095.05,81.96529,27,1.523916
