,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
882,2022-03-21 01:50:18,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,2.34375,10.2570534,17.1875,3.90625,2.34375,3.101325,6.52327538,24,31,23,24,25,24,31,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,14.5947409,12.9098778,0.8224953,1.66409731,100.138008,41.110836,6.512661,9.329052,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
883,2022-03-21 01:50:19,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2180.937,2.34375,27.34375,10.15625,3.125,2.34375,3.90625,8.203125,23,34,28,25,25,25,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,16.33252,14.5347071,0.854443967,1.85895371,100.138008,41.39366,6.5574646,9.284248,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
884,2022-03-21 01:50:20,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2177.41943,0.0,12.5,7.03125,10.15625,7.8125,5.46875,7.161456,23,23,26,23,25,24,26,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,13.2922344,11.5013742,0.871278942,1.80587327,100.138008,41.28761,6.54066467,9.301048,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
885,2022-03-21 01:50:21,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,3.90625,12.5,3.90625,1.5625,7.03125,2.34375,5.208331,23,24,23,23,24,24,25,4005.52051,4005.52051,2904.0022,4005.52051,4005.52051,4005.52051,12.7214613,10.9425011,0.8910935,1.7369504,100.138008,41.43233,6.563591,9.278122,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
886,2022-03-21 01:50:22,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1925.82031,2173.913,4.6875,10.15625,7.8125,3.125,14.84375,3.90625,7.421875,23,23,23,22,24,24,25,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,13.9420538,12.0920277,0.916110456,1.83912492,100.138008,41.41986,6.561615,9.280098,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
887,2022-03-21 01:50:23,60.0,100,100,100,100,100,100,0.8880001,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1936.87231,2177.41943,3.076923,6.153846,5.384612,3.8461566,5.384612,0.7692337,4.10256958,22,23,22,23,23,23,25,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,12.2764053,10.4860029,0.8987205,1.71886659,100.138008,41.4668121,6.56905365,9.272659,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
888,2022-03-21 01:50:24,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2177.41943,4.6875,10.9375,2.34375,0.0,10.15625,0.78125,4.817706,24,30,24,24,26,24,30,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,13.670701,11.8161306,0.9267076,1.84921837,100.138023,41.51329,6.576416,9.265297,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
889,2022-03-21 01:50:25,60.0,100,100,100,100,100,100,0.904000044,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,3.90625,8.59375,4.6875,1.5625,3.125,1.5625,3.90625,23,24,23,22,23,24,25,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,12.3565159,10.5880241,0.872539639,1.72423458,100.138008,41.5662155,6.58480072,9.256912,100,1112.62781,69.10974,25,1.519659,99,2095.12866,81.96508,27,1.52390742
890,2022-03-21 01:50:26,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1920.34143,2173.913,1.5625,13.28125,5.46875,2.34375,3.125,3.125,4.817706,24,32,24,24,26,24,32,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,14.3710594,12.5741482,0.8841892,1.80052292,100.138016,41.9591522,6.647049,9.194664,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
891,2022-03-21 01:50:27,60.0,100,100,100,100,100,100,0.880000055,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,2.34375,14.0625,13.28125,4.6875,9.375,14.84375,9.765625,25,30,24,30,28,26,30,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,17.15192,15.3258038,0.886935353,1.89608037,100.137993,41.835,6.62738037,9.214333,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
892,2022-03-21 01:50:28,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2177.41943,1.5625,18.75,7.03125,2.34375,9.375,5.46875,7.421875,22,24,23,23,23,24,24,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,15.2721262,13.4720831,0.8976835,1.81788754,100.138008,42.21438,6.687481,9.154232,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
893,2022-03-21 01:50:29,60.0,100,100,100,100,100,100,0.928000033,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2173.913,1.5625,14.84375,3.90625,7.03125,7.8125,4.6875,6.640625,23,24,22,23,24,24,25,4005.52075,3705.10669,4005.52075,4005.52075,3404.69263,4005.52075,13.8147383,12.02876,0.866374552,1.809454,100.138016,42.36546,6.71141434,9.130299,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
894,2022-03-21 01:50:30,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1934.09741,2173.913,3.076923,13.1009579,3.8461566,3.076923,6.153846,1.53846145,5.13221645,22,23,22,22,23,23,25,3705.1062,3404.69214,4005.52,4005.52,4005.52,4005.52,11.825,10.0593681,0.872637868,1.709607,100.138,42.368515,6.711899,9.129814,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
895,2022-03-21 01:50:31,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1923.0769,2177.41943,5.44471169,15.6129837,1.5625,10.9375,2.34375,3.125,6.50441074,23,32,23,24,23,25,32,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,13.6083841,11.7988434,0.8762141,1.82711864,100.138,42.4421539,6.723564,9.118149,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
896,2022-03-21 01:50:32,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.0,26,25.5,15,23,25,1912.18127,2173.913,4.6875,9.375,3.90625,6.25,11.71875,2.34375,6.380206,22,24,23,24,30,25,30,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,13.2112722,11.4368658,0.8741908,1.75461543,100.138016,42.690712,6.76293945,9.0787735,100,1112.62781,69.10974,25,1.519659,99,2095.13135,81.96511,27,1.5239073
