,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
4749,2022-03-21 02:55:23,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1925.82031,2173.913,13.28125,24.1586571,22.65625,17.1153851,17.9086571,21.09375,19.368988,26,25,26,27,26,33,33,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,24.8236752,21.527317,2.38740039,1.90543473,100.138016,36.2806168,5.747471,10.0942421,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4750,2022-03-21 02:55:24,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1936.87231,2173.913,16.6666622,19.8412666,13.49206,18.2539711,13.49206,43.4771843,20.8705368,24,25,24,27,25,31,31,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,25.8622513,23.0858727,1.890088,1.76907361,100.138039,36.3346024,5.75602341,10.08569,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4751,2022-03-21 02:55:25,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,14.84375,24.21875,10.9375,22.65625,15.625,12.5,16.796875,25,28,26,28,34,25,34,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,4005.51685,20.2450752,18.0210724,1.29751825,1.78063285,100.137917,38.449173,6.091007,9.750706,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4752,2022-03-21 02:55:26,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1912.18127,2173.913,10.0000019,26.1538448,25.3846169,2.30768919,1.53846145,2.30768919,11.2820568,29,32,23,25,23,24,32,4005.524,4005.524,4105.662,4105.662,4005.524,4005.524,16.2744312,14.4945469,0.97820884,1.43568814,100.1381,39.86797,6.315769,9.525944,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4753,2022-03-21 02:55:27,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,19.0476189,30.1587276,13.49206,14.2857132,7.14285374,2.38095522,14.4179878,23,34,26,24,24,23,34,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,20.4961872,18.5105915,1.08563375,1.802808,100.137993,40.870182,6.474537,9.367176,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4754,2022-03-21 02:55:28,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,19.9999981,19.9999981,18.4615364,10.0000019,6.153846,8.4615345,13.8461533,29,35,33,25,25,25,35,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,20.34864,18.57752,0.8725486,1.80094457,100.138016,40.96455,6.48948669,9.352226,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4755,2022-03-21 02:55:29,60.0,100,100,100,100,100,100,0.928000033,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2173.913,21.875,29.6875,20.3125,17.1875,11.71875,5.46875,17.7083321,30,25,24,24,24,24,30,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,2904.0022,21.0699577,18.9664955,1.106311,1.9750253,100.138008,42.034935,6.659054,9.182659,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4756,2022-03-21 02:55:30,60.0,100,100,100,100,100,100,0.768,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2173.913,9.375,15.625,8.59375,11.71875,10.9375,6.25,10.4166689,29,32,30,25,24,24,32,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,16.1571674,13.7621021,1.40322745,2.01255584,100.138016,42.2554626,6.693989,9.147724,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4757,2022-03-21 02:55:31,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,11.71875,28.90625,7.03125,4.6875,3.125,6.25,10.2864561,26,25,23,24,27,24,27,4005.52,4005.52,4005.52,4005.52,4005.52,2904.002,16.12952,13.8714275,1.293557,1.85103357,100.138,42.5986977,6.74836349,9.093349,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4758,2022-03-21 02:55:32,60.0,100,100,100,100,100,100,0.688,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,9.375,15.625,10.9375,0.78125,7.03125,5.46875,8.203125,28,23,25,23,22,24,28,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,14.8765936,12.8200331,1.11160111,1.87072277,100.138008,43.02092,6.8152504,9.026463,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4759,2022-03-21 02:55:33,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,8.48557949,15.3846149,10.76923,6.92307949,9.230768,10.8173075,10.2684259,29,23,23,23,22,24,29,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,13.3291616,11.0918093,1.20616484,2.114415,100.138023,42.68093,6.76139069,9.080322,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4760,2022-03-21 02:55:34,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2177.41943,3.06526423,6.92307949,6.153846,2.30768919,1.53846145,4.56876755,4.0928545,29,23,22,22,22,23,29,4005.52051,4005.52051,4005.52051,3104.27832,4005.52051,4005.52051,10.9623947,8.751429,1.20949936,1.97566867,100.138008,42.67684,6.760742,9.080971,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4761,2022-03-21 02:55:35,60.0,100,100,100,100,100,100,0.872000039,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2180.937,4.6875,4.6875,10.15625,3.125,0.78125,3.125,4.427081,31,25,28,25,24,24,31,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,11.91245,9.668091,1.194967,2.15115714,100.138,42.69138,6.76304626,9.078667,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4762,2022-03-21 02:55:36,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,3.90625,7.8125,4.6875,1.5625,8.59375,0.78125,4.557294,28,23,23,22,22,24,28,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,10.3743181,8.313923,1.09635365,1.888328,100.138023,42.7884026,6.77841568,9.063297,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4763,2022-03-21 02:55:37,60.0,100,100,100,100,100,100,0.728000045,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,7.8125,3.125,7.8125,4.6875,4.6875,4.6875,5.46875,27,23,22,22,24,23,27,4005.52,4005.52,4005.52,4005.52,3705.106,4005.52,11.4766722,9.424592,1.0828799,1.91113067,100.138,42.6260071,6.75268936,9.089024,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4764,2022-03-21 02:55:38,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1912.18127,2177.41943,5.384612,18.4615364,12.3076916,4.615384,0.7692337,3.8461566,7.5640974,30,24,23,24,22,24,30,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,13.0799589,11.068531,1.00003636,2.03107429,100.138016,42.77588,6.776432,9.065281,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4765,2022-03-21 02:55:39,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2180.937,5.46875,7.8125,10.2058525,2.34375,1.5625,5.481148,5.47907925,30,23,23,23,23,24,30,4005.52026,4005.52026,4005.52026,4005.52026,3104.27832,3404.69214,12.5651808,9.917707,1.60212016,2.12540555,100.138008,43.05805,6.82113266,9.02058,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
4766,2022-03-21 02:55:40,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1934.09741,2177.41943,4.615384,6.153846,0.757575035,1.53846145,3.8461566,2.30768919,3.20318341,26,23,23,22,22,23,26,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,12.0845814,8.622237,2.395237,2.15427518,100.138016,43.06433,6.8221283,9.019585,100,1112.93323,69.10974,26,1.519511,99,2098.034,81.9729843,25,1.5239892
