,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5002,5002,2022-03-21 02:59:38-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1936.87231,2173.913,5.46875,21.09375,8.59375,7.03125,6.25,4.6875,8.854169,23,34,23,24,23,24,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,16.0126457,12.51129,2.55266166,1.940747,100.138008,36.1759872,5.730896,10.110817,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5003,5003,2022-03-21 02:59:39-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1923.0769,2166.934,12.5,14.1493082,13.28125,16.40625,18.1547642,8.606148,13.8496161,23,23,22,22,24,23,25,3504.83,2904.002,2904.002,2904.002,3705.1062,3404.69214,19.5438747,16.59612,2.04817986,1.78996086,100.138,36.3433952,5.757416,10.0842972,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5004,5004,2022-03-21 02:59:40-04:00,60.0,100,100,100,100,100,100,0.84800005,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1914.89368,2173.913,1.5625,5.432689,4.6875,4.6875,5.4567337,4.6875,4.41907024,22,23,22,22,22,23,25,3404.69263,2904.00269,2904.00269,2904.00269,3705.10669,2904.00269,9.147413,6.74242544,1.55495334,1.57676935,100.138023,36.4097557,5.767929,10.0737839,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5005,5005,2022-03-21 02:59:41-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.0,26,25.5,15,23,25,1928.57141,2173.913,19.23077,29.2307682,18.4615364,25.3846169,26.1538448,21.53846,23.3333359,25,33,23,25,24,32,33,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,28.77746,26.6067829,1.22627974,2.09850812,100.138,37.85201,5.99640656,9.845306,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5006,5006,2022-03-21 02:59:42-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.016,1.016,24.0,26,25.5,15,23,25,1934.09741,2173.913,12.5,17.1875,20.411705,12.5,39.7429466,15.7118082,19.6756535,24,32,23,25,24,32,32,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,22.2959614,20.5410938,0.7688305,2.01548243,100.138031,41.191433,6.525429,9.316284,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5007,5007,2022-03-21 02:59:43-04:00,60.0,100,100,100,100,100,100,0.936000049,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1936.87231,2177.41943,20.3125,27.34375,6.983173,7.03125,7.007575,6.959134,12.6062393,25,25,35,24,25,24,35,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,17.745985,15.888979,0.9443904,1.75092614,100.138008,40.9175,6.482033,9.35968,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5008,5008,2022-03-21 02:59:44-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.0,26,25.5,15,23,25,1923.0769,2173.913,21.3293667,30.46875,22.755455,7.043648,10.15625,9.474206,16.8712788,31,26,33,32,24,25,33,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,21.1403446,19.4119759,0.8467782,1.74444079,100.138,41.5340958,6.579712,9.262001,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5009,5009,2022-03-21 02:59:45-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1912.18127,2173.913,18.2634,23.84615,15.3613033,10.6643314,17.6923027,13.8111887,16.60645,24,24,26,26,31,25,31,4005.519,4005.519,4005.519,4005.519,4005.519,4005.519,21.6716957,19.3440247,1.28129709,2.136479,100.137978,42.31056,6.702717,9.138996,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5010,5010,2022-03-21 02:59:46-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2180.937,5.384612,13.0889416,23.88221,8.4615345,3.8461566,3.076923,9.623403,24,24,34,23,24,24,33,4005.52148,4005.52148,4105.65967,4005.52148,4005.52148,4005.52148,15.3250122,13.2027988,1.2329334,1.67687678,100.138039,42.4680862,6.72767258,9.11404,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5011,5011,2022-03-21 02:59:47-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,9.314907,22.3076935,17.9206734,7.716346,7.776439,8.391607,12.2379541,23,33,23,25,24,31,32,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,18.14805,15.94447,1.22440386,1.96832275,100.138008,43.2614059,6.853348,8.988365,100,1112.93323,69.10974,25,1.51951146,99,2098.064,81.9732742,26,1.52398479
5012,5012,2022-03-21 02:59:48-04:00,60.0,100,100,100,100,100,100,0.816000044,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1934.09741,2177.41943,5.505955,18.11756,5.46875,6.32440472,5.518353,6.349206,7.880706,22,23,22,22,22,24,25,4005.52051,4005.52051,4005.52051,4005.52051,2904.00244,3705.10645,12.4723463,10.2313919,1.20597482,2.06477785,100.138008,42.759697,6.77386856,9.067844,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5013,5013,2022-03-21 02:59:49-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,4.6875,5.46875,3.125,3.90625,5.46875,1.5625,4.036456,22,22,22,22,22,22,25,4005.52051,3705.10645,4005.52051,4005.52051,4005.52051,4005.52051,10.6500587,8.450184,1.21200347,1.95962012,100.138016,42.7739754,6.77613068,9.065582,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5014,5014,2022-03-21 02:59:50-04:00,60.0,100,100,100,100,100,100,0.664000034,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1912.18127,2173.913,3.8461566,9.230768,3.8461566,4.615384,2.30768919,3.076923,4.48718643,31,24,23,23,23,24,31,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,13.3729429,10.7464724,1.5555712,2.15515447,100.138008,42.83911,6.78644943,9.05526352,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5015,5015,2022-03-21 02:59:51-04:00,60.0,100,100,100,100,100,100,0.872000039,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1912.18127,2173.913,4.615384,6.92307949,4.615384,3.8942337,3.076923,4.66346169,4.631418,23,23,22,22,23,24,26,3705.10571,4005.51978,4005.51978,4005.51978,4005.51978,3404.69165,10.5471048,8.120829,1.457806,1.86794031,100.137993,42.8786049,6.79270554,9.049007,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5016,5016,2022-03-21 02:59:52-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.37600017,3.42400026,1.0,1.008,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,3.8461566,6.153846,2.30768919,3.04195881,1.53846145,3.04195881,3.32168937,28,23,22,22,22,23,28,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,10.6695423,8.474503,1.23420155,1.893598,100.138023,43.1818924,6.84075165,9.000961,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5017,5017,2022-03-21 02:59:53-04:00,60.0,100,100,100,100,100,100,0.672000051,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1936.87231,2177.41943,7.8125,10.9375,10.15625,3.125,6.25,3.125,6.901044,23,27,22,23,33,24,33,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,12.4557381,10.4067116,1.05736542,1.96137989,100.138016,43.01834,6.814842,9.026871,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
5018,5018,2022-03-21 02:59:54-04:00,60.0,100,100,100,100,100,100,0.752000034,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,24.5,26,25.5,15,23,25,1923.0769,2170.418,7.8125,21.09375,3.90625,3.90625,5.46875,0.78125,7.161456,23,26,23,24,23,24,26,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,12.9909325,11.0099573,1.01060092,1.9297502,100.138,43.26121,6.85331726,8.988396,100,1112.93323,69.10974,25,1.51951158,99,2098.071,81.9736252,26,1.52398348
