,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
4521,4521,2022-03-21 02:51:34-04:00,60.0,100,100,100,100,100,100,0.84800005,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2177.41943,5.384612,10.0360575,3.8461566,3.076923,3.076923,3.076923,4.749608,23,29,22,23,22,24,29,4005.52,4005.52,3705.1062,4005.52,4005.52,2904.0022,12.710928,9.255511,2.37756944,2.15818834,100.138,43.44285,6.88209152,8.959621,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4522,4522,2022-03-21 02:51:35-04:00,60.0,100,100,100,100,100,100,0.824000061,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1914.89368,2173.913,1.5625,7.00721169,2.34375,4.6875,2.34375,0.78125,3.12099457,22,28,22,22,22,23,28,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4105.65869,9.213326,6.47422,1.83982134,1.68236053,100.138023,43.39888,6.875126,8.966587,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4523,4523,2022-03-21 02:51:36-04:00,60.0,100,100,100,100,100,100,0.76000005,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,1.5625,3.125,0.78125,2.34375,2.34375,3.13739777,2.215606,23,21,22,22,22,23,25,4005.52026,3404.69214,2904.0022,4005.52026,3104.278,4005.52026,8.402599,5.976803,1.49680591,1.67898738,100.138008,43.4194946,6.87839127,8.963322,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4524,4524,2022-03-21 02:51:37-04:00,60.0,100,100,100,100,100,100,0.744,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2173.913,0.7692337,4.615384,0.0,1.53846145,1.53846145,0.7692337,1.53846741,22,22,21,22,21,22,25,2904.002,2904.002,3705.106,2904.002,4005.52,3404.69214,7.325204,5.234325,1.1959089,1.6474371,100.138,43.4249344,6.87925339,8.96246,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4525,4525,2022-03-21 02:51:38-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2180.937,2.34375,1.5625,3.13739777,0.78125,0.0,3.90625,1.95519328,21,21,21,22,21,23,25,4005.52051,3705.10645,4005.52051,4005.52051,3104.27832,3705.10645,7.72493,5.70107365,1.11542082,1.6782043,100.138016,43.3644,6.86966324,8.97205,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4526,4526,2022-03-21 02:51:39-04:00,60.0,100,100,100,100,100,100,0.840000033,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,3.125,5.46875,4.651439,3.125,2.34375,3.125,3.6398232,22,21,21,22,22,22,24,4005.52075,4005.52075,4005.52075,4005.52075,3104.27856,4005.52075,9.404763,7.38665342,1.10748076,1.71087527,100.138016,43.14103,6.834278,9.007435,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4527,4527,2022-03-21 02:51:40-04:00,60.0,100,100,100,100,100,100,0.69600004,1.008,3.3920002,3.40800023,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1923.0769,2173.913,9.230768,6.92307949,6.92307949,6.92307949,6.153846,7.69230747,7.30769634,22,21,21,22,21,23,25,3404.69238,4005.52026,3705.10645,4005.52026,2904.0022,2904.0022,8.42577648,6.427081,1.1000483,1.67880154,100.138008,43.14847,6.835457,9.006256,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4528,4528,2022-03-21 02:51:41-04:00,60.0,100,100,100,100,100,100,0.784000039,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1912.18127,2173.913,2.30768919,3.8461566,0.7692337,0.0,0.0,2.31971145,1.54047012,21,21,22,22,21,22,25,3705.10571,4005.51978,2904.00171,4005.51978,4005.51978,3404.692,7.670549,5.665944,1.10398269,1.65904427,100.137993,43.1507072,6.83581161,9.005901,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4529,4529,2022-03-21 02:51:42-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1925.82031,2180.937,4.6754837,3.90625,4.6875,2.3317337,3.90625,0.78125,3.38141322,22,21,22,22,22,23,25,2904.0022,4005.52051,3104.27832,3705.10645,3705.10645,4005.52051,9.4357605,7.36684561,1.1146431,1.81762552,100.138008,43.1205826,6.83103943,9.01067352,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
4530,4530,2022-03-21 02:51:43-04:00,60.0,100,100,100,100,100,100,0.8,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,24.5,26,25.5,15,23,25,1936.87231,2173.913,4.615384,9.230768,4.615384,1.53846145,2.30768919,2.30768919,4.102564,22,22,22,22,22,23,24,2904.00244,4005.52051,3705.10645,2904.00244,3705.10645,3705.10645,9.227645,7.27887869,1.03926969,1.723388,100.138008,43.2229271,6.847252,8.994461,100,1112.93323,69.10974,25,1.51951063,99,2098.011,81.97244,26,1.52399266
