,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6295,6295,2022-03-21 03:21:33-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1928.57141,2180.937,7.8125,23.4375,12.5496025,10.9375,7.03125,6.25,11.3363924,25,26,36,36,24,25,36,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,4005.52173,15.6854591,14.1260281,0.7584055,1.43846476,100.138039,36.4416122,5.772976,10.068737,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6296,6296,2022-03-21 03:21:33-04:00,62.7451,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1936.87231,2173.913,3.93105149,6.25,48.5836372,3.90625,3.125,3.125,11.4868221,25,25,36,25,25,24,36,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,17.2387371,15.5036354,0.880617142,1.59867787,100.138,36.2046928,5.735443,10.10627,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6297,6297,2022-03-21 03:21:34-04:00,60.0,100,100,100,100,100,100,0.864,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1936.87231,2173.913,15.2913752,15.4086533,29.6394234,11.5745182,6.92307949,12.5,15.2228355,33,30,25,26,25,26,33,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,4005.51758,21.6555347,19.76652,0.928823769,2.05019951,100.137939,35.4862823,5.62163544,10.2200775,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6298,6298,2022-03-21 03:21:35-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,26,25.5,15,23,25,1923.0769,2173.913,26.9841251,27.6289711,22.65625,19.70486,11.8923607,47.65625,26.087141,35,27,28,28,31,31,35,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,31.72805,30.1282444,0.6933288,1.93338192,100.138062,36.0630531,5.713005,10.1287079,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6299,6299,2022-03-21 03:21:36-04:00,61.9607849,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1914.89368,2177.41943,38.28125,32.8125,30.46875,26.5625,17.96875,43.75,31.640625,38,37,37,38,29,28,38,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,36.9322166,35.32146,0.6387103,2.184946,100.138,36.95086,5.853649,9.988064,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6300,6300,2022-03-21 03:21:37-04:00,63.92157,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,26,25.5,15,23,25,1914.89368,2173.913,59.23077,61.53846,60.0000038,50.7692261,46.9230766,60.0000038,56.41025,41,41,43,42,41,40,43,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,52.00982,50.3237419,0.6433243,2.58697081,100.138023,38.2883873,6.0655365,9.776176,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6301,6301,2022-03-21 03:21:38-04:00,66.6666641,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.0,26,26.0,15,23,25,1925.82031,2177.41943,99.21875,98.4375,99.21875,99.21875,96.875,99.21875,98.69792,43,41,45,45,42,43,45,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,65.90972,63.7559547,0.6384385,3.57962,100.138,43.5874252,6.904995,8.936718,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6302,6302,2022-03-21 03:21:39-04:00,69.8039246,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.0,26,25.5,15,23,25,1936.87231,2173.913,100.0,99.23077,98.46154,100.0,100.0,100.0,99.61539,43,41,42,42,41,41,43,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,67.7283,65.4745255,0.6923603,3.817082,100.137962,44.3734245,7.0295105,8.812202,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6303,6303,2022-03-21 03:21:40-04:00,68.62745,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,26,26.0,15,23,25,1934.09741,2180.937,100.0,100.0,100.0,100.0,100.0,100.0,100.0,41,39,43,45,41,43,45,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,65.9603348,63.428894,0.7947256,4.24530268,100.138023,45.67782,7.236149,8.605564,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6304,6304,2022-03-21 03:21:41-04:00,66.6666641,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,27.0,26,25.5,15,23,25,1920.34143,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40,41,45,45,43,41,46,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,65.67148,62.8781357,0.9624951,4.448945,100.13797,46.067482,7.29787827,8.543835,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
