,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6315,6315,2022-03-21 03:21:53-04:00,63.92157,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,28.5,26,26.0,15,23,25,1912.18127,2173.913,92.96875,96.09375,91.40625,93.75,85.9375,98.4375,93.09895,47,43,44,37,43,43,47,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,67.8800354,63.04373,2.96486044,4.25969839,100.138016,48.5963936,7.69850159,8.143211,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6316,6316,2022-03-21 03:21:54-04:00,63.92157,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.0,26,25.5,15,23,25,1923.0769,2173.913,86.71875,92.96875,83.59375,92.96875,85.9375,89.84375,88.671875,44,45,46,47,43,44,47,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,68.16053,63.9680061,2.380799,4.183259,100.138023,48.57412,7.694973,8.14674,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6317,6317,2022-03-21 03:21:55-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.0,26,26.0,15,23,25,1934.09741,2180.937,95.38461,98.46154,96.15385,97.69231,97.69231,98.46154,97.30769,45,44,43,45,43,43,45,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,69.3546,65.3583145,2.13588715,4.364224,100.138008,48.6355,7.70469666,8.137016,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6318,6318,2022-03-21 03:21:56-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.0,26,25.5,15,23,25,1923.0769,2177.41943,97.69231,97.69231,98.46154,98.46154,97.69231,99.23077,98.2051239,45,45,46,47,42,43,47,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,4005.51855,69.77337,66.60279,1.54905069,3.841101,100.137962,48.6439056,7.706028,8.135685,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6319,6319,2022-03-21 03:21:57-04:00,64.70589,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.0,26,25.5,15,23,25,1912.18127,2173.913,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44,44,46,47,43,42,47,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,69.5721359,66.5353241,1.39305568,3.891766,100.138046,48.9632835,7.75662231,8.085091,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6320,6320,2022-03-21 03:21:58-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.5,26,25.5,15,23,25,1923.0769,2173.913,99.23077,100.0,100.0,100.0,100.0,100.0,99.8717957,45,46,45,47,46,45,47,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,69.8864746,67.07563,1.25004709,3.75055313,100.137955,49.23216,7.799217,8.042496,100,1112.93335,69.10974,25,1.51951337,99,2098.50073,81.97787,26,1.52409291
6321,6321,2022-03-21 03:21:59-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.5,26,25.5,15,23,25,1936.87231,2173.913,96.09375,98.4375,94.53125,96.875,98.4375,99.21875,97.265625,42,42,44,45,43,42,45,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,67.21413,64.3815,1.0814743,4.08433533,100.138069,50.0495567,7.928707,7.913006,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6322,6322,2022-03-21 03:22:00-04:00,63.92157,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.5,26,25.5,15,23,25,1936.87231,2177.41943,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44,42,45,47,44,43,47,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,4005.5188,67.50264,65.07073,0.8711976,3.88920116,100.13797,51.0000725,8.079285,7.76242828,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6323,6323,2022-03-21 03:22:01-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,29.5,26,25.5,15,23,25,1934.09741,2177.41943,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44,43,46,46,43,43,46,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,4005.52124,68.20871,65.8001,0.7827401,3.866533,100.138031,50.8261871,8.051739,7.789974,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6324,6324,2022-03-21 03:22:02-04:00,64.70589,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,30.0,26,25.5,15,23,25,1923.0769,2180.937,77.34375,71.09375,66.95188,67.1875,65.625,71.09375,69.88261,30,28,35,29,27,28,35,4005.52173,4005.52173,4005.52173,4105.65967,4005.52173,4005.52173,48.45871,46.40226,0.808698654,2.68295836,100.138046,51.02097,8.082596,7.759117,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6325,6325,2022-03-21 03:22:03-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,29.5,26,25.5,15,23,25,1914.89368,2173.913,49.21875,54.6875,53.5216331,46.09375,45.3125,49.21875,49.6754837,40,38,38,38,34,37,40,4005.51953,4005.51953,4005.51953,4005.51953,4005.51953,4005.51953,47.8757858,45.82402,0.8012927,3.110984,100.137993,51.3593941,8.136208,7.70550537,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6326,6326,2022-03-21 03:22:04-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.016,1.016,29.5,26,25.5,15,23,25,1925.82031,2173.913,82.03125,83.59375,78.125,80.46875,74.21875,81.25,79.94792,41,44,43,37,36,41,43,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,59.552887,57.4922752,0.7761154,3.30581236,100.137993,52.2716942,8.280731,7.56098175,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
6327,6327,2022-03-21 03:22:05-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,30.0,26,25.5,15,23,25,1934.09741,2180.937,59.375,61.71875,64.84375,60.15625,64.84375,61.71875,62.109375,37,33,39,38,40,35,40,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,51.4050941,49.3178749,0.770699143,3.2228775,100.138016,52.5219574,8.320377,7.5213356,100,1112.93335,69.10974,25,1.51951349,99,2098.51318,81.97935,26,1.52409172
