,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
10846,10846,2022-03-21 04:38:13-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1936.87231,2173.913,7.69230747,44.6153831,11.5384579,9.230768,6.153846,19.9999981,16.5384712,24,28,23,24,23,24,28,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,18.6780186,15.5913658,2.18154,1.76410532,100.138016,57.4790077,9.10565948,6.73605347,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10847,10847,2022-03-21 04:38:14-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1923.0769,2173.913,3.125,38.28125,14.84375,11.71875,1.5625,3.90625,12.2395811,23,34,28,25,23,24,34,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,16.4534531,12.843359,2.68664217,1.80648136,100.138016,57.467495,9.103836,6.737877,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10848,10848,2022-03-21 04:38:15-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1912.18127,2173.913,6.153846,37.6923065,15.3846149,1.53846145,2.30768919,2.30768919,10.89744,23,28,23,23,23,24,28,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,15.4496517,11.89002,2.6637888,1.71781147,100.138008,57.53025,9.113777,6.727936,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10849,10849,2022-03-21 04:38:16-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1912.18127,2173.913,3.076923,39.9999962,11.5384579,8.4615345,1.53846145,2.30768919,11.1538467,24,25,31,29,24,25,29,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,16.20521,12.6487741,2.63461828,1.79405463,100.137993,57.51301,9.111046,6.730667,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10850,10850,2022-03-21 04:38:17-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,2.34375,16.40625,25.78125,5.46875,12.5,3.125,10.9375,24,23,28,24,23,24,28,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,4005.52148,14.76305,11.2503891,2.62887144,1.68471527,100.138039,57.5558472,9.117832,6.723881,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10851,10851,2022-03-21 04:38:18-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1934.09741,2177.41943,1.5625,7.03125,50.0,0.78125,4.6875,3.125,11.1979189,23,33,28,24,24,24,33,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,15.6787663,12.0764065,2.69554162,1.778378,100.138008,58.3222427,9.239243,6.6024704,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10852,10852,2022-03-21 04:38:19-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2173.913,4.54545,15.9673691,33.07692,11.3636379,1.53846145,5.314684,11.9677544,23,24,23,28,24,25,28,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,4005.51978,15.6328125,11.8619385,2.8579843,1.75603366,100.137993,57.65472,9.133495,6.70821762,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10853,10853,2022-03-21 04:38:20-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2173.913,2.38095522,28.4598236,8.59375,4.73748446,2.34375,23.4375,11.6588774,23,32,23,25,25,27,32,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,17.9291878,12.1646433,4.83309746,1.83228981,100.138016,58.00696,9.189297,6.652416,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10854,10854,2022-03-21 04:38:21-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2173.913,5.46875,16.40625,7.03125,5.46875,3.90625,44.53125,13.8020811,24,24,27,24,25,25,28,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,19.4007015,12.7262039,5.72182274,1.8732276,100.138016,57.6527252,9.133179,6.70853424,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
10855,10855,2022-03-21 04:38:22-04:00,60.0,100,100,100,100,100,100,0.952,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,5.46875,14.0625,48.4375,1.5625,3.125,2.34375,12.5,24,24,28,24,24,25,28,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,19.9359226,13.2737818,5.711427,1.91799247,100.138,57.88745,9.170364,6.67134857,100,1112.95,69.10958,26,1.5195055,99,2101.07471,82.03028,26,1.52410448
