,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3791,3791,2022-03-21 02:39:17-04:00,60.0,100,100,100,100,100,100,0.712,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1928.57141,2173.913,3.125,20.3125,1.5625,2.3317337,3.125,3.125,5.59695339,23,31,23,24,23,24,31,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,4005.52271,9.60129452,8.21392,0.5923866,1.33048928,100.138062,32.8283,5.20056534,10.6411476,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3792,3792,2022-03-21 02:39:18-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1936.87231,2173.913,4.615384,26.9230785,27.7163448,2.30768919,5.384612,17.6923027,14.1065779,25,32,33,25,24,24,33,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,4105.658,18.1310749,16.73391,0.6352615,1.25698,100.138008,33.48964,5.305332,10.5363808,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3793,3793,2022-03-21 02:39:19-04:00,61.9607849,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,9.230768,39.9999962,10.0000019,28.4735565,1.53846145,22.4399033,18.6137848,24,33,23,33,23,25,33,4105.658,4105.658,4105.658,4105.658,4105.658,4005.52026,22.255228,20.824398,0.648147345,1.32345259,100.138,34.0352859,5.391773,10.44994,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3794,3794,2022-03-21 02:39:20-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2173.913,37.5,18.7259617,17.1875,29.5312519,11.71875,7.716346,20.3966312,28,25,33,25,24,24,33,4005.52051,4105.658,4105.658,4005.52051,4005.52051,4005.52051,23.25446,21.7918682,0.6424189,1.338518,100.138008,34.1893539,5.41617966,10.4255333,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3795,3795,2022-03-21 02:39:21-04:00,61.9607849,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2180.937,50.0,12.5123978,36.71875,2.35614777,5.46875,9.499007,19.4258461,34,24,28,25,24,25,34,4005.52026,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,21.6319027,20.2096386,0.642416537,1.23409319,100.138008,34.29957,5.43363953,10.4080734,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3796,3796,2022-03-21 02:39:22-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,25.5,26,25.5,15,23,25,1928.57141,2173.913,13.4548607,7.0192337,39.0625,12.5,0.0,2.34375,12.3967228,24,26,31,34,23,26,34,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4105.65869,17.24819,15.788269,0.6481289,1.33509,100.138016,34.43197,5.45461273,10.3871,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3797,3797,2022-03-21 02:39:23-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1936.87231,2177.41943,29.2548065,21.875,9.375,0.78125,0.78125,6.25,11.3862219,23,32,22,24,22,24,32,4105.65771,4005.51978,4005.51978,4105.65771,4205.796,4005.51978,14.360095,12.9326754,0.642847955,1.17978787,100.137993,34.2955,5.432995,10.4087181,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3798,3798,2022-03-21 02:39:24-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,20.94254,31.25,10.9375,0.0,0.78125,0.0,10.65188,23,31,35,24,23,24,35,4005.52051,4005.52051,4105.65869,4005.52051,4105.65869,4105.65869,15.6831179,14.2390795,0.648651659,1.27038729,100.138008,35.0170822,5.547306,10.2944069,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3799,3799,2022-03-21 02:39:25-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1912.18127,2173.913,23.5085258,30.46875,2.34375,1.5625,8.59375,0.0,11.07955,32,25,24,23,22,24,32,4005.52026,4005.52026,4105.658,4105.658,4105.658,4005.52026,14.2926855,12.8605127,0.6432159,1.20810676,100.138008,34.4138565,5.451744,10.3899689,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
3800,3800,2022-03-21 02:39:26-04:00,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,28.46154,14.6153812,26.9001122,22.4580231,10.76923,2.30768919,17.585331,24,24,33,30,24,25,33,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,21.1629639,19.7079,0.6497612,1.31768167,100.138016,34.6077728,5.482464,10.3592491,100,1112.90784,69.10974,26,1.51951933,99,2097.84326,81.97185,26,1.52401173
