,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
3550,3550,2022-03-21 02:35:11-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1936.87231,2173.913,29.3650742,23.8095226,22.2222214,28.4350166,23.8095226,50.0,29.6068916,35,31,33,38,34,33,36,4005.522,4005.522,4005.522,4005.522,4005.522,4005.522,39.59845,27.6786556,10.5611572,3.276326,100.138046,56.4447,8.941807,6.899906,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3551,3551,2022-03-21 02:35:12-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1923.0769,2177.41943,26.5625,14.0625,15.625,12.5,15.625,28.125,18.75,32,29,30,29,28,28,32,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,4005.52075,34.42291,22.4972572,10.57966,3.32350588,100.138016,56.6939735,8.981297,6.86041641,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3552,3552,2022-03-21 02:35:13-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1923.0769,2173.913,33.59375,38.28125,17.96875,16.40625,20.3125,22.65625,24.8697929,32,28,33,29,27,30,32,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,38.06671,26.464695,10.1446266,3.446432,100.138008,56.4074669,8.935909,6.90580368,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3553,3553,2022-03-21 02:35:14-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1912.18127,2173.913,32.03125,24.21875,22.65625,16.40625,14.84375,28.125,23.046875,33,26,26,26,29,31,33,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,36.32898,24.43855,10.4943256,3.39843941,100.138016,56.446167,8.94203949,6.89967346,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3554,3554,2022-03-21 02:35:15-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,26,25.5,15,23,25,1925.82031,2180.937,35.9375,39.84375,35.15625,28.90625,24.21875,26.5625,31.7708321,34,33,35,29,31,28,35,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,38.0290375,29.942625,6.87390852,2.826725,100.138008,56.2716331,8.914391,6.92732239,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3555,3555,2022-03-21 02:35:16-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,26,25.5,15,23,25,1936.87231,2173.913,41.40625,53.125,42.1875,48.4375,39.0625,48.4375,45.4427071,33,36,31,35,38,31,37,4005.52,4005.52,4005.52,4005.52,4005.52,4005.52,43.1717,38.94675,3.102009,2.54535818,100.138,57.89692,9.171864,6.6698494,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3556,3556,2022-03-21 02:35:17-04:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,26,25.5,15,23,25,1936.87231,2173.913,30.46875,22.65625,22.65625,22.65625,42.96875,42.1875,30.5989571,33,26,34,26,31,26,34,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,30.4652443,27.3962879,2.13270068,1.8307929,100.138008,58.0825729,9.201275,6.640438,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3557,3557,2022-03-21 02:35:18-04:00,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,26,25.5,15,23,25,1925.82031,2180.937,35.9375,32.8125,24.21875,14.84375,13.28125,39.84375,26.8229179,33,31,36,29,33,31,36,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,32.49983,29.581459,1.91454208,2.10292554,100.138008,59.88008,9.486031,6.35568237,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3558,3558,2022-03-21 02:35:19-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,26,25.5,15,23,25,1914.89368,2173.913,38.28125,43.75,42.96875,34.375,37.5,42.96875,39.9739571,28,29,27,32,29,29,32,4005.521,4005.521,4005.521,4005.521,4005.521,4005.521,43.2940025,33.9072,7.884093,3.5958302,100.138023,60.12348,9.52459,6.31712341,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
3559,3559,2022-03-21 02:35:20-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,1.0,1.008,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.008,1.016,26.5,26,25.5,15,23,25,1914.89368,2166.934,41.53846,38.4615364,36.9230728,37.6923065,32.30769,27.6923065,35.76923,34,31,36,38,32,35,40,4005.518,4005.518,4005.518,4005.518,4005.518,4005.518,44.3123856,33.0549355,9.885859,3.358229,100.137955,60.2390442,9.542896,6.29881668,100,1112.88086,69.10974,26,1.51953053,99,2097.73413,81.9729156,26,1.524021
