,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
9883,9883,2022-03-21 04:22:04-04:00,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1925.82031,2173.913,0.0,10.1442337,1.5625,1.58770084,0.78125,0.78125,2.4761498,21,22,21,22,22,22,25,4005.52026,1201.656,1201.656,801.104065,801.104065,801.104065,6.16178131,4.9489255,0.4278275,1.24499726,100.138008,41.4090958,6.55991,9.281803,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9884,9884,2022-03-21 04:22:05-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1923.0769,2173.913,5.46875,12.5,14.84375,4.663825,5.4567337,32.3798065,12.5521479,23,24,23,23,23,31,31,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,4005.52246,16.8017,15.3915215,0.6443119,1.41244745,100.138062,41.91256,6.63966751,9.202045,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9885,9885,2022-03-21 04:22:06-04:00,62.7451,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1914.89368,2177.41943,26.5625,0.78125,8.59375,1.5625,2.34375,24.21875,10.6770811,34,24,24,23,23,24,34,4005.52026,4105.658,4005.52026,4005.52026,4005.52026,4005.52026,14.5517883,13.126482,0.642315149,1.23240209,100.138008,42.2546921,6.69386673,9.147846,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9886,9886,2022-03-21 04:22:07-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1925.82031,2173.913,6.25,3.90625,8.59375,39.84375,0.78125,11.71875,11.8489561,28,25,33,32,24,24,33,4005.51929,4105.657,4005.51929,4005.51929,4005.51929,4105.657,16.25503,14.8042221,0.6481669,1.35331953,100.137978,42.6106644,6.7502594,9.091454,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9887,9887,2022-03-21 04:22:08-04:00,60.7843132,100,100,100,100,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1925.82031,2170.418,19.53125,0.0,6.25,32.8125,0.0,0.78125,9.895831,33,24,23,23,22,24,33,4005.52148,4105.65967,4105.65967,4105.65967,4005.52148,4105.65967,14.0805759,12.6574631,0.642385,1.190079,100.138039,42.74171,6.771019,9.070694,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9888,9888,2022-03-21 04:22:09-04:00,60.7843132,100,100,100,100,100,100,0.984,1.008,3.37600017,3.40800023,1.0,1.0,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1934.09741,2180.937,0.78125,7.8125,7.03125,0.78125,0.78125,50.78125,11.328125,23,24,35,24,24,32,35,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,15.6960239,14.2499857,0.64765805,1.28735161,100.138016,42.87752,6.792534,9.049179,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9889,9889,2022-03-21 04:22:10-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1920.34143,2173.913,1.5625,2.36855149,7.8125,0.0,0.0,50.0,10.2905931,23,24,22,24,23,28,28,4005.52075,4105.65869,4005.52075,4005.52075,4005.52075,4005.52075,13.2531805,11.83213,0.642424166,1.19626546,100.138016,42.9121742,6.798023,9.04369,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9890,9890,2022-03-21 04:22:11-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1923.0769,2173.913,5.46875,10.15625,1.5625,0.0,0.78125,46.09375,10.6770811,31,34,23,25,23,24,34,4105.65771,4005.51978,4005.51978,4005.51978,4005.51978,4105.65771,15.1830158,13.7272291,0.6475523,1.28869438,100.137993,42.8967857,6.79558563,9.046127,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9891,9891,2022-03-21 04:22:12-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.504,0.6,0.528,1.0,1.016,1.016,26.0,26,25.5,15,23,25,1914.89368,2166.934,7.03125,23.61111,19.27923,9.33894,8.4517,35.9375,17.2749577,24,24,24,24,24,24,26,2803.8645,1902.62231,1301.79419,1301.79419,4005.52075,4005.52075,18.9387989,17.4729023,0.632845759,1.5271188,100.138016,41.9666,6.64822769,9.193485,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9892,9892,2022-03-21 04:22:13-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.0,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1925.82031,2173.913,14.0625,7.03125,24.8197079,7.8125,5.518353,18.0431538,12.881237,23,24,23,24,23,27,27,4005.52051,4005.52051,4005.52051,4005.52051,4005.52051,4105.65869,19.23561,17.7207355,0.6764648,1.61031151,100.138016,42.4341125,6.72229,9.119423,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9893,9893,2022-03-21 04:22:14-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.0,26,25.5,15,23,25,1925.82031,2173.913,1.5625,17.1875,0.78125,0.78125,0.78125,50.0,11.8489561,22,24,23,24,23,31,31,4005.52,4105.658,4105.658,4105.658,4105.658,4005.52,15.3623247,13.9278536,0.642186642,1.310854,100.138,42.6905174,6.762909,9.078804,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
9894,9894,2022-03-21 04:22:15-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.0,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.0,26,25.5,15,23,25,1936.87231,2180.937,0.793647766,10.15625,0.78125,0.78125,0.0,50.0,10.4187307,23,23,22,24,23,31,31,4005.52026,4005.52026,4005.52026,4005.52026,4005.52026,4105.658,14.77642,13.3560419,0.647765458,1.27006543,100.138008,43.2134132,6.845745,8.995968,100,1112.94775,69.1096039,26,1.51950586,99,2100.86,82.02898,25,1.52413118
