,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,Fan #3,Fan #4,Fan #7,Voltage #7,Temperature #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Core #7,CPU Core #8,CPU Total,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1,Used Space.2
7344,2022-03-18 19:57:35-04:00,41.9607849,41.9607849,41.9607849,41.9607849,60.0,100,100,0.792000055,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,742.166,922.131165,791.3247,769.6693,2556.818,7.8125,4.6875,14.0625,14.0625,0.78125,2.34375,2.34375,3.125,6.15234375,27.7149353,8.822403,23.01027,41.0,390.000031,405.000031,0.0,18.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.9480009,15.625,1.953125,99.0,2019.59961,86.3166656,29.0,1.50982356,100,1111.36353,69.1091461,26.0,1.51925969,21.8444061,,
7345,2022-03-18 19:57:36-04:00,41.9607849,41.9607849,41.9607849,41.9607849,60.0,100,100,1.2,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.45600003,40.0,33,22,22,62,747.0946,901.2016,805.970154,795.99054,2542.3728,4.6875,3.125,29.6875,26.5625,2.34375,0.78125,2.34375,0.78125,8.7890625,27.7820663,8.843773,22.9889,41.0,390.000031,405.000031,0.0,17.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.2520008,16.6015625,1.953125,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7346,2022-03-18 19:57:37-04:00,54.11765,54.11765,54.11765,54.11765,60.0,100,100,1.192,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,788.091064,1106.55737,889.9143,904.219666,2556.818,5.46875,3.90625,33.59375,39.0625,1.5625,3.125,1.5625,2.34375,11.328125,27.8717346,8.872318,22.9603539,41.0,390.000031,405.000031,0.0,17.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.449,16.6015625,2.9296875,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7347,2022-03-18 19:57:38-04:00,56.47059,56.47059,56.47059,56.47059,60.0,100,100,1.2,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,827.7131,1231.75183,964.2857,917.119568,2556.818,7.03125,3.90625,36.71875,40.625,0.78125,2.34375,3.125,3.90625,12.3046875,27.8046875,8.850975,22.9816971,41.0,390.000031,405.000031,0.0,17.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.2900009,15.625,1.953125,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7348,2022-03-18 19:57:39-04:00,58.4313736,58.4313736,58.4313736,58.4313736,60.0,100,100,1.2,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,862.069,1288.168,975.433533,956.090637,2556.818,3.125,3.90625,46.875,36.71875,3.90625,3.90625,4.6875,4.6875,13.4765625,27.83931,8.861996,22.9706764,41.0,390.000031,405.000031,0.0,18.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.3910007,15.625,0.9765625,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7349,2022-03-18 19:57:40-04:00,57.2549,57.2549,57.2549,57.2549,60.0,100,100,1.192,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,862.069,1295.58545,1018.86792,951.3742,2547.17,4.6875,3.90625,34.375,35.15625,0.0,2.34375,2.34375,3.125,10.7421875,27.8427811,8.863102,22.96957,40.0,390.000031,405.000031,0.0,17.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.2940006,14.6484375,0.0,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7350,2022-03-18 19:57:41-04:00,57.2549,57.2549,57.2549,57.2549,60.0,100,100,1.2,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,865.9397,1351.35132,988.287,954.0636,2561.67,5.46875,5.46875,41.40625,33.59375,3.125,2.34375,4.6875,4.6875,12.5976563,27.876,8.873676,22.9589958,41.0,390.000031,405.000031,0.0,17.0,11,0,1,0,0,8192,1362.65625,6829.34375,16.6339874,10.3720007,0.9765625,0.0,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7351,2022-03-18 19:57:42-04:00,56.47059,56.47059,56.47059,56.47059,60.0,100,100,1.192,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.0,33,22,22,62,861.5188,1344.62146,965.6652,957.446838,2551.98486,21.875,24.21875,53.90625,58.59375,18.75,26.5625,19.53125,25.78125,31.1523438,28.3641357,9.02906,22.8036118,41.0,390.000031,405.000031,0.0,14.0,6,0,2,0,0,8192,1299.76953,6892.23047,15.8663273,10.451,10.7421875,450.1953,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7352,2022-03-18 19:57:43-04:00,56.47059,56.47059,56.47059,56.47059,60.0,100,100,1.20800006,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,40.5,33,22,22,62,849.0566,1278.409,969.131348,967.741943,2556.818,7.8125,4.6875,39.0625,36.71875,0.78125,5.46875,7.03125,2.34375,12.9882813,28.39087,9.037571,22.7951012,41.0,390.000031,405.000031,0.0,18.0,8,0,5,0,0,8192,1204.37109,6987.629,14.7017956,9.950001,0.0,0.0,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7353,2022-03-18 19:57:44-04:00,52.9411774,52.9411774,52.9411774,52.9411774,60.0,100,100,1.16000009,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.5,33,22,22,62,859.8726,1254.64685,1000.0,967.741943,2556.818,28.125,25.0,57.03125,62.5,27.34375,29.6875,25.78125,27.34375,35.3515625,29.3218918,9.333942,22.49873,41.0,390.000031,405.000031,0.0,14.0,8,0,1,0,0,8192,1227.418,6964.582,14.9831295,10.1930008,30.2734375,8.7890625,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7354,2022-03-18 19:57:45-04:00,52.9411774,52.9411774,52.9411774,52.9411774,60.0,100,100,1.2,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.5,33,22,22,62,843.75,1219.51221,974.729248,951.3742,2551.98486,9.375,10.9375,39.0625,44.53125,4.6875,8.59375,6.25,11.71875,16.8945313,29.6493149,9.438171,22.3945,40.0,390.000031,405.000031,0.0,17.0,9,0,2,0,0,8192,1244.43359,6947.56641,15.19084,10.343,0.0,5.859375,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7355,2022-03-18 19:57:46-04:00,55.294117,55.294117,55.294117,55.294117,60.0,100,100,1.184,0.992000043,3.40800023,3.29600024,1.008,1.024,3.3920002,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.5,33,22,22,62,845.335,1285.71423,979.6807,927.835,2556.818,7.03125,3.90625,39.0625,37.5,2.34375,10.15625,5.46875,3.125,13.5742188,29.84945,9.501877,22.3307953,40.0,390.000031,405.000031,0.0,16.0,9,0,1,0,0,8192,1249.05859,6942.94141,15.2472973,10.05,75.19531,3.90625,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7356,2022-03-18 19:57:47-04:00,54.11765,54.11765,54.11765,54.11765,60.0,100,100,1.20800006,0.992000043,3.40800023,3.29600024,1.008,1.024,3.3920002,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,40.5,33,22,22,62,843.222961,1285.71423,981.1047,948.699951,2542.3728,17.6923027,14.6153812,47.6923065,47.6923065,8.4615345,13.8461533,14.6153812,13.8461533,22.3076878,30.151123,9.597908,22.2347641,41.0,435.000031,405.000031,0.0,24.0,13,0,3,0,0,8192,1304.79688,6887.203,15.9276962,12.1100006,80.078125,15.625,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
7357,2022-03-18 19:57:48-04:00,54.11765,54.11765,54.11765,54.11765,60.0,100,100,1.20800006,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,41.0,33,22,22,62,839.030457,1226.15808,962.910156,946.040649,2556.818,10.9375,10.9375,47.65625,36.71875,10.9375,10.9375,8.59375,10.15625,18.359375,30.4254684,9.685242,22.14743,41.0,435.000031,405.000031,0.0,31.0,17,0,3,0,0,8192,1309.88281,6882.117,15.98978,12.2260008,83.00781,25.390625,99.0,2019.62231,86.31863,29.0,1.50982022,100,1111.36353,69.1091461,26.0,1.51925981,21.8444061,,
