,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,Fan #3,Fan #4,Fan #7,Voltage #7,Temperature #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Core #7,CPU Core #8,CPU Total,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1,Used Space.2
6967,2022-03-18 19:51:17-04:00,39.6078453,39.6078453,39.6078453,39.6078453,60.0,100,100,1.08,0.992000043,3.40800023,3.28000021,1.008,1.016,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,735.6948,920.8731,785.7974,788.5514,2556.818,8.333331,6.107223,8.43823,8.333338,3.06526423,1.51515007,3.03030014,3.82283926,5.33070564,22.8955154,7.288254,24.5444183,40.0,300.0,405.000031,0.0,23.0,14,0,1,0,0,8192,1322.6875,6869.3125,16.1460876,10.5820007,6.8359375,1.953125,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6968,2022-03-18 19:51:18-04:00,35.294117,35.294117,35.294117,35.294117,60.0,100,100,0.752000034,0.992000043,3.40800023,3.29600024,1.008,1.016,3.3920002,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,733.6957,855.5133,771.8696,792.25354,2537.594,1.58730149,1.58730149,2.35614777,6.349206,0.793647766,1.58730149,1.58730149,0.78125,2.07868218,22.8863,7.28532028,24.5473518,40.0,300.0,405.000031,0.0,13.0,8,0,0,0,0,8192,1304.61328,6887.38672,15.9254551,9.157001,2.9296875,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6969,2022-03-18 19:51:19-04:00,34.11765,34.11765,34.11765,34.11765,60.0,100,100,0.736000061,0.992000043,3.40800023,3.29600024,1.008,1.016,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,703.125,753.3482,760.135132,732.1041,2556.818,1.5625,4.6875,1.5625,5.46875,0.0,0.78125,0.78125,1.5625,2.05078125,22.88507,7.284931,24.54774,40.0,300.0,405.000031,0.0,14.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,10.0660009,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6970,2022-03-18 19:51:20-04:00,34.11765,34.11765,34.11765,34.11765,60.0,100,100,0.712,0.992000043,3.40800023,3.29600024,1.008,1.016,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,699.1196,765.740234,735.2941,753.76886,2561.67,3.90625,0.0,1.5625,3.125,0.78125,0.0,2.34375,0.78125,1.5625,22.87857,7.28286,24.5498123,40.0,300.0,405.000031,0.0,13.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,9.937,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6971,2022-03-18 19:51:21-04:00,35.294117,35.294117,35.294117,35.294117,60.0,100,100,0.840000033,0.992000043,3.40800023,3.28000021,1.008,1.016,3.3920002,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,698.757751,775.862061,755.033569,727.370667,2551.98486,3.125,0.0,2.34375,0.78125,0.0,1.5625,0.78125,0.78125,1.171875,22.884819,7.284851,24.547821,40.0,300.0,405.000031,0.0,13.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,9.993,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6972,2022-03-18 19:51:22-04:00,36.47059,36.47059,36.47059,36.47059,60.0,100,100,0.8,0.992000043,3.40800023,3.28000021,1.008,1.016,3.3920002,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.45600003,38.0,33,22,22,62,703.125,793.1845,725.416443,750.4169,2551.98486,2.34375,1.5625,0.78125,1.5625,0.78125,0.0,0.78125,1.5625,1.171875,22.8853226,7.28500748,24.5476646,40.0,300.0,405.000031,0.0,13.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,9.925,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6973,2022-03-18 19:51:23-04:00,37.64706,37.64706,37.64706,37.64706,60.0,100,100,0.776,0.992000043,3.40800023,3.28000021,1.008,1.016,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.45600003,37.5,33,22,22,62,707.9182,817.1913,767.0455,722.698059,2556.818,0.78125,2.34375,3.125,3.125,0.78125,0.78125,1.5625,0.0,1.5625,22.88063,7.283516,24.5491562,40.0,300.0,405.000031,0.0,14.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,10.019,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6974,2022-03-18 19:51:24-04:00,38.4313736,38.4313736,38.4313736,38.4313736,60.0,100,100,0.9760001,0.992000043,3.40800023,3.28000021,1.008,1.016,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.45600003,37.5,33,22,22,62,726.5877,858.7786,765.740234,767.9181,2551.98486,3.125,0.0,0.78125,0.78125,0.78125,0.0,0.78125,0.0,0.78125,22.8582687,7.27639771,24.5562744,40.0,300.0,405.000031,0.0,14.0,8,0,0,0,0,8192,1300.76563,6891.23438,15.8784866,10.069,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6975,2022-03-18 19:51:25-04:00,38.4313736,38.4313736,38.4313736,38.4313736,60.0,100,100,0.896,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,37.5,33,22,22,62,729.3355,823.673,788.5514,737.302,2561.67,3.125,3.125,6.25,3.125,0.78125,2.34375,0.0,1.5625,2.5390625,22.8901367,7.286541,24.5461311,40.0,300.0,405.000031,0.0,16.0,9,0,1,0,0,8192,1293.07813,6898.922,15.7846451,10.2050009,6.8359375,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
6976,2022-03-18 19:51:26-04:00,39.6078453,39.6078453,39.6078453,39.6078453,60.0,100,100,0.808,0.992000043,3.40800023,3.29600024,1.008,1.016,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,37.5,33,22,22,62,729.3355,867.052,779.896,747.9224,2561.67,0.78125,0.78125,3.90625,7.8125,0.78125,0.78125,0.78125,0.0,1.953125,22.9227982,7.29694,24.5357323,40.0,300.0,405.000031,0.0,13.0,8,0,1,0,0,8192,1286.84375,6905.15625,15.7085419,10.123,7.8125,0.9765625,99.0,2019.39478,86.309,27.0,1.50966632,100,1111.36353,69.1091461,26.0,1.51925874,21.8444061,,
