,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,Fan #3,Fan #4,Fan #7,Voltage #7,Temperature #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Core #7,CPU Core #8,CPU Total,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1,Used Space.2
8304,2022-03-18 20:13:37,50.5882378,50.5882378,50.5882378,50.5882378,60.0,100,100,1.20800006,0.992000043,3.40800023,3.29600024,1.008,1.024,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.0,33,22,22,62,785.340332,1108.37439,865.9397,873.786438,2556.818,6.25,6.25,46.875,7.068455,3.125,6.25,4.6875,3.90625,10.5515242,22.73275,7.23644257,24.59623,41.0,450.000031,405.000031,0.0,4.0,3,0,1,0,0,8192,1053.957,7138.043,12.8656864,7.30500031,4.8828125,0.9765625,99.0,2019.90417,86.32328,30.0,1.50978363,100,1111.36365,69.1091461,26.0,1.51926124,21.8444061,,
8305,2022-03-18 20:13:38,50.5882378,50.5882378,50.5882378,50.5882378,60.0,100,100,1.20800006,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,41.5,33,22,22,62,806.4516,1159.79382,908.4791,901.2016,2561.67,15.625,14.0625,30.46875,10.8653841,10.9375,17.1875,13.28125,14.0625,15.8113,21.930687,6.981125,24.8515472,41.0,390.000031,405.000031,0.0,14.0,10,0,0,0,0,8192,1074.26953,7117.73047,13.1136417,7.85400057,14.6484375,0.9765625,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8306,2022-03-18 20:13:39,68.62745,68.62745,68.62745,68.62745,60.0,100,100,1.1680001,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,41.5,33,22,22,62,881.7766,1308.13953,1030.5343,985.4015,2561.67,22.65625,22.65625,17.1875,14.0625,23.4375,35.9375,17.96875,22.65625,22.0703125,22.6066284,7.196293,24.63638,41.0,390.000031,405.000031,0.0,23.0,14,0,2,0,0,8192,1058.17188,7133.828,12.9171371,4.92800045,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8307,2022-03-18 20:13:40,61.9607849,61.9607849,61.9607849,61.9607849,60.0,100,100,1.2,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,42.0,33,22,22,62,905.4326,1406.25,1028.17969,1054.6875,2566.54,44.53125,41.40625,32.8125,38.28125,50.78125,47.65625,44.53125,44.53125,43.0664063,22.8279572,7.26675034,24.5659218,41.0,300.0,405.000031,0.0,2.0,3,0,1,0,0,8192,1058.17188,7133.828,12.9171371,4.56900024,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8308,2022-03-18 20:13:41,68.62745,68.62745,68.62745,68.62745,60.0,100,100,1.15200007,0.992000043,3.40800023,3.28000021,1.008,1.024,3.3920002,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,42.0,33,22,21,62,914.0149,1505.01672,1108.37439,1021.18005,2556.818,90.625,91.40625,92.1875,88.28125,92.96875,92.96875,92.96875,92.1875,91.69922,26.3637619,8.392288,23.4403839,41.0,300.0,405.000031,0.0,1.0,3,0,0,0,0,8192,1058.17188,7133.828,12.9171371,4.4090004,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8309,2022-03-18 20:13:42,100.0,100.0,100.0,100.0,60.0,100,100,1.128,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.544,1.70400012,0.312,0.448,42.0,33,22,21,62,936.1997,1609.05835,1225.04541,1157.80444,2561.67,100.0,97.65625,99.21875,98.4375,97.65625,100.0,97.65625,100.0,98.828125,27.1837616,8.6533165,23.1793556,41.0,300.0,405.000031,0.0,1.0,3,0,0,0,0,8192,1058.17188,7133.828,12.9171371,4.406,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8310,2022-03-18 20:13:43,100.0,100.0,100.0,100.0,60.0,100,100,1.12,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.544,1.70400012,0.312,0.448,43.0,33,22,21,62,1094.8905,2061.0686,1415.09436,1293.10339,2561.67,100.0,100.0,99.21875,100.0,100.0,100.0,100.0,100.0,99.90234,27.3958588,8.720833,23.11184,41.0,300.0,405.000031,0.0,1.0,3,0,0,0,0,8192,1058.17188,7133.828,12.9171371,4.427,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8311,2022-03-18 20:13:44,100.0,100.0,100.0,100.0,60.0,100,100,1.10400009,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.520000041,0.536,0.544,1.70400012,0.312,0.448,43.5,33,22,21,63,1105.65112,2054.79443,1401.86914,1390.31921,2537.594,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27.461731,8.741802,23.09087,42.0,1515.00012,7000.00049,0.0,1.0,3,0,0,0,0,8192,1050.63672,7141.36328,12.8251553,32.77,6.8359375,0.9765625,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8312,2022-03-18 20:13:45,100.0,100.0,100.0,100.0,60.0,100,100,1.128,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.544,1.70400012,0.312,0.448,44.0,33,22,21,63,1103.843,2042.36011,1394.628,1362.26038,2547.17,100.0,99.21875,99.21875,99.21875,98.4375,99.21875,100.0,99.21875,99.31641,27.5404816,8.766872,23.0658,42.0,1515.00012,7000.00049,0.0,2.0,0,0,0,0,0,8192,1061.28516,7130.715,12.9551411,32.963,5.859375,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
8313,2022-03-18 20:13:46,100.0,100.0,100.0,100.0,60.0,100,100,1.10400009,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.544,1.70400012,0.312,0.448,44.5,33,22,21,63,1102.94116,2146.264,1390.31921,1360.88708,2537.594,98.4375,99.21875,99.21875,99.21875,99.21875,99.21875,98.4375,99.21875,99.02344,27.6299362,8.795349,23.037323,42.0,1515.00012,7000.00049,0.0,1.0,0,0,0,0,0,8192,1053.22266,7138.77734,12.8567219,32.3980026,0.0,0.0,99.0,2019.92517,86.32357,29.0,1.50978065,100,1111.36365,69.1091461,26.0,1.51926136,21.8444061,,
