,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,Fan #3,Fan #4,Fan #7,Voltage #7,Temperature #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Core #7,CPU Core #8,CPU Total,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1,Used Space.2
2554,2022-03-18 18:37:31-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.136,0.992000043,3.40800023,3.28000021,1.0,1.024,3.3920002,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.0,32,22,22,62,790.398132,1111.11108,921.5017,909.7035,2551.98486,28.125,25.0,57.03125,56.25,35.9375,12.5,23.4375,29.6875,33.4960938,28.7573853,9.154243,22.6784286,60.0,1935.00012,7000.00049,0.0,99.0,54,0,9,0,0,8192,1670.35156,6521.64844,20.3900337,194.271011,888.6719,153.320313,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2555,2022-03-18 18:37:31-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.136,0.992000043,3.40800023,3.28000021,1.0,1.024,3.40800023,3.13600016,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.0,32,22,22,62,799.289551,1184.21057,905.4326,909.0909,2547.17,18.75,22.65625,57.03125,53.90625,28.125,20.3125,20.3125,21.875,30.3710938,28.8130569,9.171967,22.6607056,60.0,1935.00012,7000.00049,0.0,81.0,45,0,7,0,0,8192,1687.55859,6504.44141,20.60008,195.445,925.78125,205.078125,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2556,2022-03-18 18:37:33-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.128,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.13600016,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,62,802.6159,1155.8219,946.704041,929.1122,2547.17,18.75,22.65625,50.0,49.21875,22.65625,18.75,17.96875,19.53125,27.4414063,28.7528687,9.152805,22.6798668,59.0,1935.00012,7000.00049,0.0,92.0,51,0,8,0,0,8192,1695.74609,6496.254,20.7000256,101.212006,852.539063,200.195313,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2557,2022-03-18 18:37:34-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.136,0.992000043,3.40800023,3.28000021,1.0,1.024,3.40800023,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,62,812.763367,1198.93433,924.024658,901.8036,2551.98486,15.3846149,24.6153831,48.46154,52.30769,23.0769215,13.0769253,12.3076916,28.46154,27.2115345,28.7969131,9.166828,22.665844,60.0,1935.00012,7000.00049,0.0,78.0,43,0,7,0,0,8192,1685.62109,6506.379,20.57643,178.005,833.9844,189.453125,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2558,2022-03-18 18:37:35-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.144,0.992000043,3.40800023,3.28000021,1.008,1.024,3.40800023,3.15200019,0.528,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,62,810.324158,1200.0,950.035156,905.4326,2547.17,16.40625,21.875,53.125,47.65625,12.5,10.15625,17.1875,19.53125,24.8046875,28.4244919,9.048275,22.7843971,54.0,1935.00012,7000.00049,0.0,78.0,43,0,7,0,0,8192,1712.39063,6479.60938,20.9032059,45.428,1.953125,83.984375,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2559,2022-03-18 18:37:36-04:00,52.9411774,52.9411774,52.9411774,52.9411774,60.0,100,100,1.128,0.992000043,3.3920002,3.28000021,1.008,1.024,3.3920002,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,63,812.763367,1168.83118,909.0909,891.6777,2547.17,26.5625,32.03125,57.8125,55.46875,20.3125,21.09375,28.125,17.1875,32.32422,29.4852524,9.385944,22.4467278,53.0,1935.00012,7000.00049,0.0,16.0,3,0,2,0,0,8192,1635.60156,6556.39844,19.96584,46.588,1436.52344,250.976563,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2560,2022-03-18 18:37:37-04:00,52.9411774,52.9411774,52.9411774,52.9411774,60.0,100,100,1.2,0.992000043,3.40800023,3.28000021,1.008,1.024,3.3920002,3.13600016,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,62,814.234,1240.80884,957.446838,917.743042,2551.98486,7.8125,4.6875,29.6875,22.65625,4.6875,4.6875,5.46875,3.125,10.3515625,29.46952,9.380936,22.4517365,52.0,1935.00012,7000.00049,0.0,4.0,0,0,2,0,0,8192,1685.79688,6506.203,20.5785751,43.2430038,1.953125,41.015625,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2561,2022-03-18 18:37:38-04:00,44.3137245,44.3137245,44.3137245,44.3137245,60.0,100,100,1.128,0.992000043,3.40800023,3.28000021,1.008,1.024,3.3920002,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,42.5,32,22,22,62,819.174744,1211.84924,927.835,882.93,2556.818,35.384613,33.8461533,53.84615,54.6153831,33.8461533,33.8461533,32.30769,33.8461533,38.9423065,30.2854538,9.640671,22.1920013,55.0,1935.00012,7000.00049,0.0,26.0,5,0,4,0,0,8192,1687.92578,6504.074,20.6045628,101.790009,1229.49219,638.6719,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2562,2022-03-18 18:37:39-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.136,0.992000043,3.40800023,3.28000021,1.0,1.024,3.3920002,3.13600016,0.520000041,0.536,0.536,1.70400012,0.312,0.448,43.0,32,22,22,62,781.25,1056.338,876.0545,871.53,2551.98486,25.78125,33.59375,60.9375,60.9375,31.25,30.46875,26.5625,36.71875,38.28125,30.4194565,9.683327,22.1493454,58.0,1935.00012,7000.00049,0.0,77.0,27,0,16,0,0,8192,1953.21484,6238.785,23.8429546,139.049011,2224.60938,346.6797,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
2563,2022-03-18 18:37:40-04:00,51.7647057,51.7647057,51.7647057,51.7647057,60.0,100,100,1.128,0.992000043,3.40800023,3.28000021,1.0,1.024,3.3920002,3.15200019,0.520000041,0.536,0.536,1.70400012,0.312,0.448,43.0,32,22,22,63,803.0934,1192.57947,907.868164,880.6262,2542.3728,19.53125,17.96875,52.34375,53.90625,21.875,18.75,17.1875,24.21875,28.2226563,30.474617,9.700886,22.1317863,60.0,1935.00012,7000.00049,0.0,86.0,33,0,18,0,0,8192,1989.08984,6202.91,24.2808819,176.516,1717.77344,381.835938,99.0,2018.66614,86.30473,26.0,1.50957286,100,1111.2793,69.1091461,26.0,1.51928341,21.8444061,,
