,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
18332,18332,2022-03-19 23:17:48-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.36,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,21,25.0,117,27.0,110,109,109,1648.35168,2188.00659,20.3125,20.3125,28.125,31.25,25.0,16,18,17,17,21,1596.00208,1596.00208,1596.00208,1596.00208,15.0564575,7.255362,0,1.24496734,99.75013,34.4656219,5.49354172,10.445652,48,48,0,0,0,48,17,0,791,926,133,0.8,0.85,0.8,8,3,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18333,18333,2022-03-19 23:17:49-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,25.0,117,27.0,110,109,109,1656.44177,2188.00659,75.0,81.25,76.5625,82.8125,78.90625,23,26,26,27,27,3291.75415,3291.75415,3291.75415,3291.75415,30.3355579,25.4828644,0,1.79223073,99.75012,34.91548,5.56524658,10.3739471,48,50,0,0,0,48,16,0,787,238,374,0.8,0.675,0.8,32,4,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18334,18334,2022-03-19 23:17:50-04:00,83.13725,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,29,25.0,117,27.0,110,109,109,1668.72681,2188.00659,56.25,57.8125,62.5,62.5,59.765625,24,31,24,25,29,3291.75317,3291.75317,3291.75317,3291.75317,31.4382744,26.1754322,0,1.69624388,99.75009,34.9257965,5.56689072,10.372303,48,50,0,0,0,48,11,0,790,212,111,0.775000036,0.675,0.8,7,2,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18335,18335,2022-03-19 23:17:52-04:00,83.13725,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,29,25.0,117,27.0,110,109,109,1683.29175,2180.937,52.30769,39.9999962,44.6153831,35.384613,43.07692,28,22,32,28,30,3291.75171,3291.75171,3391.50171,3291.75171,30.3527679,22.5326538,0,1.39352119,99.7500458,34.9717026,5.57420731,10.3649864,47,48,0,0,0,47,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18336,18336,2022-03-19 23:17:53-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,25.0,117,27.0,110,109,109,1666.66663,2170.418,32.8125,34.375,57.8125,59.375,46.09375,19,21,21,31,31,3291.753,3291.753,3291.753,3291.753,30.782362,21.45293,0,1.26836634,99.75009,35.1265945,5.598896,10.3402977,47,48,0,0,0,47,10,0,790,200,36,0.775000036,0.675,0.8,0,1,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18337,18337,2022-03-19 23:17:55-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.3920002,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,25.0,117,27.0,110,109,109,1681.19556,2188.00659,23.4375,42.1875,54.6875,51.5625,42.96875,21,27,25,24,24,3291.75317,3291.75317,3291.75317,3391.50317,31.5095654,21.85014,0,1.82357836,99.7501,35.37406,5.63834,10.3008537,47,48,0,0,0,47,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,99,2040.37524,84.384,26,1.515797,100,1111.93713,69.1098557,25,1.51995456
18338,18338,2022-03-19 23:17:55-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,25.5,117,27.0,110,109,109,1672.86243,2188.00659,56.25,65.625,71.875,53.125,61.71875,28,24,27,29,29,3291.75366,3291.75366,3291.75366,3291.75366,36.60744,27.57705,0,1.68317378,99.7501144,35.2329025,5.615841,10.3233528,47,48,0,0,0,47,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,99,2040.39771,84.38153,26,1.51579475,100,1111.93713,69.1098557,25,1.51995468
18339,18339,2022-03-19 23:17:56-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,25.5,117,27.0,110,109,109,1668.72681,2191.55835,67.1875,70.3125,92.1875,82.8125,78.125,27,24,25,27,27,3291.7522,3291.7522,3291.7522,3291.7522,35.3108025,25.893158,0,1.48911619,99.75007,35.59173,5.67303467,10.2661591,47,48,0,0,0,47,10,0,791,200,32,0.775000036,0.675,0.8,0,1,0,99,2040.39771,84.38153,26,1.51579475,100,1111.93713,69.1098557,25,1.51995468
18340,18340,2022-03-19 23:17:57-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,25.5,117,27.0,110,109,109,1664.61157,2188.00659,59.375,57.8125,62.5,68.75,62.109375,19,21,27,28,28,3291.754,3291.754,3291.754,3291.754,32.3722763,23.200901,0,1.32509363,99.75012,35.4841537,5.6558876,10.2833061,47,48,0,0,0,47,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2040.39771,84.38153,26,1.51579475,100,1111.93713,69.1098557,25,1.51995468
18341,18341,2022-03-19 23:17:58-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,25.5,117,27.0,110,109,109,1660.5166,2188.00659,28.125,62.5,62.5,87.5,60.15625,21,29,27,27,29,3291.75317,3291.75317,3291.75317,3291.75317,32.4834023,23.6772823,0,1.40723693,99.75009,35.69126,5.6889,10.2502937,47,48,0,0,0,47,10,0,790,202,41,0.775000036,0.675,0.8,0,1,0,99,2040.39771,84.38153,26,1.51579475,100,1111.93713,69.1098557,25,1.51995468
