,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
18975,18975,2022-03-19 23:28:37-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.496000022,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.5,117,27.0,110,109,109,1656.44177,2191.55835,43.07692,15.3846149,13.8461533,21.53846,23.4615326,20,21,19,19,22,3291.75317,3291.75317,3291.75317,3291.75317,18.2929363,13.8294382,0,1.46928823,99.75009,40.471344,6.45080566,9.488388,53,54,0,0,0,54,43,0,884,1750,726,0.8,0.85,0.8,60,6,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18976,18976,2022-03-19 23:28:38-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.5,117,27.0,110,109,109,1644.33618,2188.00659,36.9230728,21.53846,18.4615364,30.76923,26.9230785,21,23,27,21,27,3291.75342,3291.75342,3291.75342,3291.75342,19.1403313,14.8556376,0,1.5076493,99.7501,40.9818039,6.53216934,9.407024,54,54,0,0,0,54,41,0,928,1750,604,0.8,0.85,0.8,45,5,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18977,18977,2022-03-19 23:28:39-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,24,26.5,117,27.0,110,109,109,1652.38684,2180.937,45.3125,29.6875,26.5625,31.25,33.203125,21,22,21,20,23,3291.754,3291.754,3491.25415,3291.754,23.2804337,16.9690742,0,1.54919612,99.75012,40.446312,6.44681549,9.492378,51,52,0,0,0,51,20,0,791,1070,88,0.775000036,0.85,0.8,4,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18978,18978,2022-03-19 23:28:40-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.5,117,27.0,110,109,109,1660.5166,2166.934,40.625,25.0,25.0,32.8125,30.859375,20,21,19,19,22,3391.50317,3291.753,3291.753,3391.50317,24.5062561,15.1710281,0,1.40414655,99.75009,40.3055344,6.42437744,9.514816,49,50,0,0,0,49,12,0,790,200,35,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18979,18979,2022-03-19 23:28:41-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,22,26.5,117,27.0,110,109,109,1656.44177,2177.41943,31.25,23.4375,26.5625,28.125,27.34375,26,24,21,24,26,3291.75317,3291.75317,3291.75317,3291.75317,25.0204983,15.9188948,0,1.39047492,99.7501,40.7739258,6.499035,9.440159,49,50,0,0,0,49,11,0,790,202,47,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18980,18980,2022-03-19 23:28:42-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,24,26.5,117,27.0,110,109,109,1652.38684,2180.937,35.384613,39.9999962,32.30769,38.4615364,36.5384636,21,23,21,21,24,3291.75317,3291.75317,3291.75317,3291.75317,26.6473141,17.65746,0,1.65857148,99.75009,41.3075333,6.58408737,9.355106,49,50,0,0,0,49,11,0,790,208,36,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18981,18981,2022-03-19 23:28:43-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.5,117,27.0,110,109,109,1656.44177,2188.00659,48.4375,26.5625,31.25,34.375,35.15625,22,24,21,20,24,3391.504,3391.504,3291.754,3291.754,25.80007,17.44237,0,1.58063686,99.7501144,41.651783,6.638958,9.300236,50,50,0,0,0,50,14,0,790,406,49,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18982,18982,2022-03-19 23:28:44-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,23,26.5,117,27.0,110,109,109,1677.01868,2180.937,43.75,34.375,37.5,29.6875,36.328125,23,23,20,23,24,3291.75269,3291.75269,3291.75269,3291.75269,25.74998,17.4341469,0,1.67218339,99.7500839,42.1946449,6.72548676,9.213707,50,52,0,0,0,50,12,0,790,262,40,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18983,18983,2022-03-19 23:28:45-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,24,26.5,117,27.0,110,109,109,1677.01868,2191.55835,52.30769,33.8461533,35.384613,33.8461533,38.8461456,21,23,23,21,24,3291.75366,3291.75366,3291.75366,3291.75366,26.5341148,18.5278416,0,1.79219806,99.75011,42.6087341,6.79148865,9.147705,50,50,0,0,0,50,20,0,789,956,188,0.775000036,0.85,0.8,16,2,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
18984,18984,2022-03-19 23:28:46-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.5,117,27.0,110,109,109,1638.34949,2170.418,43.07692,41.53846,33.8461533,27.6923065,36.53846,22,22,21,20,23,3391.50342,3291.75342,3291.75342,3291.75342,25.8626518,17.4218464,0,1.65855837,99.7501,42.8943,6.83700562,9.102188,49,50,0,0,0,49,11,0,788,206,35,0.775000036,0.675,0.8,0,1,0,99,2040.6532,84.38546,26,1.51577175,100,1111.93787,69.1098557,25,1.51995468
