,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
2312,2312,2022-03-19 18:48:26-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.520000041,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,117,27.0,110,109,108,1658.47668,2188.00659,45.3125,42.1875,35.9375,35.9375,39.84375,23,22,21,20,25,3291.75317,3291.75317,798.0008,798.0008,23.15307,17.3424549,0,1.26903379,99.7501,29.6896133,4.73228455,11.2069092,47,48,0,0,0,47,10,0,790,200,56,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2313,2313,2022-03-19 18:48:27-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,21,26.0,117,27.0,110,109,108,1660.5166,2188.00659,3.125,4.6875,4.6875,10.9375,5.859375,17,18,17,17,21,798.0007,1895.25159,1895.25159,3291.75269,8.921847,2.15325785,0,0.9787481,99.7500839,29.7462158,4.7413063,11.1978874,47,48,0,0,0,47,10,0,791,200,55,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2314,2314,2022-03-19 18:48:28-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.336000025,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,26.0,117,27.0,110,109,109,1656.44177,2188.00659,6.25,6.25,3.125,7.8125,5.859375,16,19,17,17,21,798.0006,1995.00146,1995.00146,1995.00146,9.234191,2.426275,0,0.9714257,99.75008,29.739296,4.740204,11.19899,47,48,0,0,0,47,10,0,790,200,49,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2315,2315,2022-03-19 18:48:29-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,117,27.0,110,109,109,1648.35168,2188.00659,40.625,23.4375,23.4375,21.875,27.34375,27,22,20,19,26,3491.25513,3291.75464,3291.75464,3291.75464,19.035244,13.1826878,0,1.112441,99.750145,29.9000015,4.76581955,11.1733742,47,48,0,0,0,47,10,0,791,200,54,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2316,2316,2022-03-19 18:48:30-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,117,27.0,110,109,109,1654.41174,2188.00659,35.9375,40.625,15.625,20.3125,28.125,26,22,20,19,26,3391.50366,3291.75342,3291.75342,3291.75342,23.9690971,17.1288319,0,1.07369292,99.75011,30.1368637,4.80357361,11.13562,47,48,0,0,0,47,10,0,791,200,55,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2317,2317,2022-03-19 18:48:31-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,26,26.0,117,27.0,110,109,109,1668.72681,2188.00659,29.6875,34.375,18.75,17.1875,25.0,23,24,23,21,25,3291.753,3291.753,3291.753,3291.753,23.0559826,16.35261,0,1.22722054,99.75009,30.2539215,4.82223129,11.1169624,47,48,0,0,0,47,13,0,789,200,251,0.8,0.675,0.8,26,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2318,2318,2022-03-19 18:48:32-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,117,27.0,110,109,109,1666.66663,2188.00659,25.0,31.25,25.0,32.8125,28.515625,20,23,20,19,23,3291.75366,3391.50366,3291.75366,3291.75366,21.0831356,15.06613,0,1.12323058,99.75011,30.2724228,4.82518,11.1140137,47,48,0,0,0,47,10,0,791,200,44,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2319,2319,2022-03-19 18:48:33-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,27.0,110,109,109,1660.5166,2184.466,4.6875,6.25,3.125,4.6875,4.6875,20,21,20,19,23,3491.25366,3291.75342,3291.75342,3291.75342,19.2408161,12.3872337,0,1.043316,99.7501,30.35707,4.83867264,11.1005211,47,48,0,0,0,47,10,0,791,200,66,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2320,2320,2022-03-19 18:48:34-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.576000035,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,117,27.0,110,109,109,1648.35168,2188.00659,9.375,3.125,9.375,3.125,6.25,19,21,20,20,23,3291.753,3291.753,3291.753,3291.753,18.1187515,11.2243147,0,1.03401077,99.75009,30.401207,4.845707,11.0934868,47,48,0,0,0,47,10,0,791,200,45,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2321,2321,2022-03-19 18:48:35-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,117,27.0,110,109,108,1654.41174,2188.00659,31.25,28.125,21.875,18.75,25.0,24,28,25,25,28,3291.75342,3291.75342,3291.75342,3291.75342,20.0133667,13.3091,0,1.227119,99.7501,30.64357,4.88433838,11.0548553,48,48,0,0,0,48,29,0,1170,1696,377,0.775000036,0.85,0.818,14,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2322,2322,2022-03-19 18:48:36-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,26.0,117,27.0,110,109,109,1662.56152,2188.00659,93.75,89.0625,84.375,84.375,87.890625,27,29,26,27,29,3291.75342,3291.75342,3291.75342,3291.75342,33.9723358,29.7170315,0,1.71977413,99.75011,31.8254776,5.07272339,10.86647,47,48,0,0,0,47,16,0,787,200,505,0.8,0.675,0.8,24,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2323,2323,2022-03-19 18:48:37-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,26.0,117,27.0,110,109,109,1666.66663,2188.00659,85.9375,87.5,76.5625,79.6875,82.421875,25,26,22,24,26,3291.75317,3391.50317,3291.75317,3291.75317,31.9059467,27.3221626,0,1.33511555,99.75009,32.220192,5.135639,10.8035545,47,48,0,0,0,47,10,0,791,202,35,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2324,2324,2022-03-19 18:48:38-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,26,26.0,117,27.0,110,109,108,1668.72681,2180.937,57.8125,40.625,26.5625,28.125,38.28125,20,22,21,24,24,3291.75317,3291.75317,3291.75317,3391.50342,28.6605244,19.3504944,0,1.25795794,99.7501,32.9653625,5.2544136,10.68478,46,48,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2325,2325,2022-03-19 18:48:39-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,117,27.0,110,109,108,1666.66663,2188.00659,37.5,32.8125,15.625,29.6875,28.90625,20,22,21,26,26,3291.75342,3291.75342,3291.75342,3391.50342,27.48015,17.6114464,0,1.17692792,99.7501,33.2135468,5.293972,10.6452217,47,48,0,0,0,47,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2326,2326,2022-03-19 18:48:40-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.480000019,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,27.0,110,109,109,1654.41174,2188.00659,19.9999981,18.4615364,21.53846,18.4615364,19.6153812,22,23,20,20,23,3291.75366,3291.75366,3291.75366,3291.75366,20.8696117,13.8789034,0,1.1934042,99.7501144,33.9507065,5.41146851,10.5277252,48,50,0,0,0,48,16,0,790,822,127,0.775000036,0.85,0.8,8,5,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2327,2327,2022-03-19 18:48:42-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,27.0,110,109,109,1654.41174,2184.466,21.875,15.625,18.75,65.625,30.46875,19,27,19,25,25,3291.753,3291.753,3291.753,3291.753,20.9600887,14.6554356,0,1.845234,99.75009,33.830925,5.392376,10.5468178,48,50,0,0,0,48,16,0,791,876,83,0.775000036,0.675,0.8,4,3,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
2328,2328,2022-03-19 18:48:42-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,26,26.0,117,27.0,110,109,109,1648.35168,2180.937,31.25,29.6875,45.3125,45.3125,37.890625,22,27,28,24,27,3391.50342,3291.75342,3291.75342,3291.75342,22.5207386,17.8485813,0,1.43720865,99.7501,35.7825928,5.703457,10.2357368,49,50,0,0,0,49,25,0,925,1750,188,0.775000036,0.85,0.818,2,0,0,99,2037.11914,84.32158,25,1.51459146,100,1111.777,69.1098557,26,1.51999724
