,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
8823,8823,2022-03-19 20:38:04-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.36,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,25.5,117,27.0,110,109,109,1648.35168,2188.00659,20.3125,12.5,20.3125,28.125,20.3125,16,18,17,17,21,798.0009,798.0009,798.0009,798.0009,12.9518223,6.636171,0,1.20697355,99.7501144,32.2170639,5.13513947,10.8040543,50,50,0,0,0,50,11,0,790,200,107,0.8,0.675,0.8,1,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8824,8824,2022-03-19 20:38:05-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.336000025,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,25.5,117,27.0,110,109,109,1656.44177,2188.00659,3.125,9.375,3.125,9.375,6.25,15,18,17,17,20,798.0008,798.0008,798.0008,798.0008,11.3557882,2.396024,0,0.989054263,99.7501,32.22563,5.136505,10.8026886,49,50,0,0,0,49,11,0,790,200,37,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8825,8825,2022-03-19 20:38:06-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.336000025,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,25.5,117,27.0,110,109,109,1668.72681,2184.466,3.125,6.25,23.4375,14.0625,11.71875,18,19,20,26,26,3291.75537,3291.75537,3291.75537,3291.75537,16.6904316,7.06101561,0,1.18194652,99.75016,32.9695969,5.255089,10.6841049,50,50,0,0,0,50,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8826,8826,2022-03-19 20:38:07-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,22,25.5,117,27.0,110,109,109,1660.5166,2180.937,0.0,10.9375,20.3125,6.25,9.375,16,18,17,17,20,798.0003,798.0003,798.0003,798.0003,15.1873255,5.232001,0,1.104777,99.75004,32.294838,5.147537,10.7916565,49,50,0,0,0,49,10,0,790,200,35,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8827,8827,2022-03-19 20:38:08-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.3920002,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,24,25.5,117,27.0,110,109,109,1662.56152,2180.937,25.0,29.6875,43.75,25.0,30.859375,20,28,21,21,27,3291.75464,3291.75464,3291.75464,3291.75464,21.3204842,14.2082415,0,1.28284776,99.75014,32.6546021,5.20487976,10.734314,49,50,0,0,0,49,11,0,790,200,83,0.8,0.675,0.8,3,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8828,8828,2022-03-19 20:38:09-04:00,82.7451,100,49.80392,49.80392,49.80392,49.80392,0.528,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,25.5,117,27.0,110,109,109,1650.3667,2180.937,53.125,53.125,53.125,56.25,53.90625,29,23,20,30,30,3291.75342,3291.75342,3291.75342,3291.75342,28.8274231,23.47354,0,1.4542284,99.75011,32.9609146,5.253704,10.68549,50,50,0,0,0,50,11,0,790,200,86,0.8,0.675,0.8,3,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8829,8829,2022-03-19 20:38:10-04:00,82.7451,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,30,25.5,117,27.0,110,109,109,1662.56152,2180.937,31.25,59.375,56.25,31.25,44.53125,19,30,19,31,31,3291.754,3291.754,3291.754,3291.754,26.6478,19.4797039,0,1.2024349,99.75012,32.7764359,5.22430038,10.7148933,49,50,0,0,0,49,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8830,8830,2022-03-19 20:38:11-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.3920002,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,25.5,117,27.0,110,109,109,1672.86243,2188.00659,15.625,25.0,37.5,45.3125,30.859375,19,21,21,29,29,3291.75317,3291.75317,3291.75317,3291.75317,28.7884541,19.19745,0,1.146532,99.75009,33.04899,5.267742,10.6714516,49,50,0,0,0,49,10,0,790,202,33,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8831,8831,2022-03-19 20:38:12-04:00,83.13725,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,29,25.5,117,27.0,110,109,109,1691.72937,2188.00659,34.375,29.6875,40.625,35.9375,35.15625,19,21,21,29,28,3491.25342,3591.00342,3291.75317,3291.75317,27.9685574,18.0993385,0,1.239034,99.7501,33.0382462,5.26602936,10.6731644,49,50,0,0,0,49,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8832,8832,2022-03-19 20:38:13-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,25.5,117,27.0,110,109,109,1683.29175,2188.00659,18.75,23.4375,17.1875,82.8125,35.546875,19,20,21,27,27,3291.75366,3291.75366,3291.75366,3291.75366,28.4951725,18.563118,0,1.68944764,99.75011,33.8349228,5.393013,10.5461807,49,50,0,0,0,49,10,0,790,202,34,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
8833,8833,2022-03-19 20:38:15-04:00,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,25.5,117,27.0,110,109,109,1672.86243,2180.937,43.75,65.625,31.25,67.1875,51.953125,25,21,23,28,28,3291.75317,3391.50317,3291.75317,3291.75317,32.94784,22.8950329,0,1.24632573,99.7501,29.0402374,4.62878036,11.3104134,49,50,0,0,0,49,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,99,2039.037,84.38129,26,1.51510632,100,1111.937,69.1098557,25,1.51993787
