,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
8331,8331,2022-03-19 20:29:46-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.512,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,117,26.5,110,109,109,1654.41174,2188.00659,31.25,37.5,34.375,26.5625,32.421875,19,25,22,20,25,3291.753,3291.753,3291.753,3291.753,21.2025642,15.4109774,0,1.24167836,99.7500839,40.8733177,6.51487732,9.424316,53,54,0,0,0,53,18,0,790,652,170,0.775000036,0.85,0.8,11,6,0,99,2038.78235,84.3784561,25,1.51514065,100,1111.937,69.1098557,25,1.519937
8332,8332,2022-03-19 20:29:47-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,25,26.0,117,26.5,110,109,109,1658.47668,2188.00659,32.8125,51.5625,31.25,26.5625,35.546875,26,25,21,23,26,3391.50317,3291.75317,3291.75317,3291.75317,22.3000889,16.5073967,0,1.3696996,99.75009,40.9874077,6.533062,9.406132,53,54,0,0,0,53,20,0,791,1114,87,0.775000036,0.85,0.8,2,1,0,99,2038.78235,84.3784561,25,1.51514065,100,1111.937,69.1098557,25,1.519937
8333,8333,2022-03-19 20:29:48-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,26,26.0,117,26.5,110,109,109,1646.34143,2180.937,31.25,56.25,31.25,37.5,39.0625,19,26,20,20,26,3491.25366,3291.75342,3291.75342,3291.75342,22.9996586,17.1364136,0,1.3367238,99.7501,40.90359,6.519703,9.419491,54,54,0,0,0,54,20,0,791,1130,95,0.775000036,0.85,0.8,2,1,0,99,2038.78235,84.3784561,25,1.51514065,100,1111.937,69.1098557,25,1.519937
8334,8334,2022-03-19 20:29:49-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,25,26.0,117,26.5,110,109,109,1652.38684,2188.00659,42.1875,46.875,40.625,42.1875,42.96875,21,25,22,23,25,3291.75317,3291.75317,3291.75317,3291.75317,24.5824528,18.5854683,0,1.398465,99.75009,41.0427856,6.541889,9.397305,53,54,0,0,0,53,14,0,789,432,65,0.775000036,0.675,0.8,3,3,0,99,2038.78235,84.3784561,25,1.51514065,100,1111.937,69.1098557,25,1.519937
8335,8335,2022-03-19 20:29:50-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,26,26.0,117,26.5,110,109,109,1662.56152,2188.00659,35.384613,53.8461571,44.6153831,41.53846,43.84615,24,24,22,21,24,3291.75342,3291.75342,3491.25366,3291.75342,24.06697,18.05834,0,1.43565357,99.7501,40.9500465,6.52710724,9.41208649,53,54,0,0,0,53,19,0,790,1002,71,0.775000036,0.675,0.8,2,1,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
8336,8336,2022-03-19 20:29:51-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,26.0,117,26.5,110,109,109,1646.34143,2180.937,71.875,79.6875,68.75,67.1875,71.875,29,31,28,27,31,3291.75244,3291.75244,3291.75244,3291.75244,32.84699,25.65986,0,1.87853622,99.75008,41.3583641,6.59219,9.347004,52,52,0,0,0,52,17,0,791,200,299,0.8,0.675,0.8,22,1,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
8337,8337,2022-03-19 20:29:52-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,117,26.5,110,109,109,1646.34143,2170.418,74.60318,76.1904755,73.01587,58.73016,70.63492,20,23,22,20,24,3291.75415,3291.75415,3291.75415,3291.75415,30.5743675,24.9932175,0,1.74743259,99.75013,41.6667366,6.641342,9.297852,53,54,0,0,0,53,16,0,790,562,103,0.775000036,0.675,0.8,4,2,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
8338,8338,2022-03-19 20:29:53-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,26.0,117,26.5,110,109,109,1662.56152,2163.46143,54.6875,75.0,56.25,67.1875,63.28125,29,31,29,29,31,3291.753,3291.753,3291.753,3291.753,31.3745785,24.74464,0,1.71124876,99.75009,42.6803856,6.80291,9.136284,52,54,0,0,0,52,11,0,790,202,46,0.775000036,0.675,0.8,0,1,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
8339,8339,2022-03-19 20:29:54-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,26.5,117,26.5,110,109,109,1670.79211,2188.00659,92.1875,85.9375,90.625,85.9375,88.671875,27,28,27,27,28,3291.753,3291.753,3291.753,3291.753,35.55705,29.16654,0,2.0667057,99.75009,43.7276649,6.969837,8.969357,53,54,0,0,0,53,19,0,790,630,191,0.775000036,0.85,0.8,21,6,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
8340,8340,2022-03-19 20:29:55-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,26.5,117,26.5,110,109,109,1670.79211,2188.00659,64.0625,70.3125,71.875,67.1875,68.359375,22,25,25,23,25,3291.753,3291.753,3291.753,3291.753,29.45583,24.1380959,0,1.63995612,99.75009,44.2352066,7.05073547,8.888458,52,54,0,0,0,52,20,0,790,200,495,0.8,0.675,0.8,59,1,0,99,2038.7915,84.37882,25,1.51513863,100,1111.937,69.1098557,25,1.519937
