,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
535,535,2022-03-19 18:18:43-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.448,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,118,26.5,110,109,109,1648.35168,2188.00659,23.0769215,29.2307682,23.0769215,19.9999981,23.8461552,17,21,19,19,22,3291.75317,3291.75317,3291.75317,3291.75317,19.7892132,14.3772945,0,1.279814,99.7501,32.916832,5.2466774,10.6925163,49,50,0,0,0,49,16,0,792,938,129,0.775000036,0.85,0.8,3,2,0,99,2035.30212,84.3213,25,1.513859,100,1111.64917,69.1098557,25,1.52007151
536,536,2022-03-19 18:18:44-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.440000027,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,26.5,110,109,109,1654.41174,2188.00659,23.4375,28.125,23.4375,18.75,23.4375,25,22,21,27,27,3291.753,3291.753,3291.753,3291.753,19.02978,13.5865536,0,1.27281547,99.75009,33.688736,5.369713,10.5694809,48,50,0,0,0,48,13,0,791,328,145,0.775000036,0.675,0.8,9,7,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
537,537,2022-03-19 18:18:45-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,24,26.0,118,26.5,110,109,109,1656.44177,2180.937,29.6875,26.5625,42.1875,50.0,37.109375,19,23,27,19,27,3291.754,3291.754,3291.754,3291.754,21.7554169,16.4200821,0,1.32671285,99.75012,33.2979355,5.30742264,10.6317711,49,50,0,0,0,49,16,0,792,838,115,0.775000036,0.85,0.8,3,3,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
538,538,2022-03-19 18:18:46-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.480000019,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,26.5,110,109,109,1668.72681,2184.466,17.1875,23.4375,28.125,28.125,24.21875,20,21,19,19,22,3291.75244,3291.75244,3291.75244,3291.75244,19.2434368,13.8154173,0,1.27259707,99.75007,33.40477,5.32445145,10.6147423,49,50,0,0,0,49,16,0,791,628,183,0.775000036,0.675,0.8,8,5,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
539,539,2022-03-19 18:18:46-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.408000022,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,118,26.5,110,109,109,1666.66663,2188.00659,31.25,21.875,21.875,15.625,22.65625,18,21,25,22,25,3291.75366,3291.75366,3291.75366,3291.75366,18.56817,13.251318,0,1.32585824,99.7501144,34.1592331,5.444706,10.4944878,49,52,0,0,0,49,17,0,791,916,107,0.775000036,0.85,0.8,6,4,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
540,540,2022-03-19 18:18:47-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,118,26.5,110,109,109,1654.41174,2188.00659,25.0,15.625,10.9375,20.3125,17.96875,17,21,19,19,22,3291.753,3291.753,3291.753,3291.753,17.11941,11.8090734,0,1.26205468,99.75009,33.5170364,5.342346,10.5968475,49,52,0,0,0,49,18,0,791,916,125,0.775000036,0.85,0.8,12,7,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
541,541,2022-03-19 18:18:49-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.45600003,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,117,26.5,110,109,109,1662.56152,2188.00659,10.9375,12.5,17.1875,18.75,14.84375,17,20,19,18,22,3291.754,3291.754,3291.754,3291.754,16.6532612,11.31535,0,1.21892226,99.75012,33.55964,5.34913635,10.5900574,50,52,0,0,0,50,20,0,790,770,232,0.775000036,0.85,0.8,24,12,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
542,542,2022-03-19 18:18:50-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.496000022,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,117,26.5,110,109,109,1654.41174,2180.937,18.4615364,12.3076916,19.9999981,18.4615364,17.3076935,20,21,23,21,24,3291.75342,3291.75342,3291.75342,3291.75342,19.1180859,13.7892628,0,1.35702348,99.75011,33.7608948,5.381214,10.55798,49,52,0,0,0,49,18,0,791,1000,130,0.775000036,0.85,0.8,4,3,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
543,543,2022-03-19 18:18:51-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,23,26.0,117,26.5,110,109,109,1644.33618,2188.00659,13.8461533,18.4615364,21.53846,12.3076916,16.5384655,20,21,19,18,22,3391.50366,3291.75342,3291.75342,3291.75342,16.8024464,11.4605246,0,1.21731842,99.75011,33.6832047,5.36883163,10.5703621,49,52,0,0,0,49,17,0,791,958,125,0.775000036,0.85,0.8,6,4,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
544,544,2022-03-19 18:18:52-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.45600003,1.016,3.40800023,3.42400026,1.0,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,22,26.0,117,26.5,110,109,109,1662.56152,2180.937,18.4615364,16.9230766,9.230768,7.69230747,13.07692,18,21,19,19,22,3291.75317,3291.75317,3291.75317,3291.75317,17.5754414,12.1779528,0,1.25248086,99.7501,33.85849,5.39677048,10.5424232,49,52,0,0,0,49,17,0,792,1000,77,0.8,0.675,0.8,1,1,0,99,2035.32019,84.32079,25,1.51385713,100,1111.64917,69.1098557,25,1.52007151
