,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
22847,22847,2022-03-20 00:33:43-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,25,27.0,118,27.5,110,109,109,1666.66663,2184.466,43.75,31.25,40.625,39.0625,38.671875,20,25,21,21,25,3291.75342,3291.75342,3291.75342,3291.75342,23.1883049,17.6063156,0,1.647575,99.7501,40.6765175,6.483509,9.455685,43,46,0,0,0,43,18,0,791,1108,204,0.775000036,0.85,0.8,8,2,0,99,2041.53845,84.38562,26,1.51623011,100,1111.95276,69.1098,25,1.519943
22848,22848,2022-03-20 00:33:44-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,27.0,118,27.5,110,109,109,1664.61157,2188.00659,54.6875,53.125,59.375,53.125,55.078125,23,31,23,23,31,3291.754,3291.754,3291.754,3291.754,28.46466,22.7167034,0,1.67540908,99.7501144,40.85293,6.511627,9.427567,42,46,0,0,0,42,10,0,791,206,40,0.775000036,0.675,0.8,0,1,0,99,2041.53845,84.38562,26,1.51623011,100,1111.95276,69.1098,25,1.519943
22849,22849,2022-03-20 00:33:45-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,27.0,117,27.5,110,109,109,1660.5166,2188.00659,71.875,60.9375,81.25,65.625,69.921875,28,28,28,29,28,3291.75269,3291.75269,3291.75269,3291.75269,31.7775745,26.0027428,0,2.14800334,99.7500839,42.41138,6.76003265,9.179161,43,46,0,0,0,43,13,0,789,234,167,0.775000036,0.675,0.8,10,1,0,99,2041.53845,84.38562,26,1.51623011,100,1111.95276,69.1098,25,1.519943
22850,22850,2022-03-20 00:33:46-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,27.0,118,27.5,110,109,109,1666.66663,2188.00659,79.6875,75.0,76.5625,75.0,76.5625,27,29,28,28,28,3291.75317,3291.75317,3291.75317,3291.75317,35.53391,27.62456,0,1.95614469,99.7501,42.682785,6.80329132,9.135902,43,46,0,0,0,43,10,0,790,202,37,0.775000036,0.675,0.8,0,1,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22851,22851,2022-03-20 00:33:47-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,27.0,118,27.5,110,109,109,1670.79211,2188.00659,100.0,100.0,100.0,100.0,100.0,28,28,29,28,29,3291.752,3291.752,3291.752,3291.752,38.0657654,32.116478,0,2.15590239,99.75006,43.592205,6.948246,8.990948,43,46,0,0,0,43,13,0,788,204,266,0.775000036,0.675,0.8,17,1,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22852,22852,2022-03-20 00:33:48-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,27.5,117,27.5,110,109,109,1670.79211,2188.00659,100.0,100.0,95.3125,93.75,97.265625,27,27,26,26,27,3291.75513,3291.75513,3291.75513,3291.75513,34.64322,30.2513351,0,1.9078387,99.75015,45.0435638,7.17958069,8.759613,43,46,0,0,0,43,21,0,787,942,522,0.8,0.85,0.8,24,2,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22853,22853,2022-03-20 00:33:49-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,27.5,118,27.5,110,109,109,1672.86243,2188.00659,96.92308,73.8461456,87.69231,95.38461,88.46153,27,28,28,28,28,3291.75342,3291.75342,3291.75342,3291.75342,33.4245338,29.0824947,0,1.950722,99.7501,46.4932442,7.41064835,8.528545,44,46,0,0,0,44,20,0,787,612,502,0.8,0.675,0.8,30,1,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22854,22854,2022-03-20 00:33:50-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,27.5,118,27.5,110,109,109,1666.66663,2188.00659,87.5,81.25,82.8125,90.625,85.546875,25,28,26,27,28,3291.75317,3291.75317,3291.75317,3291.75317,31.62306,27.29519,0,1.96377337,99.7501,47.3096161,7.54077148,8.398422,44,46,0,0,0,44,20,0,787,682,505,0.8,0.85,0.8,39,7,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22855,22855,2022-03-20 00:33:51-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,27.5,117,27.5,110,109,109,1658.47668,2184.466,73.8461456,67.69231,83.07693,87.69231,78.07692,26,27,26,27,27,3291.75317,3291.75317,3291.75317,3291.75317,31.1616039,26.8564644,0,1.87721229,99.75009,48.58696,7.74436951,8.194824,44,46,0,0,0,44,21,0,787,664,510,0.8,0.85,0.8,44,6,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22856,22856,2022-03-20 00:33:52-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,26,27.5,118,27.5,110,109,109,1666.66663,2188.00659,78.125,84.375,90.625,79.6875,83.203125,26,26,26,26,27,3291.75366,3291.75366,3291.75366,3291.75366,31.5849,27.23179,0,1.93768334,99.75011,49.8777771,7.950115,7.98907852,44,46,0,0,0,44,20,0,787,686,512,0.8,0.85,0.8,33,5,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22857,22857,2022-03-20 00:33:53-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,26,27.5,117,27.5,110,109,109,1658.47668,2188.00659,82.8125,79.6875,78.125,89.0625,82.421875,27,27,26,28,28,3291.75244,3291.75244,3291.75244,3291.75244,31.16089,26.8643646,0,1.79188585,99.75008,51.0047226,8.129742,7.809452,44,46,0,0,0,44,17,0,787,320,510,0.8,0.675,0.8,29,1,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22858,22858,2022-03-20 00:33:54-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,27.5,118,27.5,111,109,109,1648.35168,2184.466,78.46154,83.07693,87.69231,90.76923,85.0,26,27,26,28,28,3291.75366,3291.75366,3291.75366,3291.75366,32.1827049,27.8637314,0,1.98508823,99.75011,51.2186852,8.163845,7.77534866,45,46,0,0,0,45,23,0,788,1250,685,0.8,0.85,0.8,21,2,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22859,22859,2022-03-20 00:33:55-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,27.5,118,27.5,110,109,109,1666.66663,2188.00659,83.07693,90.76923,84.61539,95.38461,88.46153,29,28,26,28,28,3291.754,3291.754,3291.754,3291.754,33.9507675,29.56239,0,2.1452384,99.7501144,52.0827026,8.301563,7.63763046,46,46,0,0,0,46,28,0,787,1750,878,0.8,0.85,0.8,24,2,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
22860,22860,2022-03-20 00:33:56-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,27.5,117,27.5,110,109,109,1674.938,2184.466,87.5,85.9375,90.625,98.4375,90.625,26,27,26,26,27,3291.75269,3291.75269,3291.75269,3291.75269,33.5071564,29.120533,0,2.16377044,99.7500839,52.9220543,8.43534851,7.503845,45,46,0,0,0,45,23,0,787,1000,464,0.8,0.85,0.8,36,4,0,99,2041.54468,84.38583,26,1.516229,100,1111.95276,69.1098,26,1.51994312
