,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
4468,4468,2022-03-19 19:24:43-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.008,3.40800023,3.3920002,1.0,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.128,0.136,26,26.0,118,26.5,111,110,109,1650.3667,2188.00659,50.7692337,64.61538,70.7692261,75.38461,65.38461,23,27,24,26,26,3291.75366,3291.75366,3291.75366,3291.75366,29.6060181,24.1434689,0,1.85061824,99.75011,44.9008026,7.156826,8.782368,55,56,0,0,0,64,134,1121,1739,1750,1266,0.9620001,0.85,0.91200006,99,49,29,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4469,4469,2022-03-19 19:24:44-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.536,1.008,3.40800023,3.3920002,1.0,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,118,26.5,111,110,109,1640.34021,2163.46143,84.61539,73.8461456,80.0,81.53846,80.0,26,29,27,28,29,3291.75366,3291.75366,3291.75366,3291.75366,31.063879,26.572752,0,2.13131738,99.75011,44.8598328,7.15029526,8.788898,57,58,0,0,0,65,91,1311,1458,1750,1001,0.775000036,0.85,0.91200006,62,29,34,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4470,4470,2022-03-19 19:24:45-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.37600017,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.128,0.136,27,26.5,118,27.0,111,110,109,1644.33618,2180.937,72.30769,89.23077,72.30769,84.61539,79.61539,26,28,26,27,28,3291.753,3291.753,3291.753,3291.753,31.98819,27.1300926,0,2.257522,99.75009,44.99943,7.17254639,8.766647,57,58,0,0,0,66,135,1391,1739,1750,1266,0.9620001,0.85,0.91200006,99,50,36,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4471,4471,2022-03-19 19:24:46-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,28,26.0,118,26.5,110,110,109,1646.34143,2170.418,82.8125,85.9375,84.375,78.125,82.8125,29,30,28,30,30,3291.75244,3291.75244,3291.75244,3291.75244,36.2664337,28.4617023,0,1.88377607,99.75007,44.861866,7.15061951,8.788574,48,50,0,0,0,48,10,1442,791,200,36,0.775000036,0.675,0.8,0,1,37,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4472,4472,2022-03-19 19:24:47-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,26.0,118,26.5,110,110,109,1654.41174,2188.00659,100.0,95.38461,98.46154,96.92308,97.69231,27,30,28,28,29,3291.75415,3291.75415,3291.75415,3291.75415,38.63919,30.569664,0,1.84227562,99.75012,45.5770721,7.264618,8.674576,48,50,0,0,0,48,10,1475,791,200,36,0.775000036,0.675,0.8,0,1,38,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4473,4473,2022-03-19 19:24:48-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.40800023,1.0,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,26.0,118,26.5,111,110,109,1664.61157,2184.466,100.0,100.0,100.0,98.4127,99.60318,26,30,26,29,29,3291.75317,3291.75317,3291.75317,3291.75317,39.2557564,30.9985828,0,2.02155876,99.75009,46.17515,7.359947,8.57924652,48,48,0,0,0,48,10,1476,790,242,48,0.775000036,0.675,0.8,0,1,38,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4474,4474,2022-03-19 19:24:49-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,118,26.5,111,110,109,1656.44177,2184.466,78.125,82.8125,73.4375,79.6875,78.515625,26,30,27,27,30,3291.753,3291.753,3291.753,3291.753,37.11376,27.4623852,0,1.49046314,99.75009,46.3892059,7.394066,8.545128,46,48,0,0,0,46,10,1458,791,200,38,0.775000036,0.675,0.8,0,1,38,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4475,4475,2022-03-19 19:24:50-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,27,26.0,118,26.5,111,110,109,1658.47668,2202.284,93.75,82.8125,90.625,87.5,88.671875,25,26,26,26,26,3291.754,3291.754,3291.754,3291.754,37.94548,28.4500122,0,1.479376,99.7501144,47.0258446,7.49554062,8.443653,46,48,0,0,0,46,10,1440,791,200,33,0.8,0.675,0.8,0,1,37,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4476,4476,2022-03-19 19:24:52-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,29,26.0,118,26.5,111,110,109,1658.47668,2195.122,96.969696,93.93939,95.4545441,96.969696,95.83333,29,31,27,29,29,3291.75171,3291.75171,3291.75171,3291.75171,36.55459,30.7774143,0,2.33450484,99.75005,47.9103775,7.636528,8.302666,46,50,0,0,0,46,11,0,791,200,70,0.775000036,0.675,0.8,2,1,0,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
4477,4477,2022-03-19 19:24:52-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,26.5,118,27.0,111,110,109,1664.61157,2184.466,100.0,100.0,100.0,100.0,100.0,28,28,26,26,28,3291.75562,3291.75562,3291.75562,3291.75562,35.1390762,30.0692444,0,2.03101516,99.75017,48.0354271,7.65646,8.282734,49,52,0,0,0,49,39,0,887,1748,589,0.8,0.85,0.8,48,9,0,99,2037.95044,84.3774261,25,1.514868,100,1111.84839,69.1098557,25,1.5199672
