,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:09:41.964061184-04:00,99.8016033173,"[1.7743959426879883, 47.989641427993774, 99.68849778175354]",51.698856353759766,46.215245485305786
1,1,1,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:11:44.218878208-04:00,99.8425421715,"[1.7586843967437744, 47.98634338378906, 99.73928546905518]",51.75294208526611,46.22765898704529
2,2,2,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:13:46.404655104-04:00,100.5779793262,"[1.773900032043457, 48.74437618255615, 100.4702684879303]",51.725892305374146,46.970476150512695
3,3,3,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:15:49.909186304-04:00,101.9145720005,"[1.7736563682556152, 49.37750792503357, 101.81129693984985]",52.433789014816284,47.603851556777954
4,4,4,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:17:54.233253888-04:00,99.7420372963,"[1.8110942840576172, 47.99228096008301, 99.62832188606262]",51.636040925979614,46.18118667602539
5,5,5,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:19:56.304433408-04:00,100.6197538376,"[1.7547721862792969, 48.848586082458496, 100.51176881790161]",51.663182735443115,47.0938138961792
6,6,6,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:21:59.343432704-04:00,99.2793221474,"[1.7575581073760986, 48.286616563797, 99.17392373085022]",50.88730716705322,46.5290584564209
7,7,7,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:24:01.031964672-04:00,98.8864529133,"[1.8000335693359375, 47.84727740287781, 98.7846326828003]",50.937355279922485,46.04724383354187
8,8,8,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:26:02.247535104-04:00,98.962086916,"[1.7873296737670898, 48.73274064064026, 98.85640096664429]",50.12366032600403,46.94541096687317
9,9,9,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 18:28:03.587011072-04:00,99.6923072338,"[1.74881911277771, 48.533960580825806, 99.58359718322754]",51.04963660240173,46.785141468048096
10,10,0,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:30:05.642859520-04:00,125.1497683525,"[1.7423479557037354, 11.003089427947998, 57.86827850341797, 60.724550008773804, 68.36522436141968, 70.46374607086182, 113.3361747264862, 118.15461301803589, 121.00816202163696, 122.76497650146484, 124.82550120353699]",7.671987295150757,57.36213493347168
11,11,1,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:32:30.809400064-04:00,115.5045230389,"[1.745413064956665, 10.279766082763672, 57.13952875137329, 59.98637056350708, 67.76322364807129, 69.86333179473877, 103.68584823608398, 108.5293197631836, 111.36753916740417, 113.12239050865173, 115.17419219017029]",7.68169093132019,57.48345756530762
12,12,2,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:34:46.319759360-04:00,115.7315628529,"[1.744232416152954, 9.672077655792236, 56.550158739089966, 59.39430856704712, 66.4878363609314, 68.56174516677856, 103.90843605995178, 108.73668360710144, 111.58071637153625, 113.33022618293762, 115.39613080024719]",7.672280311584473,56.81575870513916
13,13,3,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:37:02.066156800-04:00,114.3126239777,"[1.7481012344360352, 8.940460443496704, 55.818596601486206, 58.6692373752594, 65.76689624786377, 67.88037109375, 102.50302934646606, 107.32243204116821, 110.17516589164734, 111.91959428787231, 113.99339294433594]",7.672136545181274,56.826435804367065
14,14,4,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:39:16.393985024-04:00,115.7717444897,"[1.7578637599945068, 8.870928049087524, 55.72626352310181, 58.579270124435425, 65.73456144332886, 67.81794261932373, 103.93025875091553, 108.77150917053223, 111.62391400337219, 113.3746349811554, 115.446613073349]",7.693655252456665,56.86363339424133
15,15,5,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:41:32.224342016-04:00,115.9007503986,"[1.7566814422607422, 9.667391300201416, 56.52499747276306, 59.35990262031555, 67.22281122207642, 69.31845283508301, 104.09052038192749, 108.91976380348206, 111.76715207099915, 113.50819826126099, 115.57549285888672]",7.676631689071655,57.555419921875
16,16,6,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:43:48.130166016-04:00,115.2808525562,"[1.7913060188293457, 8.996894359588623, 55.86137413978577, 58.70856523513794, 65.88482689857483, 67.97889375686646, 103.46318101882935, 108.26927781105042, 111.11026120185852, 112.86969637870789, 114.95675325393677]",7.647080183029175,56.887932538986206
17,17,7,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 18:46:03.420985600-04:00,113.713675499,"[1.7428350448608398, 7.472219705581665, 54.33432483673096, 57.18279838562012, 64.32524371147156, 66.41458439826965, 101.91102457046509, 106.7308464050293, 109.58117938041687, 111.32607960700989, 113.3818850517273]",7.670154809951782,56.85302400588989
