,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
13323,13323,2022-03-31 14:51:56-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.576000035,1.016,3.40800023,3.40800023,1.0,0.160000011,0.936000049,3.40800023,3.2,0.992000043,0.15200001,0.136,0.144000009,0.128,0.136,38,29.0,116,29.5,110,108,108,1668.72681,2188.00659,48.4375,56.25,50.0,56.25,52.734375,31,32,30,34,34,4004.57715,3904.46265,4004.57715,3904.46265,26.3121052,20.534977,0,1.750055,100.114426,30.5446625,4.868572,11.0706215,50,50,0,0,0,50,10,0,790,200,77,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13324,13324,2022-03-31 14:51:57-04:00,86.27451,100,49.80392,49.80392,49.80392,49.80392,0.544,1.008,3.42400026,3.40800023,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,39,29.0,117,29.5,110,108,108,1708.86072,2188.00659,46.875,50.0,59.375,45.3125,50.390625,32,33,31,40,40,3904.46021,3904.46021,3904.46021,3904.46021,26.58103,19.3809547,0,1.95800936,100.114365,30.8468552,4.91674042,11.0224533,50,52,0,0,0,50,10,0,790,200,53,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13325,13325,2022-03-31 14:51:58-04:00,86.27451,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.40800023,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,29.0,116,29.5,110,108,108,1726.34265,2184.466,25.0,21.875,23.4375,51.5625,30.46875,30,30,28,39,39,4004.576,3904.46167,3904.46167,3904.46167,22.7233982,14.2331572,0,1.33373034,100.1144,32.3663025,5.158928,10.7802658,49,50,0,0,0,49,10,0,790,200,38,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13326,13326,2022-03-31 14:51:59-04:00,85.8823547,100,49.80392,49.80392,49.80392,49.80392,0.432,1.016,3.40800023,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.136,0.144000009,0.128,0.136,36,29.0,116,29.5,110,108,108,1744.186,2188.00659,18.75,18.75,23.4375,60.9375,30.46875,31,30,40,31,40,4004.5752,3904.461,4004.5752,3904.461,23.26728,14.39268,0,1.4510262,100.11438,33.1892853,5.290104,10.64909,49,50,0,0,0,49,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13327,13327,2022-03-31 14:52:00-04:00,85.4902,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1.0,0.160000011,0.936000049,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,39,29.0,117,29.5,110,108,108,1732.991,2188.00659,45.3125,45.3125,59.375,62.5,53.125,39,34,31,33,39,3904.46069,3904.46069,3904.46069,3904.46069,24.7933159,17.8249283,0,1.7472949,100.114372,32.75888,5.2215004,10.7176933,50,50,0,0,0,50,10,0,790,200,119,0.8,0.675,0.8,3,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13328,13328,2022-03-31 14:52:01-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.42400026,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.136,0.144000009,0.128,0.136,39,29.0,116,29.5,110,108,108,1708.86072,2170.418,31.25,29.6875,40.625,46.875,37.109375,31,30,30,38,38,3904.46069,3904.46069,3904.46069,4004.5752,27.5537148,18.5344,0,1.5527364,100.11438,33.3495865,5.31565475,10.623539,49,50,0,0,0,49,10,0,790,220,39,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13329,13329,2022-03-31 14:52:02-04:00,85.09804,100,49.80392,49.80392,49.80392,49.80392,0.576000035,1.016,3.42400026,3.40800023,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,40,29.0,117,29.5,110,108,108,1711.02661,2188.00659,48.4375,42.1875,28.125,76.5625,48.828125,33,40,29,32,40,3904.461,3904.461,4004.57544,4004.57544,27.1474457,20.4563236,0,1.70482588,100.114388,33.5946579,5.35471725,10.5844765,49,50,0,0,0,49,10,0,790,200,35,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13330,13330,2022-03-31 14:52:03-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.42400026,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.136,0.144000009,0.128,0.136,38,29.0,117,29.5,110,108,108,1717.55725,2191.55835,21.875,51.5625,17.1875,32.8125,30.859375,34,31,29,31,34,4004.57568,4004.57568,3904.46143,3904.46143,23.1736164,14.6760263,0,1.38900352,100.114395,33.8849564,5.40098953,10.5382042,49,50,0,0,0,49,10,0,790,200,57,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13331,13331,2022-03-31 14:52:04-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,29.0,116,29.5,110,108,108,1717.55725,2191.55835,7.8125,62.5,29.6875,37.5,34.375,33,38,34,39,39,3904.46021,3904.46021,4004.57471,3904.46021,25.7915211,17.5033474,0,1.66405857,100.114365,34.16375,5.445427,10.4937668,50,50,0,0,0,50,15,0,788,200,341,0.775000036,0.675,0.8,24,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
13332,13332,2022-03-31 14:52:05-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.42400026,3.42400026,1.0,0.160000011,0.936000049,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,37,29.0,117,29.5,110,108,108,1700.25183,2188.00659,18.75,53.125,21.875,45.3125,34.765625,30,36,28,31,36,4004.57544,3904.461,4004.57544,3904.461,24.0557384,14.5527964,0,1.3926425,100.114388,34.4733276,5.49477,10.4444237,49,50,0,0,0,49,10,0,790,200,36,0.775000036,0.675,0.8,0,1,0,100,1495.82617,46.5730247,26,1.53121042,99,2305.64673,84.77015,26,1.5364579
