,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6254,2022-03-19 16:12:08,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,26,24.0,118,27.0,111,110,109,1666.66663,2180.937,9.230768,9.230768,13.8461533,10.76923,10.76923,25,27,24,25,27,2402.74121,2402.74121,2402.74121,2402.74121,10.3101,2.374279,0,1.18488359,100.114212,35.150032,5.60263062,10.3365631,50,50,0,0,0,50,10,0,787,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6255,2022-03-19 16:12:12,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,31,24.0,118,27.0,111,110,109,1658.47668,2180.937,26.1538448,33.8461533,23.0769215,46.1538429,32.3076859,34,39,36,36,36,3904.45532,4004.56958,3904.45532,3904.45532,23.8050175,14.5127716,0,1.29785311,100.114243,35.5418777,5.66508865,10.2741051,49,50,0,0,0,49,10,0,786,200,35,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6256,2022-03-19 16:12:12,83.13725,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,36,24.0,118,27.0,111,110,109,1683.29175,2188.00659,68.29269,31.7073174,39.0243874,48.7804871,46.95122,29,29,26,38,38,3904.45313,3904.45313,3904.45313,3904.45313,29.81988,20.5321732,0,1.456952,100.114182,35.74076,5.696789,10.2424049,50,50,0,0,0,50,10,0,787,200,36,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6257,2022-03-19 16:12:13,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,24.0,118,27.0,111,110,109,1691.72937,2180.937,17.1875,21.875,40.625,48.4375,32.03125,27,27,37,28,37,3904.45459,3904.45459,4004.5686,3904.45459,24.90338,15.0241632,0,1.419157,100.11422,36.924118,5.88540649,10.0537872,50,50,0,0,0,50,10,0,787,200,40,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6258,2022-03-19 16:12:14,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.496000022,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,33,24.0,118,27.0,111,110,109,1681.19556,2188.00659,23.4375,34.375,20.3125,29.6875,26.953125,28,32,35,28,35,3904.45361,4004.56787,3904.45361,3904.45361,22.5044975,13.11603,0,1.541872,100.1142,35.7240372,5.69412231,10.2450714,50,50,0,0,0,50,10,0,787,200,44,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6259,2022-03-19 16:12:15,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,34,24.0,118,27.0,111,110,109,1670.79211,2188.00659,9.375,34.375,23.4375,29.6875,24.21875,28,39,25,27,39,4004.568,4004.568,4004.568,3904.45386,21.2370853,12.0853,0,1.438155,100.114204,37.0890846,5.911701,10.0274925,49,50,0,0,0,50,10,0,787,200,34,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6260,2022-03-19 16:12:16,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,34,24.5,117,27.0,111,110,109,1656.44177,2180.937,32.8125,46.875,26.5625,37.5,35.9375,29,40,29,42,42,3904.45361,3904.45361,3904.45361,3904.45361,26.1382027,17.4229336,0,1.56893682,100.1142,37.16524,5.92383957,10.0153542,50,50,0,0,0,50,10,0,787,202,34,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6261,2022-03-19 16:12:17,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,33,24.5,118,27.0,111,110,109,1660.5166,2188.00659,20.3125,50.0,28.125,35.9375,33.59375,26,27,25,26,28,1101.25586,2703.08252,2703.08252,800.9133,22.1699963,13.0491486,0,1.35834825,100.114166,36.6094246,5.835247,10.1039467,50,50,0,0,0,50,10,0,787,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6262,2022-03-19 16:12:18,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.128,0.136,34,24.5,118,27.0,110,110,109,1677.01868,2195.122,34.375,28.125,26.5625,23.4375,28.125,27,27,25,26,28,1601.82776,1601.82776,3203.65552,3203.65552,20.62806,11.7342978,0,1.3861016,100.114235,36.8518867,5.87389374,10.0653,50,50,0,0,0,50,10,0,787,200,61,0.8,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
6263,2022-03-19 16:12:19,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,33,24.5,118,27.0,111,110,109,1660.5166,2188.00659,37.5,46.875,29.6875,34.375,37.109375,31,33,27,29,33,3904.454,3904.454,3904.454,4004.56836,23.1859322,14.7367382,0,1.58592331,100.114204,37.13097,5.918377,10.0208168,50,50,0,0,0,50,10,0,788,200,34,0.775000036,0.675,0.8,0,1,0,99,2030.57092,84.2603455,25,1.51270986,100,1111.61877,69.1106339,25,1.52008116
