,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
784,2022-03-19 14:40:02,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,35,24.5,118,27.0,111,110,109,1662.56152,2180.937,35.9375,35.9375,31.25,32.8125,33.984375,29,34,35,30,35,3904.45386,4004.56787,3904.45386,3904.45386,19.3396988,13.0502682,0,1.46759057,100.1142,25.39051,4.047043,11.8921509,47,48,0,0,0,47,10,0,786,200,91,0.8,0.675,0.8,0,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
785,2022-03-19 14:40:03,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,118,27.0,111,110,109,1658.47668,2188.00659,21.875,10.9375,60.9375,25.0,29.6875,29,29,39,38,38,3904.45337,4004.56763,3904.45337,3904.45337,22.7434616,14.40607,0,1.17515576,100.114189,25.526619,4.068737,11.8704567,47,48,0,0,0,47,10,0,787,200,37,0.775000036,0.675,0.8,0,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
786,2022-03-19 14:40:04,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,118,27.0,111,110,109,1670.79211,2184.466,25.0,35.9375,57.8125,48.4375,41.796875,29,35,35,34,35,3904.454,3904.454,3904.454,3904.454,26.42257,18.4572086,0,1.46860516,100.114212,26.0101547,4.145809,11.7933846,47,48,0,0,0,47,16,0,787,882,106,0.775000036,0.85,0.8,4,3,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
787,2022-03-19 14:40:05,83.13725,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,25.0,118,27.0,111,110,109,1695.97986,2184.466,46.1538429,53.8461571,50.7692337,69.2307739,55.0,29,34,32,38,38,3904.45459,3904.45459,4004.56885,3904.45459,27.0347424,21.25752,0,1.89131713,100.11422,28.0480347,4.47063065,11.4685631,47,48,0,0,0,47,10,0,787,202,68,0.775000036,0.675,0.8,1,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
788,2022-03-19 14:40:06,82.7451,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,25.0,118,27.0,111,110,109,1698.11316,2188.00659,32.8125,51.5625,37.5,35.9375,39.453125,28,30,32,30,32,3904.454,3904.454,3904.454,3904.454,23.63954,18.6875019,0,1.6833508,100.114204,27.4802246,4.380127,11.5590668,47,48,0,0,0,47,11,0,786,200,99,0.775000036,0.675,0.8,1,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
789,2022-03-19 14:40:07,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.39200002,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,29,25.0,118,27.0,111,110,109,1674.938,2188.00659,26.5625,39.0625,34.375,43.75,35.9375,27,29,30,28,30,3503.99658,3503.99658,3904.45337,3904.45337,17.0904312,11.4905319,0,1.65184,100.114189,27.6440964,4.406246,11.5329475,47,48,0,0,0,47,11,0,787,248,77,0.8,0.675,0.8,1,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
790,2022-03-19 14:40:08,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.576000035,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,36,25.0,118,27.0,111,110,109,1660.5166,2188.00659,28.125,35.9375,40.625,42.1875,36.71875,29,38,27,30,38,3904.45386,3904.45386,3904.45386,3904.45386,24.0145378,17.6827736,0,1.55111516,100.114204,27.7591171,4.42457962,11.5146141,47,48,0,0,0,47,10,0,786,200,67,0.775000036,0.675,0.8,1,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
791,2022-03-19 14:40:09,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,25.0,118,27.0,111,110,109,1650.3667,2184.466,42.1875,51.5625,34.375,59.375,46.875,29,33,35,30,35,3904.45386,3904.45386,3904.45386,3904.45386,27.17831,20.7496338,0,1.58327532,100.114204,27.4727325,4.378933,11.5602608,47,48,0,0,0,47,10,0,787,200,72,0.775000036,0.675,0.8,0,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
792,2022-03-19 14:40:10,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.4,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,25.0,118,27.0,111,110,109,1654.41174,2180.937,23.4375,25.0,23.4375,31.25,25.78125,27,28,25,33,33,3904.45386,3904.45386,3904.45386,3904.45386,14.3378906,8.356705,0,1.43883657,100.1142,27.4718323,4.378788,11.5604057,47,48,0,0,0,47,10,0,786,200,111,0.775000036,0.675,0.8,0,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
793,2022-03-19 14:40:11,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,31,25.0,118,27.0,110,110,109,1654.41174,2188.00659,29.6875,35.9375,31.25,23.4375,30.078125,26,28,25,26,28,4004.568,4004.568,3904.454,4004.568,13.8922443,8.005527,0,1.42652416,100.114204,27.5337448,4.38865662,11.5505371,47,48,0,0,0,47,10,0,787,200,99,0.775000036,0.675,0.8,0,1,0,99,2027.375,84.19871,25,1.51174641,100,1111.40186,69.1106339,25,1.52018213
