,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5540,5540,2022-03-19 16:00:08-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.424000025,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,30,24.5,117,27.0,110,110,109,1658.47668,2184.466,29.6875,26.5625,18.75,21.875,24.21875,29,30,32,31,32,3904.45435,3904.45435,3904.45435,3904.45435,17.3264675,11.4696808,0,1.52153385,100.114212,33.3852,5.321331,10.6178627,52,54,0,0,0,52,15,0,786,606,188,0.775000036,0.675,0.8,10,7,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5541,5541,2022-03-19 16:00:09-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.512,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,32,24.5,118,27.0,110,110,109,1662.56152,2180.937,27.6923065,36.9230728,36.9230728,30.76923,33.07692,27,27,25,26,28,3904.45361,3904.45361,3904.45361,3904.45361,22.6185169,16.8624,0,1.55536151,100.1142,33.81967,5.390583,10.5486107,53,54,0,0,0,53,17,0,787,1002,104,0.8,0.85,0.8,1,1,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5542,5542,2022-03-19 16:00:10-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,31,24.5,117,27.0,110,110,109,1670.79211,2180.937,21.2121181,21.2121181,24.242424,24.242424,22.7272682,29,30,28,36,36,3904.453,3904.453,4004.56714,3904.453,18.4010849,12.4011936,0,1.3828522,100.114174,33.8346024,5.39296341,10.54623,53,54,0,0,0,53,14,0,787,546,99,0.8,0.675,0.8,2,0,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5543,5543,2022-03-19 16:00:11-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,36,24.5,118,27.0,110,110,109,1666.66663,2180.937,57.8125,62.5,57.8125,60.9375,59.765625,35,35,40,40,40,3904.45435,3904.45435,3904.45435,3904.45435,30.7591858,24.8436432,0,2.18594337,100.114212,35.0933533,5.59359741,10.3455963,53,54,0,0,0,53,20,0,786,848,362,0.8,0.85,0.8,28,3,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5544,5544,2022-03-19 16:00:12-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,36,24.5,117,27.0,110,110,109,1662.56152,2180.937,26.5625,56.25,26.5625,50.0,39.84375,33,28,27,27,33,3904.454,3904.454,3904.454,3904.454,27.2130642,17.6449738,0,1.59231675,100.114204,36.3632278,5.79600525,10.1431885,52,54,0,0,0,52,10,0,786,200,38,0.775000036,0.675,0.8,0,1,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5545,5545,2022-03-19 16:00:13-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,118,27.0,111,110,109,1666.66663,2180.937,21.53846,47.6923065,38.4615364,50.7692337,39.615387,30,32,36,37,37,3904.45459,3904.45459,3904.45459,3904.45459,27.05728,20.04466,0,1.68722916,100.11422,37.11704,5.916157,10.023037,53,52,0,0,0,53,15,0,787,824,72,0.775000036,0.85,0.8,2,2,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5546,5546,2022-03-19 16:00:14-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,36,24.5,118,27.0,110,110,109,1656.44177,2184.466,24.6153831,43.07692,50.7692337,41.53846,39.9999962,30,32,35,31,35,3904.45361,3904.45361,3904.45361,3904.45361,25.8955555,18.92739,0,1.48968923,100.1142,37.4985275,5.976963,9.962231,52,54,0,0,0,52,12,0,787,380,49,0.775000036,0.675,0.8,0,1,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5547,5547,2022-03-19 16:00:15-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,36,24.5,117,27.0,111,110,109,1656.44177,2188.00659,35.9375,64.0625,54.6875,46.875,50.390625,32,34,42,34,40,3904.45117,3904.45117,3904.45117,3904.45117,30.0617046,23.5265121,0,1.80967617,100.114128,38.26129,6.09854126,9.840652,53,54,0,0,0,53,17,0,788,1040,77,0.775000036,0.85,0.8,2,0,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5548,5548,2022-03-19 16:00:16-04:00,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.520000041,1.016,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,33,24.5,118,27.0,110,110,109,1656.44177,2180.937,27.6923065,39.9999962,35.384613,30.76923,33.4615364,36,31,37,29,37,3904.45654,3904.45654,3904.45654,3904.45654,22.6868973,15.48378,0,1.589888,100.114265,38.1972,6.0883255,9.850868,52,54,0,0,0,52,10,0,786,202,36,0.775000036,0.675,0.8,0,1,0,99,2030.46851,84.25924,25,1.51253521,100,1111.61877,69.1106339,25,1.52008021
5549,5549,2022-03-19 16:00:17-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.45600003,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,33,24.5,118,27.0,110,110,109,1662.56152,2188.00659,29.6875,35.9375,37.5,31.25,33.59375,27,28,26,28,28,3904.454,3904.454,3904.454,3904.454,22.1816845,15.1143026,0,1.48812258,100.114204,38.4990158,6.13643265,9.802761,53,54,0,0,0,53,14,0,787,586,50,0.775000036,0.675,0.8,0,1,0,99,2030.47559,84.25955,25,1.512534,100,1111.61877,69.1106339,25,1.52008033
