,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
5917,2022-03-19 16:06:28,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.4,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,30,24.5,118,27.0,111,110,109,1677.01868,2188.00659,38.4615364,36.9230728,43.07692,35.384613,38.4615364,27,31,31,32,32,3904.45386,3904.45386,3904.45386,3904.45386,18.0254631,12.4553909,0,1.610137,100.114204,33.09896,5.27570724,10.6634865,53,54,0,0,0,53,13,0,786,208,72,0.775000036,0.675,0.8,2,3,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5918,2022-03-19 16:06:29,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,34,24.5,118,27.0,111,110,109,1670.79211,2180.937,46.875,53.125,54.6875,43.75,49.609375,35,38,36,39,39,3904.45386,3904.45386,3904.45386,3904.45386,26.73591,20.8739071,0,1.65450346,100.1142,33.6851959,5.36914825,10.5700455,53,54,0,0,0,53,23,0,791,980,413,0.8,0.85,0.8,38,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5919,2022-03-19 16:06:30,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.480000019,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,33,24.5,117,27.0,110,110,109,1662.56152,2188.00659,42.1875,46.875,51.5625,39.0625,44.921875,31,33,33,38,38,3904.45239,3904.45239,4004.56665,3904.45239,25.77215,20.00431,0,1.629315,100.114166,34.0947571,5.434429,10.5047646,53,54,0,0,0,53,13,0,787,432,57,0.775000036,0.675,0.8,1,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5920,2022-03-19 16:06:31,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,32,24.5,118,27.0,110,109,109,1666.66663,2180.937,24.6153831,35.384613,29.2307682,32.30769,30.384613,36,32,35,32,36,3904.45361,3904.45361,3904.45361,3904.45361,23.2835846,14.8935528,0,1.6816529,100.1142,35.46058,5.65213,10.2870636,52,54,0,0,0,52,11,0,786,202,39,0.775000036,0.675,0.8,0,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5921,2022-03-19 16:06:32,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,117,27.0,110,110,109,1660.5166,2188.00659,14.0625,45.3125,62.5,42.1875,41.015625,28,29,37,28,37,4004.56958,4004.56958,3904.45532,3904.45532,27.8403015,18.4754772,0,1.54050934,100.114243,35.97561,5.73422241,10.2049713,52,52,0,0,0,52,12,0,787,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5922,2022-03-19 16:06:33,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,118,27.0,110,110,109,1666.66663,2180.937,38.4615364,30.76923,55.384613,36.9230728,40.384613,28,39,28,30,39,3904.45386,3904.45386,3904.45386,3904.45386,27.7499352,20.24411,0,1.59571373,100.1142,36.81692,5.86832047,10.0708733,53,54,0,0,0,53,18,0,788,1042,86,0.775000036,0.85,0.8,4,0,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5923,2022-03-19 16:06:34,81.56863,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,38,24.5,118,27.0,110,110,109,1666.66663,2188.00659,37.5,29.6875,57.8125,48.4375,43.359375,28,28,26,28,29,3904.454,3904.454,3904.454,3904.454,25.7878246,19.1430244,0,1.6181885,100.114204,37.2379723,5.93543243,10.0037613,53,54,0,0,0,53,16,0,787,886,47,0.775000036,0.85,0.8,1,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5924,2022-03-19 16:06:35,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,24.5,118,27.0,110,110,109,1666.66663,2180.937,35.9375,53.125,51.5625,46.875,46.875,30,38,36,30,38,3904.45361,3904.45361,3904.45361,3904.45361,29.7735023,22.2526112,0,1.665314,100.1142,37.7563324,6.018055,9.921139,52,54,0,0,0,52,17,0,785,202,347,0.8,0.675,0.8,31,2,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5925,2022-03-19 16:06:36,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.416,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,31,24.5,118,27.0,110,110,109,1662.56152,2188.00659,27.6923065,38.4615364,27.6923065,46.1538429,34.9999924,34,29,26,29,34,3904.45435,3904.45435,3904.45435,3904.45435,21.9299812,15.8274851,0,1.649351,100.114212,38.0508728,6.06500244,9.874191,53,54,0,0,0,53,17,0,788,930,70,0.775000036,0.675,0.8,0,0,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5926,2022-03-19 16:06:37,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,24.5,117,27.0,110,110,109,1660.5166,2188.00659,30.1587276,30.1587276,47.6190453,33.3333321,35.3174553,27,29,26,28,29,3904.45337,4004.56763,3904.45337,3904.45337,23.9385471,16.2458172,0,1.5979,100.114189,38.0852852,6.070488,9.868706,53,54,0,0,0,53,18,0,786,730,131,0.775000036,0.85,0.8,9,5,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5927,2022-03-19 16:06:38,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,34,24.5,118,27.0,110,110,109,1646.34143,2184.466,18.75,25.0,29.6875,23.4375,24.21875,29,28,28,35,35,3904.454,3904.454,4004.56836,3904.454,20.7114334,13.116621,0,1.40162337,100.114204,38.2363777,6.09457,9.844624,52,52,0,0,0,52,11,0,786,200,34,0.775000036,0.675,0.8,0,1,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
5928,2022-03-19 16:06:39,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.464000016,1.016,3.40800023,3.42400026,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,31,24.5,118,27.0,111,109,109,1654.41174,2188.00659,18.75,15.625,23.4375,25.0,20.703125,28,28,33,27,34,3904.45386,4004.568,3904.45386,3904.45386,18.7913857,12.3684511,0,1.65990317,100.114204,38.3747559,6.11662674,9.822567,53,56,0,0,0,53,19,0,787,1056,115,0.775000036,0.85,0.8,3,3,0,99,2030.50708,84.2592239,25,1.512529,100,1111.61877,69.1106339,25,1.52008092
