,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
7457,7457,2022-03-19 16:32:35-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,26.5,117,27.5,110,109,109,1693.85193,2188.00659,26.1538448,30.76923,35.384613,49.2307663,35.384613,39,32,27,30,39,3904.454,4004.56836,3904.454,3904.454,23.255167,17.0138168,0,1.27750111,100.114212,37.80963,6.02655029,9.912643,53,52,0,0,0,53,14,0,787,434,198,0.775000036,0.85,0.8,9,9,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7458,7458,2022-03-19 16:32:36-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,26.5,117,27.5,110,109,109,1704.54541,2188.00659,40.625,37.5,45.3125,45.3125,42.1875,31,33,35,33,34,3904.454,3904.454,3904.454,3904.454,26.9616756,21.2040577,0,1.6524061,100.114212,37.34184,5.951988,9.98720551,53,54,0,0,0,53,12,0,786,232,126,0.775000036,0.675,0.8,9,6,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7459,7459,2022-03-19 16:32:37-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,39,26.5,117,27.5,110,109,109,1685.39331,2188.00659,82.8125,68.75,73.4375,68.75,73.4375,37,34,35,37,37,3904.45337,3904.45337,3904.45337,3904.45337,37.10043,29.9153061,0,2.18481779,100.114189,36.50309,5.81829834,10.1208954,52,52,0,0,0,52,11,0,786,200,33,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7460,7460,2022-03-19 16:32:38-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,38,26.5,117,27.5,110,109,109,1693.85193,2177.41943,93.75,40.625,48.4375,50.0,58.203125,35,29,30,30,35,3904.45435,3904.45435,3904.45435,3904.45435,35.71632,26.08026,0,1.900649,100.114212,36.91167,5.883423,10.0557709,52,52,0,0,0,52,11,0,787,200,32,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7461,7461,2022-03-19 16:32:39-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,41,26.5,117,27.5,110,109,109,1702.396,2180.937,93.75,90.625,90.625,64.0625,84.765625,36,32,31,35,36,3904.45361,3904.45361,3904.45361,3904.45361,43.44581,33.95157,0,2.30703449,100.1142,38.3507271,6.112797,9.826397,52,52,0,0,0,52,11,0,787,200,38,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7462,7462,2022-03-19 16:32:40-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,43,26.5,117,27.5,110,109,109,1708.86072,2188.00659,98.4375,98.4375,98.4375,95.3125,97.65625,38,42,41,43,43,3904.45264,3904.45264,3904.45264,3904.45264,47.7194862,37.843,0,2.63335228,100.114174,39.2245369,6.252075,9.687119,52,52,0,0,0,52,11,0,787,200,36,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7463,7463,2022-03-19 16:32:41-04:00,85.09804,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,26.5,117,27.5,110,109,109,1708.86072,2184.466,100.0,100.0,100.0,100.0,100.0,40,44,43,44,44,3904.455,3904.455,3904.455,3904.455,48.86834,38.9489365,0,2.580888,100.114227,41.9970856,6.69399643,9.245197,52,52,0,0,0,52,11,0,786,200,35,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7464,7464,2022-03-19 16:32:42-04:00,85.09804,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,27.0,117,27.5,110,109,109,1711.02661,2188.00659,100.0,100.0,100.0,100.0,100.0,41,43,43,43,44,3904.45386,3904.45386,3904.45386,3904.45386,49.8209457,39.96158,0,2.59565473,100.1142,43.36982,6.9128,9.026394,52,52,0,0,0,52,11,0,786,200,34,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7465,7465,2022-03-19 16:32:44-04:00,85.09804,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,27.0,118,27.5,110,109,109,1708.86072,2180.937,100.0,100.0,100.0,100.0,100.0,42,42,44,41,44,3904.45313,3904.45313,3904.45313,3904.45313,46.31306,39.5595779,0,2.68263817,100.114182,43.1870232,6.883663,9.055531,52,52,0,0,0,52,12,0,786,200,109,0.775000036,0.675,0.8,1,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7466,7466,2022-03-19 16:32:44-04:00,84.31373,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,43,27.0,118,27.5,110,109,109,1708.86072,2184.466,100.0,100.0,100.0,100.0,100.0,38,40,41,45,45,3904.45459,3904.45459,3904.45459,3904.45459,46.3468,38.3461,0,3.01891351,100.11422,43.6663971,6.96007156,8.979122,52,54,0,0,0,52,10,0,787,200,48,0.775000036,0.675,0.8,0,1,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7467,7467,2022-03-19 16:32:45-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,27.0,117,27.5,110,109,109,1700.25183,2188.00659,100.0,100.0,100.0,100.0,100.0,39,42,45,46,46,3904.45239,3904.45239,3904.45239,3904.45239,47.3571854,38.47884,0,2.834749,100.114159,44.26206,7.05501556,8.884178,52,52,0,0,0,52,15,0,788,696,93,0.775000036,0.675,0.8,5,2,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
7468,7468,2022-03-19 16:32:46-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,27.0,117,27.5,110,109,109,1691.72937,2184.466,100.0,100.0,100.0,98.4375,99.609375,40,41,41,43,43,3904.454,3904.454,3904.454,3904.454,46.6854553,38.98044,0,2.958343,100.114204,44.99055,7.171131,8.768063,53,52,0,0,0,53,12,0,786,276,69,0.775000036,0.675,0.8,0,2,0,99,2031.02515,84.26191,25,1.51281774,100,1111.61877,69.1106339,25,1.52008331
