,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
6967,6967,2022-03-19 16:24:20-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,110,109,1704.54541,2188.00659,64.61538,86.15385,92.30769,98.46154,85.38461,34,45,43,46,46,3904.45483,3904.45483,3904.45483,3904.45483,43.55443,36.87,0,2.71513987,100.114227,47.81862,7.62190247,8.317291,53,54,0,0,0,53,19,0,787,868,122,0.775000036,0.85,0.8,13,6,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6968,6968,2022-03-19 16:24:21-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,109,109,1695.97986,2188.00659,71.875,76.5625,84.375,93.75,81.640625,41,39,41,46,46,3904.45361,3904.45361,3904.45361,3904.45361,42.86283,36.2428627,0,2.69000244,100.114189,47.68084,7.59994125,8.339252,54,56,0,0,0,54,18,0,787,912,109,0.8,0.85,0.8,9,4,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6969,6969,2022-03-19 16:24:22-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,110,109,1704.54541,2188.00659,93.93939,87.8787842,93.93939,96.969696,93.1818161,40,42,44,46,46,3904.453,3904.453,3904.453,3904.453,47.98852,39.4685745,0,2.883986,100.114174,47.8275223,7.62332153,8.315872,53,52,0,0,0,53,10,0,787,200,40,0.775000036,0.675,0.8,0,1,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6970,6970,2022-03-19 16:24:23-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,111,109,109,1695.97986,2184.466,100.0,100.0,100.0,100.0,100.0,39,45,44,44,43,3904.45386,3904.45386,3904.45386,3904.45386,49.7362976,39.5361938,0,2.7912612,100.1142,47.8706741,7.63019943,8.308994,52,52,0,0,0,52,10,0,786,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6971,6971,2022-03-19 16:24:24-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,117,27.0,110,110,109,1698.11316,2188.00659,100.0,100.0,100.0,100.0,100.0,42,44,42,44,44,3904.455,3904.455,3904.455,3904.455,50.05086,40.3116264,0,2.71294284,100.114235,48.0376778,7.65681839,8.282375,53,54,0,0,0,53,10,0,786,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6972,6972,2022-03-19 16:24:26-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,110,109,1706.70044,2184.466,100.0,100.0,100.0,100.0,100.0,39,45,44,46,42,3904.45215,3904.45215,3904.45215,3904.45215,49.0925,40.351757,0,2.84530115,100.114159,48.7850037,7.775936,8.163258,52,52,0,0,0,52,14,0,786,528,130,0.775000036,0.85,0.8,9,2,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6973,6973,2022-03-19 16:24:26-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,26.5,118,27.0,110,110,109,1695.97986,2184.466,100.0,100.0,100.0,100.0,100.0,40,40,43,45,45,3904.45581,3904.45581,3904.45581,3904.45581,47.6245651,39.38537,0,2.93069124,100.11425,50.30871,8.018803,7.920391,53,54,0,0,0,53,11,0,786,202,156,0.8,0.675,0.8,7,1,0,99,2030.76233,84.26234,25,1.512678,100,1111.61877,69.1106339,25,1.52008235
6974,6974,2022-03-19 16:24:27-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,26.5,118,27.0,110,110,109,1702.396,2184.466,100.0,100.0,100.0,100.0,100.0,42,44,42,45,45,3904.45239,3904.45239,3904.45239,3904.45239,48.51889,40.0061646,0,2.56223917,100.114166,50.766613,8.091789,7.84740448,52,54,0,0,0,52,11,0,787,202,38,0.775000036,0.675,0.8,0,1,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6975,6975,2022-03-19 16:24:28-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,26.5,118,27.0,111,110,109,1689.612,2188.00659,100.0,100.0,100.0,100.0,100.0,40,42,43,45,46,3904.453,3904.453,3904.453,3904.453,47.7578468,39.8199272,0,2.62889957,100.114182,50.5570335,8.058384,7.88081,53,52,0,0,0,53,10,0,787,202,42,0.775000036,0.675,0.8,0,1,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6976,6976,2022-03-19 16:24:29-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,110,109,1681.19556,2188.00659,100.0,98.55073,100.0,98.55073,99.27536,40,43,42,44,44,3904.45386,3904.45386,3904.45386,3904.45386,48.7045,40.1504936,0,2.74191642,100.114204,50.8635941,8.107246,7.83194733,52,52,0,0,0,52,11,0,786,200,37,0.775000036,0.675,0.8,0,1,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6977,6977,2022-03-19 16:24:30-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.160000011,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,110,109,1691.72937,2188.00659,100.0,100.0,100.0,100.0,100.0,39,43,44,43,44,3904.45532,3904.45532,3904.45532,3904.45532,48.125576,40.21088,0,2.80556583,100.114243,51.4522171,8.201069,7.738125,53,54,0,0,0,53,17,0,787,646,224,0.8,0.85,0.8,14,8,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6978,6978,2022-03-19 16:24:31-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,45,26.5,118,27.0,110,109,109,1689.612,2188.00659,100.0,100.0,100.0,100.0,100.0,41,44,43,46,46,3904.45239,3904.45239,3904.45239,3904.45239,49.1459961,40.2690659,0,2.66193986,100.114166,51.8037949,8.257107,7.682087,52,54,0,0,0,52,13,0,786,418,220,0.775000036,0.85,0.8,7,4,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6979,6979,2022-03-19 16:24:32-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,26.5,118,27.0,110,110,109,1683.29175,2184.466,100.0,100.0,100.0,98.21429,99.55357,44,45,44,46,45,3904.4563,3904.4563,3904.4563,3904.4563,48.2312851,39.5365257,0,2.70817685,100.114265,51.87624,8.268654,7.67054,53,52,0,0,0,53,11,0,786,200,106,0.775000036,0.675,0.8,3,1,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6980,6980,2022-03-19 16:24:33-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,27.0,118,27.0,111,110,109,1691.72937,2188.00659,100.0,100.0,100.0,100.0,100.0,43,46,45,46,43,3904.453,3904.453,3904.453,3904.453,48.1291962,39.34943,0,2.59259653,100.114174,52.4350166,8.357719,7.5814743,52,52,0,0,0,52,12,0,786,200,200,0.775000036,0.675,0.8,7,2,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
6981,6981,2022-03-19 16:24:34-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.40800023,3.40800023,1.0,0.15200001,0.984,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,44,27.0,118,27.0,111,110,109,1700.25183,2188.00659,100.0,100.0,100.0,100.0,100.0,40,42,45,46,46,3904.45532,3904.45532,3904.45532,3904.45532,47.11016,38.9872131,0,2.70042038,100.114243,52.8245,8.4198,7.519394,52,52,0,0,0,52,12,0,786,364,71,0.775000036,0.675,0.8,2,3,0,99,2030.77881,84.26358,25,1.5126766,100,1111.61877,69.1106339,25,1.52008247
