,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,CPU Core,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #1,Fan #2,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
9107,9107,2022-03-19 17:00:13-04:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.4,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,28,25.0,118,27.5,110,109,109,1666.66663,2188.00659,23.4375,31.25,23.4375,34.375,28.125,26,27,25,26,28,4004.57031,4004.57031,4004.57031,3904.456,14.4504585,7.851266,0,1.44564366,100.114258,35.89328,5.7211,10.2180939,47,50,0,0,0,47,11,0,787,204,82,0.775000036,0.675,0.8,2,2,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9108,9108,2022-03-19 17:00:14-04:00,81.1764755,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,34,25.0,117,27.5,110,109,109,1646.34143,2180.937,31.25,32.8125,39.0625,26.5625,32.421875,28,28,27,35,35,3904.45435,3904.45435,3904.45435,3904.45435,20.79123,13.8699827,0,1.36242914,100.114212,36.0885963,5.7522316,10.1869621,47,48,0,0,0,47,10,0,787,200,56,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9109,9109,2022-03-19 17:00:15-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,34,25.0,118,27.5,110,109,109,1654.41174,2180.937,20.3125,14.0625,12.5,57.8125,26.171875,28,28,36,28,36,3904.45313,4004.56738,4004.56738,4004.56738,21.9228153,13.4604206,0,1.37710142,100.114182,36.5216866,5.82126236,10.1179314,47,48,0,0,0,47,10,0,787,200,33,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9110,9110,2022-03-19 17:00:16-04:00,82.35294,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,38,25.0,118,27.5,110,109,109,1664.61157,2184.466,7.8125,17.1875,23.4375,68.75,29.296875,27,29,26,39,39,3904.45459,4004.5686,4004.5686,3904.45459,23.6155167,14.6208029,0,1.23369968,100.11422,36.80876,5.86701965,10.0721741,47,48,0,0,0,47,10,0,787,200,33,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9111,9111,2022-03-19 17:00:17-04:00,84.70589,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,38,25.0,117,27.5,111,109,109,1672.86243,2188.00659,14.0625,31.25,31.25,54.6875,32.8125,28,28,26,39,39,4004.56738,4004.56738,3904.45337,4004.56738,24.9041481,15.9716358,0,1.35041392,100.114189,37.0790329,5.910099,10.0290947,47,48,0,0,0,47,10,0,786,200,41,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9112,9112,2022-03-19 17:00:18-04:00,83.92157,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,25.0,118,27.5,110,109,109,1698.11316,2188.00659,42.1875,26.5625,15.625,31.25,28.90625,28,30,26,35,35,3904.45386,4004.568,3904.45386,3904.45386,23.8153915,14.80367,0,1.17657292,100.114204,37.19348,5.928341,10.0108528,47,48,0,0,0,47,10,0,786,200,35,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9113,9113,2022-03-19 17:00:19-04:00,83.52941,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,39,25.0,118,27.5,111,109,109,1693.85193,2188.00659,17.1875,15.625,28.125,76.5625,34.375,28,31,28,38,38,3904.454,3904.454,3904.454,4004.56836,25.24322,16.2593079,0,1.28451478,100.114204,37.30642,5.94634247,9.992851,47,48,0,0,0,47,10,0,787,200,49,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9114,9114,2022-03-19 17:00:20-04:00,82.7451,100,49.80392,49.80392,49.80392,49.80392,0.536,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,25.0,118,27.5,110,109,109,1683.29175,2184.466,15.625,35.9375,26.5625,40.625,29.6875,27,28,25,36,36,3904.45386,3904.45386,3904.45386,4004.56787,23.236742,13.560317,0,1.17783618,100.1142,37.3707047,5.95658875,9.982605,47,48,0,0,0,47,10,0,788,200,39,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9115,9115,2022-03-19 17:00:21-04:00,82.7451,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.40800023,3.42400026,1.0,0.160000011,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,35,25.0,117,27.5,110,110,109,1687.5,2184.466,20.3125,15.625,39.0625,50.0,31.25,28,40,26,37,40,3904.45386,4004.56787,3904.45386,3904.45386,24.4000149,14.738884,0,1.28972185,100.1142,37.4649734,5.971615,9.967579,47,48,0,0,0,47,10,0,787,200,36,0.775000036,0.675,0.8,0,1,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
9116,9116,2022-03-19 17:00:22-04:00,81.9607849,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1.0,0.15200001,0.9760001,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,37,25.0,118,27.5,111,110,109,1691.72937,2180.937,43.75,54.6875,51.5625,40.625,47.65625,29,36,31,31,36,3904.454,3904.454,3904.454,3904.454,29.36093,22.2655277,0,1.71577013,100.114204,37.7245979,6.01299667,9.926197,47,48,0,0,0,47,13,0,787,394,110,0.775000036,0.675,0.8,3,3,0,99,2031.8064,84.26407,25,1.51310766,100,1111.61987,69.1106339,25,1.52008379
