,Unnamed: 0,game_name,game_params,init_time,total_time,times,level,load,it,GPU,CPU,storage,config_id
0,0.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:24:33.973946368,68.5954632759,"[0.2529258728027344, 3.918689727783203, 27.24597477912903, 28.091856479644775, 67.65271711349487]",39.5608606339,23.3272850513,0,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
1,1.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:25:53.592667904,60.5361800194,"[0.2730550765991211, 3.2297065258026123, 20.9115571975708, 21.70753002166748, 59.55052351951599]",37.8429934978,17.6818506718,1,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
2,2.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:27:05.164331520,54.7900154591,"[0.25284266471862793, 3.1547093391418457, 19.908445835113525, 20.66950249671936, 53.98242425918579]",33.3129217625,16.753736496,2,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
3,3.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:28:10.943738624,63.1304264069,"[0.2539710998535156, 3.131402015686035, 21.204834938049316, 21.991945505142212, 62.12529802322388]",40.1333525181,18.0734329224,3,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
4,4.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:29:25.089054720,64.0628135204,"[0.289658784866333, 5.205118417739868, 23.183613300323486, 24.638155937194824, 63.264222383499146]",38.6260664463,17.9784948826,4,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
5,5.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:30:40.130744832,57.322483778,"[0.26368069648742676, 3.1981284618377686, 20.223447799682617, 20.94871473312378, 56.496421337127686]",35.547706604,17.0253193378,5,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
6,6.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:31:48.494013440,61.5508277416,"[0.2543222904205322, 3.1301815509796143, 21.311158657073975, 22.33311152458191, 60.582138538360596]",38.2490270138,18.1809771061,6,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
7,7.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:33:01.030268416,58.5784175396,"[0.2702653408050537, 3.196237802505493, 20.55802059173584, 21.30547833442688, 57.79928970336914]",36.4938113689,17.3617827892,7,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
8,8.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:34:10.755883520,65.3482308388,"[0.2688724994659424, 3.174374580383301, 21.803942680358887, 22.630309343338013, 63.67772340774536]",41.0474140644,18.6295681,8,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
9,9.0,Minecraft,"{'window_names': ['Minecraft Launcher', 'Minecraft 1.18.1'], 'move_time': 0.0, 'kill_mode': 'keyboard'}",2021-12-16 19:35:27.143337216,57.9785208702,"[0.24983549118041992, 3.1145005226135254, 20.34768795967102, 21.1029052734375, 57.29763150215149]",36.1947262287,17.2331874371,9,Radeon HD 6800,i5-7600 @ 3.5GHz,HDD,0
