,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:45:29.247292672,64.3147411346,"[1.6819572448730469, 43.143224239349365, 45.17079997062683, 63.99403738975525]",18.8232374191,41.4612669945
1,1,1,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:46:55.057352960,66.306620121,"[1.6812777519226074, 42.333845376968384, 44.374964237213135, 65.93091702461243]",21.5559527874,40.652567625
2,2,2,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:48:22.840542208,64.0708360672,"[1.679887056350708, 43.119340658187866, 45.1509690284729, 63.73572111129761]",18.5847520828,41.4394536018
3,3,3,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:49:48.380355584,64.909964323,"[1.704979419708252, 43.86413097381592, 45.879669427871704, 64.55771565437317]",18.6780462265,42.1591515541
4,4,4,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:51:14.754739968,66.3862166405,"[1.6845617294311523, 41.18428587913513, 43.22394800186157, 66.03187251091003]",22.807924509,39.4997241497
5,5,5,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:52:42.613093376,62.2678329945,"[1.6781017780303955, 41.82760214805603, 43.86923575401306, 61.942604780197144]",18.0733690262,40.14950037
6,6,6,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:54:06.349373696,62.7231538296,"[1.6771113872528076, 43.11022996902466, 45.150745153427124, 62.38860630989075]",17.2378611565,41.4331185818
7,7,7,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:55:30.552495872,65.0150728226,"[1.6924808025360107, 44.02744388580322, 46.054413080215454, 64.68665051460266]",18.6322374344,42.3349630833
8,8,8,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:56:57.051119360,62.1681334972,"[1.6932549476623535, 41.11078357696533, 43.13723707199097, 61.83888554573059]",18.7016484737,39.4175286293
9,9,9,Fortnite,"{'move_time': 0.0, 'kill_mode': 'keyboard', 'process_name': ['Fortnite'], 'window_names': []}",2022-03-20 18:58:20.737815552,62.2100110054,"[1.6952805519104004, 42.49264717102051, 44.535951137542725, 61.88641357421875]",17.3504624367,40.7973666191
