,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:35:21.360881408,100.0814738274,"[1.7627825736999512, 47.45176458358765, 99.96743679046631]",52.5156722069,45.6889820099
1,1,1,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:37:23.356167680,98.9183495045,"[1.7076261043548584, 47.931514263153076, 98.8040406703949]",50.8725264072,46.2238881588
2,2,2,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:39:24.205306112,99.4101645947,"[1.695746898651123, 48.93212699890137, 99.2985372543335]",50.3664102554,47.2363801003
3,3,3,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:41:25.537305088,98.356559515,"[1.7041606903076172, 47.985257387161255, 98.25164914131165]",50.2663917542,46.2810966969
4,4,4,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:43:25.799818496,99.9531264305,"[1.700103998184204, 48.00276017189026, 99.84715390205383]",51.8443937302,46.3026561737
5,5,5,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:45:27.757049088,98.9867322445,"[1.6922872066497803, 47.86434841156006, 98.88164758682251]",51.0172991753,46.1720612049
6,6,6,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:47:28.680600576,98.87672472,"[1.6969223022460938, 47.74309849739075, 98.76660418510437]",51.0235056877,46.0461761951
7,7,7,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:49:29.464239872,98.1427102089,"[1.703474760055542, 47.75814652442932, 98.03170585632324]",50.2735593319,46.0546717644
8,8,8,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:51:29.538996224,98.8472511768,"[1.7001392841339111, 47.66775679588318, 98.73823976516724]",51.0704829693,45.9676175117
9,9,9,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-21 01:53:30.347314432,99.8522307873,"[1.69901704788208, 47.815083265304565, 99.73726224899292]",51.9221789837,46.1160662174
