,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/temperature/1,/atigpu/0/temperature/2,/atigpu/0/temperature/4,/atigpu/0/temperature/5,/atigpu/0/temperature/9,/atigpu/0/power/0,/atigpu/0/fan/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/clock/2,/atigpu/0/voltage/0,/atigpu/0/voltage/1,/atigpu/0/voltage/2,/atigpu/0/load/0,/atigpu/0/load/1,/atigpu/0/control/0,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/0/temperature/0,/hdd/0/factor/0,/hdd/1/level/0,/hdd/1/data/0,/hdd/1/load/0,/hdd/1/temperature/0,/hdd/1/factor/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU VRM Core","GPU VRM Memory #1","GPU VRM Memory #2","GPU Hot Spot","GPU Total","GPU Fan","GPU Core","GPU Memory","GPU SOC","GPU Core","GPU Memory","GPU SOC","GPU Core","GPU Memory","GPU Fan","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification"
03/20/2022 00:00:00,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1668.72681,2180.937,3.125,1.5625,3.125,6.25,3.515625,15,17,16,16,20,798.0008,798.0008,798.0008,798.0008,11.4046021,1.75279319,0,0.935584068,99.7501,36.37323,5.7976,10.1415939,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09692,84.38419,26,1.51609242,100,1111.94263,69.10983,26,1.51995087
03/20/2022 00:00:01,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1660.5166,2180.937,4.6875,7.8125,7.8125,10.9375,7.8125,15,18,17,16,20,798.000732,798.000732,798.000732,798.000732,12.2924738,2.55232263,0,0.956059039,99.75009,36.4239655,5.805687,10.1335068,46,46,0,0,0,46,10,0,791,200,39,0.775000036,0.675,0.8,0,1,0,99,2041.09692,84.38419,26,1.51609242,100,1111.94263,69.10983,26,1.51995087
03/20/2022 00:00:02,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1658.47668,2188.00659,1.5625,3.125,1.5625,4.6875,2.734375,15,18,16,16,20,798.000854,798.000854,798.000854,798.000854,11.6950932,1.60723662,0,0.9173831,99.75011,36.42519,5.8058815,10.1333122,46,46,0,0,0,46,10,0,791,200,44,0.775000036,0.675,0.8,0,1,0,99,2041.09692,84.38419,26,1.51609242,100,1111.94263,69.10983,26,1.51995087
03/20/2022 00:00:03,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,108,1656.44177,2188.00659,1.5625,1.5625,0,6.25,2.34375,15,18,16,16,20,798.0008,798.0008,798.0008,798.0008,11.8085232,1.57618976,0,0.915711045,99.7501,36.4273224,5.806221,10.1329727,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09692,84.38419,26,1.51609242,100,1111.94263,69.10983,26,1.51995087
03/20/2022 00:00:04,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1656.44177,2180.937,0,0,1.5625,6.25,1.953125,16,17,16,16,20,798.0011,798.0011,798.0011,798.0011,11.7373667,1.57900727,0,0.915087759,99.75014,36.4142532,5.804138,10.1350555,46,46,0,0,0,46,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:05,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1668.72681,2180.937,3.125,3.125,1.5625,0,1.953125,16,18,16,16,20,798.0005,798.0005,798.0005,798.0005,11.7118053,1.625261,0,0.9175136,99.75006,36.41557,5.804348,10.1348457,46,46,0,0,0,46,10,0,791,200,32,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:06,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.984,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1648.35168,2170.418,0,1.5625,0,3.125,1.171875,16,18,16,16,20,798.0008,798.0008,798.0008,798.0008,11.6336632,1.604199,0,0.91788,99.7501,36.368824,5.796898,10.1422958,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:07,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,27,110,109,109,1648.35168,2180.937,1.5625,1.5625,0,3.125,1.5625,15,18,16,17,20,798.000854,798.000854,798.000854,798.000854,11.6273766,1.547118,0,0.917208552,99.75011,36.36792,5.796753,10.1424408,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:08,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1658.47668,2188.00659,1.5625,3.125,0,4.6875,2.34375,16,18,16,16,20,798.000732,1296.75122,1296.75122,1296.75122,11.7522306,1.72178137,0,0.9245213,99.75009,36.3583679,5.795231,10.1439629,46,46,0,0,0,46,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:09,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1668.72681,2184.466,3.125,3.125,1.5625,4.6875,3.125,16,18,16,16,20,798.000854,798.000854,798.000854,798.000854,11.8175259,1.71833956,0,0.9161492,99.75011,36.3689728,5.796921,10.1422729,46,46,0,0,0,46,10,0,791,200,38,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:10,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1646.34143,2166.934,1.5625,0,0,3.125,1.171875,15,18,16,16,20,798.00116,798.00116,798.00116,798.00116,11.6247988,1.52790153,0,0.9137983,99.750145,36.368927,5.796913,10.1422806,46,46,0,0,0,46,11,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:11,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1648.35168,2184.466,0,0,1.5625,4.6875,1.5625,15,17,16,16,20,798.0004,798.0004,798.0004,798.0004,11.6255522,1.516395,0,0.9129261,99.75005,36.36907,5.796936,10.1422577,46,46,0,0,0,46,10,0,790,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:12,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1656.44177,2173.913,0,3.125,1.5625,0,1.171875,16,17,16,16,20,798.0008,798.0008,798.0008,798.0008,11.5440922,1.54234588,0,0.917252,99.7501,36.3680153,5.796768,10.1424255,46,46,0,0,0,46,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:13,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1658.47668,2188.00659,0,0,1.5625,3.125,1.171875,15,17,16,16,20,798.0008,798.0008,798.0008,798.0008,11.4373741,1.533643,0,0.9138941,99.7501,36.368927,5.796913,10.1422806,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:14,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1658.47668,2184.466,31.25,9.375,12.5,12.5,16.40625,15,18,16,16,20,1296.75122,1296.75122,798.000732,798.000732,12.2804165,2.87006974,0,0.9739252,99.75009,36.36914,5.79694748,10.1422462,46,46,0,0,0,46,10,0,790,200,34,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:15,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.4,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,21,24.5,117,26.5,110,109,109,1660.5166,2188.00659,26.5625,35.9375,32.8125,32.8125,32.03125,17,19,16,16,20,1296.75183,1296.75183,1296.75183,1296.75183,18.2447929,9.415317,0,1.1984123,99.750145,36.8455925,5.87289047,10.0663033,46,46,0,0,0,46,10,0,791,200,35,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:16,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.376000017,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.3920002,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1656.44177,2188.00659,20.3125,9.375,25,20.3125,18.75,16,18,16,17,20,1995.002,1995.002,798.0008,798.0008,13.2654657,3.17847538,0,1.08216918,99.7501,36.86273,5.875622,10.0635719,46,46,0,0,0,46,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:17,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.352000028,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,27,110,109,109,1666.66663,2188.00659,17.1875,7.8125,20.3125,21.875,16.796875,15,18,17,16,20,798.000549,798.000549,798.000549,798.000549,13.13822,3.15978312,0,1.03746068,99.75007,36.8697929,5.876747,10.0624466,46,48,0,0,0,46,10,0,791,200,34,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:18,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1658.47668,2188.00659,6.25,0,7.8125,1.5625,3.90625,15,18,17,17,20,798.000854,798.000854,798.000854,798.000854,11.6772594,1.77440321,0,0.9404611,99.75011,36.8714867,5.877018,10.0621758,46,46,0,0,0,46,10,0,791,200,36,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:19,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1636.36365,2173.913,1.53846145,1.53846145,1.53846145,4.615384,2.30768919,16,17,16,16,20,798.0008,798.0008,798.0008,798.0008,11.7733116,1.76249659,0,0.936326265,99.7501,36.8725166,5.877182,10.0620117,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
03/20/2022 00:00:20,80.78432,100,49.80392,49.80392,49.80392,49.80392,0.344,1.016,3.40800023,3.42400026,1,0.160000011,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.144000009,0.128,0.136,20,24.5,117,26.5,110,109,109,1668.72681,2170.418,1.5625,0,1.5625,4.6875,1.953125,16,18,16,16,20,798.000854,798.000854,798.000854,798.000854,11.8369408,1.75977254,0,0.934590161,99.75011,36.87771,5.87801,10.0611839,46,46,0,0,0,46,10,0,791,200,33,0.775000036,0.675,0.8,0,1,0,99,2041.09827,84.3842239,26,1.51609206,100,1111.94263,69.10983,26,1.519951
