,Unnamed: 0,iteration,game_name,game_params,init_time,total_time,times,level,load
0,0,0,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:30:08.999236096,95.9891066551,"[1.7562403678894043, 46.480608224868774, 95.8803129196167]",49.3997046947,44.724367857
1,1,1,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:32:06.977160448,96.2153232098,"[1.7151198387145996, 46.52613425254822, 96.11510300636292]",49.5889687538,44.8110144138
2,2,2,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:34:05.244092928,97.1503202915,"[1.748150110244751, 47.54558324813843, 97.0495867729187]",49.5040035248,45.7974331379
3,3,3,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:36:04.461682688,96.156365633,"[1.77205228805542, 46.65017914772034, 96.05254220962524]",49.4023630619,44.8781268597
4,4,4,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:38:02.676939008,95.2669231892,"[1.7395026683807373, 47.14104390144348, 95.15910124778748]",48.0180573463,45.4015412331
5,5,5,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:40:00.062976768,95.9803595543,"[1.7561113834381104, 46.34414052963257, 95.86591601371765]",49.5217754841,44.5880291462
6,6,6,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:41:58.095764480,95.1239216328,"[1.7431485652923584, 46.39373755455017, 95.01810550689697]",48.6243679523,44.6505889893
7,7,7,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:43:55.263291392,96.1117143631,"[1.747302532196045, 47.31122541427612, 96.00396299362183]",48.6927375793,45.5639228821
8,8,8,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:45:53.430610432,96.0240778923,"[1.788487195968628, 46.49246597290039, 95.91414189338684]",49.4216759205,44.7039787769
9,9,9,GTA5,"{'move_time': 0.5, 'kill_mode': 'os', 'window_names': ['Grand Theft Auto V'], 'process_name': ['GTA5']}",2022-03-19 14:47:51.467739648,95.6286201477,"[1.7283844947814941, 46.80738663673401, 95.51370358467102]",48.7063169479,45.079002142
10,10,0,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 14:49:49.066277120,117.3838210106,"[1.72711181640625, 9.973083019256592, 56.84735155105591, 59.69347023963928, 66.93164801597595, 68.97539496421814, 105.67252111434937, 110.48368239402771, 113.3294939994812, 115.03878211975098, 117.05640697479248]",7.6569728851,56.9585649967
11,11,1,CivVI,"{'move_time': 0.5, 'kill_mode': 'None', 'window_names': [""Sid Meier's Civilization VI (DX12)""]}",2022-03-19 14:52:06.458721280,107.6140167713,"[1.743121862411499, 7.209723472595215, 54.0798180103302, 56.9289071559906, 64.12620258331299, 66.13786220550537, 95.8665726184845, 100.67718577384949, 103.53410077095032, 105.2456464767456, 107.28029108047485]",7.6675281525,56.9164791107
