,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/level/0,/hdd/2/data/0,/hdd/2/load/0,/hdd/2/temperature/0,/hdd/2/factor/0,/hdd/3/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Temperature","Used Space","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/16/2021 06:49:10,30.9803925,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,41,25,118,25,111,111,111,2156.54956,1923.0769,90.625,87.5,84.375,96.875,89.84375,38,40,37,39,39,3904.46069,3904.46069,3904.46069,3904.46069,40.27467,34.7405052,1.02333128,2.19165158,100.114372,30.1051025,4.77734375,11.0915375,31,910.854065,3004.6792,1821.70813,995,11,5,0,3,30,2048,804.3633,1243.63672,39.27555,27.156002,7.8125,891.601563,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:11,29.8039227,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,42,25.5,119,24.5,111,111,111,2170.418,1925.82031,82.8125,82.8125,87.5,90.625,85.9375,35,40,39,40,40,3904.46118,3904.46118,3904.46118,3904.46118,39.40592,33.52143,1.11722827,3.10088754,100.114395,29.8703,4.740082,11.1287994,31,910.854065,3004.6792,1821.70813,996,7,2,0,4,30,2048,772.7383,1275.26172,37.73136,26.031002,0.9765625,889.648438,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:12,31.7647057,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,40,25.5,118,24.5,111,111,111,2156.54956,1934.09741,89.0625,84.375,73.4375,84.375,82.8125,33,41,35,33,41,3904.462,3904.462,3904.462,3904.462,38.10393,32.35884,1.02890432,2.94087243,100.1144,30.517395,4.84276962,11.0261116,31,910.854065,3004.6792,1821.70813,998,7,2,0,4,30,2048,769.7383,1278.26172,37.584877,26.031002,0.9765625,0,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:13,32.1568642,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,43,25.5,118,24.5,111,111,111,2177.41943,1923.0769,95.3125,90.625,89.0625,89.0625,91.015625,41,44,44,45,44,3904.46143,3904.46143,3904.46143,3904.46143,47.1033,36.462326,1.03094888,3.12697434,100.114395,31.30806,4.968239,10.9006424,31,797.027039,810.000061,1594.05408,1000,18,8,0,14,30,2048,769.7383,1278.26172,37.584877,15.8150005,14.6484375,889.648438,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:14,32.1568642,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,42,25.5,118,24.5,111,111,111,2160,1925.82031,93.84615,96.92308,90.76923,92.30769,93.46154,41,42,40,44,45,3904.46069,3904.46069,3904.46069,3904.46069,49.091362,35.6888962,1.02546751,3.03758883,100.114372,32.3133621,5.12776947,10.7411118,30,797.027039,810.000061,1594.05408,1003,18,8,0,14,30,2048,769.7383,1278.26172,37.584877,16.104,29.296875,889.648438,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:15,32.1568642,100,49.80392,49.80392,49.80392,49.80392,0.568,1.016,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,44,25.5,118,24.5,111,111,111,2173.913,1945.245,100,100,98.4375,100,99.609375,40,43,46,44,46,3904.46,3904.46,3904.46,3904.46,52.1385956,38.7681046,1.03196716,2.91179919,100.114365,32.4880371,5.155487,10.7133942,30,721.406,810.000061,1442.812,1004,8,4,0,6,30,2048,769.7383,1278.26172,37.584877,15.3490009,14.6484375,889.648438,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:16,34.9019623,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,45,25.5,118,25,111,111,111,2170.418,1925.82031,100,100,100,100,100,42,43,40,46,46,3904.46265,3904.46265,3904.46265,3904.46265,52.3411865,39.0542755,1.02484787,2.89466143,100.114426,35.2305756,5.59069824,10.278183,30,721.406,810.000061,1442.812,1003,16,7,0,12,30,2048,767.8633,1280.13672,37.4933243,15.2520008,0.9765625,0,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:17,36.07843,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,45,26,119,24.5,111,111,111,2177.41943,1936.87231,100,100,100,100,100,43,44,46,47,47,3904.461,3904.461,3904.461,3904.461,53.2489052,39.7607422,1.02842236,3.049353,100.11438,37.07337,5.883129,9.985752,30,721.406,810.000061,1442.812,1003,11,6,0,9,30,2048,767.8633,1280.13672,37.4933243,15.527,0,889.648438,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
12/16/2021 06:49:18,36.47059,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,1.024,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,46,26,119,24.5,111,111,111,2156.54956,1925.82031,100,100,100,100,100,40,47,45,47,47,3904.46167,3904.46167,3904.46167,3904.46167,50.2489,40.683773,1.11210728,2.93853188,100.1144,38.3982964,6.09338,9.775501,31,1126.406,3505.50024,2252.812,999,8,4,0,3,30,2048,781.917969,1266.082,38.17959,28.8500023,18.5546875,890.625,32,0.0102996826,30,0.0422515869,100,478.213654,48.19655,25,1.56672955,0.007537842
