,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/temperature/0,/atigpu/0/fan/0,/atigpu/0/control/0,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/level/0,/hdd/2/data/0,/hdd/2/load/0,/hdd/2/temperature/0,/hdd/2/factor/0,/hdd/3/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Fan","GPU Fan","GPU Core","GPU Memory","GPU Core","GPU Core","Temperature","Used Space","Temperature","Used Space","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/16/2021 11:41:34,33.3333321,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,45,26.5,118,26.5,111,111,111,2160,1914.89368,84.375,82.8125,82.8125,87.5,84.375,33,36,32,44,44,3904.452,3904.452,3904.452,3904.452,43.4248657,35.630867,0.978977,1.67211342,100.114151,28.265274,4.485382,11.3834991,55.0000038,1154,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:35,40,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,42,26.5,118,26.5,111,111,110,2156.54956,1917.61365,78.125,73.4375,65.625,79.6875,74.21875,38,38,37,39,39,3904.45166,3904.45166,3904.45166,3904.45166,38.11617,30.4557152,0.7772147,2.21615934,100.114143,26.8757019,4.2648735,11.6040077,55.0000038,1152,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:36,35.6862755,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,39,27,118,26.5,111,111,111,2153.11,1928.57141,82.8125,68.75,48.4375,53.125,63.28125,36,32,35,33,36,3904.45239,3904.45239,3904.45239,3904.45239,34.6786461,27.4329071,0.357681572,2.02092814,100.114159,27.5819626,4.37694931,11.4919319,55.0000038,1153,35,900,1050,1.17500007,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:37,32.9411774,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.136,0.120000005,0.136,43,27,118,26.5,111,111,110,2153.11,1939.65515,93.75,90.625,78.125,81.25,85.9375,38,42,39,41,41,3904.45166,3904.45166,3904.45166,3904.45166,41.3839531,34.1856346,0.246993586,2.50898314,100.114143,28.7521057,4.56263733,11.3062439,54.0000038,1153,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:38,34.11765,100,49.80392,49.80392,49.80392,49.80392,0.56,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.992000043,0.15200001,0.128,0.136,0.120000005,0.136,43,27,118,26.5,111,111,110,2153.11,1917.61365,95.3125,96.875,84.375,82.8125,89.84375,41,43,43,46,46,3904.45239,3904.45239,3904.45239,3904.45239,42.64625,35.5441856,0.191455,2.3561542,100.114166,29.46019,4.675003,11.1938782,54.0000038,1153,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:39,34.11765,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,46,27,118,26.5,111,111,110,2156.54956,1925.82031,100,98.46154,98.46154,98.46154,98.84615,42,45,44,46,45,3904.44922,3904.44922,3904.44922,3904.44922,46.37161,38.9332962,0.439575821,2.57801485,100.114082,30.66771,4.866623,11.0022583,54.0000038,1151,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:40,36.47059,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.008,3.42400026,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,46,27,118,26.5,111,111,110,2163.46143,1931.33044,100,100,100,100,100,42,44,42,45,45,3904.454,3904.454,3904.454,3904.454,47.1191368,39.6495972,0.4210682,2.65161657,100.114212,31.3847427,4.98040771,10.8884735,54.0000038,1150,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:41,35.294117,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,0.992000043,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,47,27.5,118,26.5,111,111,110,2173.913,1950.86707,100,100,100,100,100,43,43,44,46,46,3904.45239,3904.45239,3904.45239,3904.45239,48.3694725,40.5755272,0.7792424,2.61372924,100.114166,35.0160751,5.5566597,10.3122215,54.0000038,1149,35,300,1050,0.950000048,0,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
12/16/2021 11:41:42,36.47059,100,49.80392,49.80392,49.80392,49.80392,0.568,1.008,3.40800023,3.40800023,1,0.15200001,0.992000043,3.40800023,3.2,0.984,0.15200001,0.128,0.136,0.120000005,0.136,45,27.5,118,26.5,111,111,110,2153.11,1923.0769,100,100,100,100,100,41,45,41,45,45,3904.4502,3904.4502,3904.4502,3904.4502,47.0905457,39.22399,0.7811775,2.83551836,100.114105,35.844986,5.688198,10.1806831,54.0000038,1150,35,300,1050,0.950000048,3,34,47.4652672,30,38.4083824,100,487.841553,48.79043,28,1.57058012,0.007537842
