,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/0,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/fan/0,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/0/temperature/0,/hdd/0/factor/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Used Space"
12/17/2021 09:45:43,23.1372547,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,27,23,120,24.5,113,113,112,2146.264,1925.82031,69.5652161,79.710144,69.5652161,71.0144958,72.46377,28,28,26,28,28,3291.75415,3291.75415,3291.75415,3291.75415,31.1356983,26.9257813,0,1.60142052,99.75013,24.0199738,3.82859039,12.1106033,30,910.854065,3004.6792,1821.70813,993,1,2,0,0,30,2048,423.421875,1624.57813,20.6748962,26.236002,0.9765625,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:44,26.27451,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,25,23,121,24.5,113,113,112,2160,1925.82031,66.10169,71.18644,57.6271172,61.0169525,63.9830475,21,23,22,23,23,3291.753,3291.753,3291.753,3291.753,28.1733532,23.9129925,0,1.66504049,99.7500839,23.2401962,3.7043,12.2348938,31,910.854065,3004.6792,1821.70813,995,3,3,0,0,30,2048,423.421875,1624.57813,20.6748962,26.3200016,6.8359375,0.9765625,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:45,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.136,0.120000005,0.128,27,23,120,24.5,113,113,112,2146.264,1904.09021,76.5625,70.3125,70.3125,65.625,70.703125,28,29,28,28,29,3291.75342,3291.75342,3291.75342,3291.75342,31.5765514,27.27857,0,1.97156072,99.75011,22.9893341,3.66431427,12.2748795,31,910.854065,3004.6792,1821.70813,996,1,2,0,0,30,2048,424.171875,1623.82813,20.7115173,25.662,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:46,25.09804,100,49.80392,49.80392,49.80392,49.80392,0.56,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,27,23,120,24.5,113,112,112,2160,1925.82031,90.76923,64.61538,73.8461456,60.0000038,72.30769,27,28,27,28,29,3291.75244,3291.75244,3291.75244,3291.75244,36.9829369,27.66133,0,1.91887617,99.75007,23.4666061,3.740387,12.1988068,29,135,405.000031,270,1000,2,11,0,1,30,2048,424.046875,1623.95313,20.7054138,13.9310007,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:47,25.4901962,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,28,23.5,120,24.5,113,113,112,2166.934,1936.87231,89.0625,67.1875,65.625,64.0625,71.484375,28,28,27,28,28,3291.75415,3291.75415,3291.75415,3291.75415,39.00138,27.0299435,0,1.927085,99.75012,24.6744385,3.932907,12.0062866,29,135,405.000031,270,1002,1,10,0,0,30,2048,423.796875,1624.20313,20.6932068,14.027,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:48,24.3137264,100,49.80392,49.80392,49.80392,49.80392,0.544,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,28,23.5,120,24.5,113,113,112,2166.934,1917.61365,87.5,95.3125,90.625,68.75,85.546875,27,29,26,23,29,3291.75415,3291.75415,3291.75415,3291.75415,42.6846123,30.6407528,0,2.09038782,99.75012,24.8348389,3.95847321,11.9807205,29,135,405.000031,270,1003,0,10,0,0,30,2048,423.796875,1624.20313,20.6932068,13.9310007,0,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:49,23.1372547,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.984,0.144000009,0.120000005,0.136,0.120000005,0.128,29,23.5,120,24.5,113,113,112,2149.68164,1917.61365,98.4375,96.875,96.875,90.625,95.703125,29,29,28,29,29,3291.75269,3291.75269,3291.75269,3291.75269,45.8740044,33.8035278,0,2.17220688,99.7500839,25.5222626,4.06804276,11.871151,29,135,405.000031,270,1003,1,10,0,0,30,2048,423.796875,1624.20313,20.6932068,13.9310007,29.296875,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:50,24.705883,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.144000009,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,31,23.5,120,24.5,113,113,112,2153.11,1925.82031,100,100,100,100,100,28,30,30,29,31,3291.75317,3291.75317,3291.75317,3291.75317,46.5096741,34.5543823,0,2.14710879,99.7501,27.135643,4.325203,11.6139908,29,135,405.000031,270,1003,1,11,0,0,30,2048,422.421875,1625.57813,20.6260681,13.9310007,0,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
12/17/2021 09:45:51,25.4901962,100,49.80392,49.80392,49.80392,49.80392,0.552000046,1.016,3.40800023,3.42400026,1,0.15200001,1.03200006,3.40800023,3.18400025,0.992000043,0.144000009,0.120000005,0.136,0.120000005,0.128,30,23.5,120,24.5,113,113,112,2166.934,1925.82031,100,100,100,98.4375,99.609375,29,31,29,31,31,3291.75342,3291.75342,3291.75342,3291.75342,46.49078,34.428936,0,2.35533643,99.75011,29.3797,4.682888,11.2563057,29,135,405.000031,270,1002,2,12,0,1,30,2048,417.296875,1630.70313,20.375824,13.9310007,0,0,100,497.510254,48.9358139,24,1.5768764,0.007537842
